state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,225024,292540,294040,326865,308437,324030,461499,464099,464369,470213,454900,415049,415566,403982,400748,392559,388539,386772,383426
Alaska,0,44076,56664,57456,66057,64488,61461,93971,92054,90165,93384,93873,84171,86773,84368,81374,80579,83207,83682,77275
Arizona,0,256933,337200,351405,406981,396034,433071,624716,641299,652796,658579,633759,573944,581631,583050,573503,572721,570517,575366,576903
Arkansas,0,130126,168353,169894,190213,179963,180821,269860,272269,272564,275602,268893,250289,256444,253439,250756,245216,245324,244935,243802
California,0,1680935,2204990,2261150,2572022,2517093,2678002,3703393,3588802,3474941,3466146,3428903,3214798,3236563,3193107,3140531,3108029,3084688,3109996,3079440
Colorado,0,236038,305166,312044,365591,350265,373978,533245,531344,528570,539688,529173,500019,506573,502997,502934,503436,506905,507473,501912
Connecticut,0,177671,228896,230892,270660,264615,283409,404366,388920,370781,358401,343053,324005,317384,305208,291356,277456,264525,257821,252671
Delaware,0,43598,56107,57148,66064,64292,68869,99709,98120,96042,95478,91875,85891,84820,82762,80560,78232,77695,77200,76646
District of Columbia,0,17440,22587,23836,26520,24976,26585,34149,33229,32164,32618,31519,29341,28406,27171,27391,26593,26642,27525,27334
Florida,0,698930,922362,957869,1093505,1054778,1138005,1613941,1596545,1576527,1557211,1481341,1378214,1363368,1323515,1327002,1321741,1325960,1365666,1375378
Georgia,0,426879,559575,577113,653370,627122,676171,954170,948067,947151,948121,899109,827720,820413,800949,792933,776734,775637,778366,774168
Hawaii,0,63827,80777,82075,94852,92649,99082,140861,142505,141125,142987,139035,130654,132361,130589,128975,129252,130044,130495,128303
Idaho,0,79286,101316,103584,117768,113034,118920,171183,174181,179250,184103,176934,163846,167442,168777,172578,175423,178721,186450,192289
Illinois,0,694690,894594,903722,1033007,991570,268008,1485773,1446758,1401869,1379237,1323797,1224738,1223749,1181742,1148886,1111032,1087445,1075548,1048634
Indiana,0,373249,479860,484194,553659,530308,559798,812066,799623,785274,777999,738744,675536,685013,674478,669898,659008,660391,662376,660916
Iowa,0,183545,232522,232788,264187,249753,258636,378980,375031,370251,373338,359321,338035,347020,345343,342166,337228,335892,334856,333031
Kansas,0,167401,212108,212416,243176,231186,239178,340578,338176,338689,342404,336412,315117,315809,312487,309720,306713,306609,304788,299303
Kentucky,0,203402,261968,265703,304972,291860,305732,444749,443974,441146,443251,428545,401229,406803,401310,397890,389860,388622,390174,388104
Louisiana,0,233250,297102,297726,332390,314555,332258,457332,409538,439635,455636,449144,419682,417133,402681,400908,388421,382136,371815,359414
Maine,0,67916,87195,88084,101490,96547,100124,142449,138675,134301,131822,125223,116777,116459,114268,111311,108802,107197,107787,107499
Maryland,0,294908,379936,385623,446328,432959,460760,651911,626017,593318,577079,552361,526613,524063,514660,507244,494888,480182,471965,402700
Massachusetts,0,326572,417816,417485,488325,475866,505733,715742,685970,650650,630029,604929,582133,570871,550949,531802,511173,492621,484050,402120
Michigan,0,573814,737118,743682,853009,816194,852981,1214482,1170414,1113371,1076230,1003049,912075,911922,883087,866487,844916,831920,828569,644430
Minnesota,0,309942,395957,396486,456920,437706,457918,661315,646703,628872,623104,605709,577007,578845,573661,563360,556024,553618,551381,412760
Mississippi,0,144623,187847,188134,206291,192921,196805,285546,274532,282983,289400,279948,253403,252888,243808,242946,237088,234974,233013,207410
Missouri,0,313204,401821,405081,462040,440085,460710,657560,648785,637247,633677,609634,569979,570735,560916,552726,541473,536484,541680,429570
Montana,0,46705,59531,59547,66996,63035,66010,94501,95006,96277,98400,95052,89551,91887,92825,93835,93845,94621,96170,71970
Nebraska,0,108485,137792,137587,157253,149826,156443,225980,225493,223172,226127,221298,210028,214106,214304,213003,211252,212527,214686,157300
Nevada,0,108331,21415,154881,179852,176459,197125,283066,289826,296129,303017,297411,265402,263141,259778,257648,255757,257435,262198,225640
New Hampshire,0,76729,98187,98643,116705,113119,105152,171381,165681,157900,152403,144224,136857,133282,128822,124839,120867,116923,114282,90130
New Jersey,0,438837,560917,98960,655682,638888,693456,983438,945598,895318,863218,825140,785757,771019,742321,717429,690773,663908,649603,551830
New Mexico,0,91772,116443,110846,140704,128172,135876,192194,194685,199934,204043,202318,186984,187667,185413,181983,179275,179798,177371,145500
New York,0,880340,1128653,1134152,1290804,1234270,1287005,1809677,1745504,1683586,1656341,1596402,1506850,1490325,1449366,1409492,1367487,1332873,1313445,1138140
North Carolina,0,416523,537041,548555,622344,591905,630324,901703,906408,912897,923835,893455,832514,845286,840214,824764,810956,807075,816739,821476
North Dakota,0,39171,49309,48455,54736,51380,53289,77747,77256,76498,77164,75922,74374,76962,78243,79569,81349,82501,82865,82413
Ohio,0,665082,849626,854856,978816,932425,988283,1402709,1366103,1323612,1297093,1240801,1137142,1132211,1108695,1088968,1067923,1054527,1053145,1043163
Oklahoma,0,175097,223580,227781,259528,245015,253830,359678,365205,373143,387349,383460,355837,362791,367307,371039,368434,371277,366718,356232
Oregon,0,174773,222884,225375,256673,246468,257947,366522,366427,361243,364189,348532,325034,329853,326936,325707,324660,329037,335570,337585
Pennsylvania,0,652976,831583,837691,968100,928037,973624,1401403,1369519,1330213,1309467,1265053,1182205,1182823,1155775,1119996,1088121,1066031,1048944,1029560
Rhode Island,0,53330,68599,69693,81030,78665,83386,116950,111840,106425,103306,98313,91726,90942,88185,85768,83008,81458,80993,79804
South Carolina,0,209956,271814,277210,309952,292656,290474,438217,436043,437377,443391,427769,390828,394101,389760,387569,384295,384130,389780,392655
South Dakota,0,45093,57996,58074,65496,61902,64620,93585,93770,93343,94856,93265,88856,91299,92758,92594,91963,93023,93823,94018
Tennessee,0,291129,51927,384514,434829,415370,438485,629123,625804,623206,624558,595237,548713,550607,546157,546921,541387,542490,549659,554413
Texas,0,1093589,1435153,1487041,1708775,1651783,1762589,2438981,2485169,2551808,2638273,2635754,2430761,2456073,2466417,2503989,2488766,2511216,2497695,2451655
Utah,0,162126,207185,211823,242842,232170,246575,354863,367350,381953,398653,392206,369300,379728,391241,401369,410902,418185,429599,429877
Vermont,0,34607,44241,44188,50778,48206,49651,71729,69464,67094,65543,62247,58276,58087,57120,55850,54424,53507,52635,52035
Virginia,0,373634,483186,494616,574466,561221,600248,864150,843698,815651,807549,780788,743895,741229,733643,722633,708556,699164,693201,683620
Washington,0,333179,428328,435617,503199,488689,517634,731814,729583,718445,723536,706540,666187,672164,662908,657145,656642,661769,672960,674459
West Virginia,0,78432,100034,100597,116355,111599,115942,169869,171417,172300,172913,171660,161764,163410,163650,161525,157466,153707,150720,144958
Wisconsin,0,339664,430971,430287,496589,473841,495810,722034,705928,685317,674625,649393,602077,609253,600447,587247,575104,569309,568069,562154
Wyoming,0,30123,38109,37872,43837,41782,43918,63937,65180,68147,70623,71827,67666,68680,69456,69502,68840,69408,68344,65143
