state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,55777,55757,62014,71103,82295,81009,89170,88905,89586,88836,89182,89566,93837,95311,100584,106676,101083,107499,117156,115743
Alaska,7581,7721,8163,9738,11656,11163,9996,11983,12439,12337,12524,12506,12896,13128,13700,14374,13620,14678,8241,8152
Arizona,40668,44379,47011,55905,69517,74606,73552,62742,76386,77305,77928,77813,78992,81566,85200,90262,85530,90773,79416,83407
Arkansas,34295,38920,42887,47857,50708,53892,62013,63177,63713,63187,64042,63939,65934,67239,70561,74361,70500,72257,80644,81667
California,308907,351029,370282,422546,522473,523706,525066,515732,544417,520199,521443,523203,528594,545875,572807,615305,583563,654302,685086,677666
Colorado,289154,23102,28481,36333,34895,36939,40701,40954,43643,43420,43422,43357,44711,48736,52971,56127,52594,58462,59570,60688
Connecticut,26574,28688,30256,34902,38860,38342,39522,39941,38914,39908,39866,40697,41802,42927,43934,46052,43550,48983,54137,51867
Delaware,8314,8446,8873,9820,11831,12286,12537,12771,13201,13092,13290,13271,13685,13931,14583,15342,14538,15172,16306,16011
District of Columbia,7185,7620,11998,8577,17146,10329,10464,10661,9931,11080,10762,10258,10408,12973,12521,13502,11382,11556,9247,10438
Florida,94410,108360,104157,122888,148078,157911,162958,168720,171903,166788,166035,165704,166978,170039,183952,189789,160357,176902,219555,227717
Georgia,90013,98515,105427,118380,142023,149029,151723,154281,158672,157385,159715,159173,164118,165497,174945,185413,175655,189227,203327,205335
Hawaii,12632,13983,14910,18199,21166,21977,22248,22665,22825,22637,22981,22946,23663,24088,24751,25594,24253,26060,27260,28455
Idaho,11521,10075,11433,9605,16552,12881,14020,14394,14564,14514,14734,14712,14762,15120,16208,17292,16426,16076,18281,19649
Illinois,140981,141939,154724,180444,213873,212074,211585,202709,205880,198214,192759,197581,204908,212977,222088,233190,218091,236315,255344,256523
Indiana,49115,54482,54082,65170,74677,67681,70696,82756,78786,78831,80023,79903,82350,83721,88507,95394,90393,92725,100883,101212
Iowa,26316,31049,33593,38084,44168,45840,46920,47815,48438,47983,48715,48643,50147,51229,53400,55964,53007,56698,58936,59927
Kansas,19805,21075,22853,26374,30259,33633,31979,32545,33676,34925,35548,35150,36633,37824,39319,42358,39002,39301,38890,38694
Kentucky,40953,44735,47860,53342,62749,65876,67714,71618,84281,71954,73047,72905,74934,76196,80725,86131,81260,86920,93396,96004
Louisiana,64523,65198,71348,81750,94173,101537,103528,106826,103897,106805,109227,111648,114351,116976,123764,126347,120788,125270,130346,129758
Maine,15536,17233,18695,20378,24740,25703,26991,27344,27537,27310,27725,27684,28548,29061,30187,31534,29881,32209,33235,33982
Maryland,38255,37944,39884,45436,57380,60573,60256,62954,68493,62755,63615,63517,65501,66818,71358,75063,71230,74085,67550,69009
Massachusetts,63420,67761,72384,79088,92342,95103,97749,99035,99756,98935,100307,100212,103431,106015,109651,115896,109871,118045,123647,127019
Michigan,97135,107704,125530,150876,169005,176076,177555,181897,176801,179072,184944,184149,188717,190568,198251,206624,198022,204299,215879,224288
Minnesota,42008,47242,50053,54671,63556,68194,67972,69082,69730,69146,70202,68110,72260,73708,77510,81801,77527,83202,82844,84249
Mississippi,103523,92931,112957,125002,141982,148355,128036,153473,154538,153068,155230,154999,159851,163399,167244,172745,163672,175105,185444,183637
Missouri,58794,63119,68034,87228,100163,106426,108414,110527,103563,106416,105210,107880,111173,113664,119454,125898,119561,130667,139941,142624
Montana,10732,11829,11766,14732,18299,19104,19727,20113,20254,20086,20389,20357,20991,21408,22264,23283,22062,23625,17710,16818
Nebraska,16155,18260,19558,21888,26498,29229,29754,30444,30660,25717,25853,25434,26228,27483,28910,30550,28936,31422,33056,30818
Nevada,9942,11280,11484,12369,18367,19786,23315,23698,24215,23178,21811,23495,24229,24071,26050,28221,26741,26725,27837,29533
New Hampshire,7430,8512,9114,9838,12388,12861,13018,13257,13350,13240,13441,13421,13840,14089,14761,15541,14726,15739,16528,16818
New Jersey,69738,84069,90715,102002,117759,122457,125013,127082,127979,127009,129106,129353,133392,135788,142163,149580,141739,156698,146695,154945
New Mexico,19646,23800,28370,31332,37273,39851,41209,40052,41003,40544,41777,41823,43087,44544,47642,50869,48497,50453,43779,45717
New York,254120,278539,296673,333574,388517,407666,409469,419997,419696,422643,428957,428890,442262,448321,466412,486909,462080,499035,518967,529557
North Carolina,69994,76057,83476,92979,108790,117801,120585,120472,124131,119279,121144,120942,124913,127542,137772,148402,143867,151301,166539,170714
North Dakota,3688,4027,4166,4781,6383,6612,7522,7540,6719,6664,6765,7340,7570,7390,7729,8291,8408,8959,6533,6096
Ohio,134497,144382,152947,174986,207144,209929,213621,219148,223923,221764,225252,224236,230971,235424,246663,261544,250052,269510,276486,279950
Oklahoma,45865,45604,52255,60457,72190,72240,78784,77384,79346,78640,79886,79767,82258,83862,89541,95960,90980,97642,85974,87979
Oregon,31978,33525,34947,41092,47870,49062,49150,49838,50045,48652,50206,51397,50935,54567,57851,59597,56264,56336,63684,62586
Pennsylvania,108984,116795,131135,130481,154382,159637,162992,159430,162141,158910,165882,164040,169611,168663,178514,187804,177380,192524,207294,196429
Rhode Island,13135,13901,13932,17378,20412,21184,21446,21802,21956,21775,22106,22073,22762,23171,24020,25044,23731,25484,27336,27816
South Carolina,51714,48685,52087,60862,74108,77752,79307,81451,81348,80677,81902,81781,84173,85217,90747,84708,80267,86168,92587,87698
South Dakota,9127,9333,10842,12074,14758,15293,15629,14430,14531,14411,14630,14609,15065,15416,16026,16781,15901,16978,15340,15558
Tennessee,57066,62622,66838,75986,88458,92496,95726,97269,95382,87941,89258,81357,83781,85182,88274,92571,87603,92073,95237,97814
Texas,200817,220607,227488,271882,290479,274301,305221,305427,306546,306650,308138,311522,322167,290774,304992,317758,299739,343104,382578,386600
Utah,14503,17182,15527,16698,32189,32721,32769,30969,34080,33760,34312,34261,35398,36284,38591,41182,39023,44290,45320,45451
Vermont,7592,7633,7503,7925,9494,10006,9930,10143,11558,11463,11615,11595,11919,12212,12590,13011,12329,13452,14184,14485
Virginia,40011,43352,47297,53714,64728,66735,69128,70038,69315,69149,68864,69142,71296,71535,71294,79114,74854,80530,85689,87702
Washington,36219,37624,41186,42134,52527,52331,45965,46513,54320,51538,52320,52243,53802,54990,57816,61084,57829,65442,70665,63791
West Virginia,28700,26033,29513,32974,38689,32776,38919,40592,42017,39546,39112,39869,41115,41128,42887,44896,42514,45438,48098,49232
Wisconsin,44773,52021,57240,59800,65953,70373,72909,72806,73287,72699,73837,73753,75438,77629,81082,85511,81152,81384,84856,86982
Wyoming,5353,5921,6980,7325,9732,10697,10954,11432,11264,11171,11311,11294,11644,11932,12054,12289,11645,12642,11284,11426
