state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,79530,78532,86251,96889,109519,106090,114588,111487,108921,104606,102238,100590,104174,104887,108485,112992,105291,109962,118443,115743
Alaska,10809,10874,11353,13270,15512,14620,12846,15026,15124,14527,14357,14045,14317,14447,14777,15225,14187,15014,8331,8152
Arizona,57986,62506,65385,76180,92513,97704,94519,78678,92871,91027,89336,87390,87694,89761,91894,95606,89090,92852,80288,83407
Arkansas,48899,54818,59648,65213,67483,70577,79690,79223,77463,74403,73417,71808,73197,73995,76104,78764,73435,73912,81530,81667
California,440453,494416,514999,575787,695311,685853,674739,646725,661910,612541,597775,587596,586824,600723,617806,651738,607852,669289,692610,677666
Colorado,412288,32539,39612,49509,46438,48375,52303,51356,53062,51128,49778,48694,49637,53633,57132,59450,54783,59801,60224,60688
Connecticut,37890,40407,42082,47560,51715,50213,50788,50085,47312,46992,45702,45706,46406,47240,47386,48779,45363,50105,54732,51867
Delaware,11854,11896,12341,13381,15744,16090,16111,16015,16049,15416,15236,14904,15193,15331,15729,16250,15143,15520,16485,16011
District of Columbia,10245,10733,16687,11687,22819,13527,13447,13368,12075,13047,12338,11521,11555,14276,13505,14302,11856,11821,9348,10438
Florida,134614,152623,144864,167455,197063,206803,209410,211574,209002,196395,190340,186098,185372,187123,198403,201027,167031,180954,221967,227717
Georgia,128344,138756,146631,161311,189005,195171,194973,193467,192916,185323,183095,178764,182197,182125,188689,196392,182966,193562,205560,205335
Hawaii,18011,19695,20737,24799,28167,28781,28590,28422,27751,26655,26345,25771,26270,26508,26695,27110,25262,26657,27560,28455
Idaho,16427,14190,15901,13088,22028,16870,18017,18050,17707,17090,16891,16523,16388,16639,17481,18316,17110,16444,18482,19649
Illinois,201017,199917,215195,245885,284624,277735,271899,254196,250312,233399,220977,221899,227481,234376,239535,246997,227169,241728,258148,256523
Indiana,70030,76736,75218,88805,99381,88636,90848,103775,95789,92825,91737,89737,91422,92133,95460,101042,94155,94849,101991,101212
Iowa,37523,43732,46722,51896,58779,60033,60295,59960,58892,56500,55846,54629,55672,56377,57595,59278,55213,57997,59583,59927
Kansas,28238,29683,31784,35939,40269,44046,41094,40811,40943,41124,40752,39476,40669,41625,42408,44866,40626,40201,39317,38694
Kentucky,58393,63009,66565,72687,83506,86272,87017,89808,102470,84727,83740,81878,83188,83852,87067,91231,84642,88911,94422,96004
Louisiana,91999,91830,99233,111397,125326,132974,133039,133959,126319,125765,125217,125390,126948,128729,133486,133828,125815,128139,131777,129758
Maine,22152,24272,26002,27768,32924,33661,34685,34289,33480,32158,31783,31091,31693,31981,32559,33402,31125,32946,33600,33982
Maryland,54545,53443,55471,61914,76362,79327,77432,78944,83275,73895,72927,71335,72716,73531,76964,79508,74194,75782,68291,69009
Massachusetts,90426,95439,100674,107770,122890,124548,125613,124189,121285,116497,114991,112546,114825,116667,118265,122759,114444,120749,125005,127019
Michigan,138500,151698,174591,205593,224913,230591,228168,228097,214958,210860,212017,206813,209506,209715,213825,218859,206264,208979,218250,224288
Minnesota,59896,66539,69615,74498,84581,89307,87348,86628,84778,81421,80479,76493,80220,81114,83600,86644,80754,85107,83753,84249
Mississippi,147607,130891,157104,170336,188951,194288,164533,192454,187889,180239,177953,174075,177460,179817,180383,182974,170484,179116,187481,183637
Missouri,83832,88901,94624,118862,133298,139377,139318,138600,125914,125306,120611,121158,123419,125085,128839,133352,124537,133660,141478,142624
Montana,15303,16660,16364,20075,24352,25019,25350,25221,24625,23652,23374,22862,23303,23559,24013,24661,22980,24167,17904,16818
Nebraska,23034,25719,27202,29825,35263,38279,38235,38177,37277,30282,29638,28564,29117,30244,31181,32359,30141,32141,33419,30818
Nevada,14176,15888,15972,16855,24443,25912,29961,29717,29441,27293,25004,26387,26898,26490,28096,29892,27854,27338,28143,29533
