state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,466612,582231,592836,797087,1077113,1254433,1196914,1209594,1350494,1478251,1707418,1999539,2379098,2162925,2154499,2218549,2329033,2234322,2288559
Alaska,,191552,219466,275657,334414,390702,463475,482070,500077,474209,460099,410904,482274,539143,546794,549171,596601,617269,553473,633218
Arizona,,1056011,1093281,1230937,1495353,2114369,2552053,3017641,3199876,3921606,4176444,3498300,3837541,3641389,3309167,3171855,3544018,3881737,3936078,3957936
Arkansas,,747505,707473,710687,862637,1071055,1085642,1236307,1287643,1339611,1381887,1479148,1499049,1717950,1801957,1928234,2069898,2403553,2781097,2804363
California,,6728104,7437021,7806202,8639802,9798618,10919243,10457587,11051756,11900671,11849273,12895387,13786973,14607708,19693994,16617703,22832856,21919302,21759578,21432466
Colorado,,575345,666726,709750,793289,842266,922728,934242,933451,1027158,1006815,1107695,1320570,1576669,1625283,1744886,1953378,1992525,2194569,2244358
Connecticut,,566277,574005,587627,448360,704110,730037,792699,823488,839461,910831,594011,1014224,1233999,1166244,1281195,1223203,1340431,1102000,1099090
Delaware,,173864,200086,219466,242472,228447,282096,287941,320786,349958,363754,393156,428542,452554,479825,483791,507459,552657,562971,542368
District of Columbia,,236155,308501,293166,340435,358833,351689,336516,401026,375349,369583,340914,361756,373222,442349,416179,459673,473493,439235,503708
Florida,,2136110,2493379,2684787,3158652,3577922,4010396,4381162,4301265,4272764,4499873,4913285,5269377,6286738,6544119,6162145,6625330,7077148,7139185,7243424
Georgia,,1379270,1529435,1741674,2084488,2658044,2849267,2957284,3114378,2941621,3374591,3240568,3195529,3146624,3591001,2986661,3552390,3872130,3717640,3662056
Hawaii,,188087,242188,189779,182931,212841,239626,271629,330299,329571,329426,351363,355178,374736,386265,353753,390439,458039,406653,434587
Idaho,,134826,188107,212413,265048,296470,324461,380502,409979,431247,480286,504214,552335,601856,650428,578713,698256,659254,638685,640189
Illinois,,2351632,2046381,2077545,2272754,2433415,2403654,2733711,2969159,2989909,4241894,3643456,4339391,5434568,4290360,4006205,5028043,5283333,4417766,4878731
Indiana,,751832,903911,1100228,1277864,1452256,1404795,1617937,1553694,1847537,1662386,1910899,1735464,1687474,1943498,1983282,2018495,2253455,1934781,1998804
Iowa,,484715,462343,527945,547703,851163,709789,738617,771037,831994,801754,890832,974361,1086282,1148313,1154809,1252020,1262933,1333333,1350452
Kansas,,340839,351559,420785,537957,617697,630720,693020,731026,824275,852169,788347,889351,922970,995275,1082954,1469677,1376860,1607047,1712379
Kentucky,,980372,1018305,1187906,1281288,1493149,1443810,1554483,1563989,1586268,1736139,1835721,2168153,2310888,2262237,2254816,2330664,2671763,3198796,3251869
Louisiana,,1182984,997323,1092198,1393483,1791438,1472361,1737049,1653786,1476704,1469260,1938513,2280905,2596656,2456360,2496331,2332088,2414339,2493451,2695992
Maine,,356216,469212,471586,533823,568860,693756,741344,806291,692528,674849,727824,723285,587204,604023,561490,714458,572523,563241,560738
Maryland,,922667,1144752,1191485,1274503,1399241,1575737,1645848,1742656,1754458,1882486,1894524,2107772,2332108,2372791,2336354,2437258,2844602,2679037,2703458
Massachusetts,,1346901,1360346,1479298,1490233,1811266,1712898,2573870,2684318,3049432,2976834,3092574,3243225,3014049,3482449,3156401,3401929,3434889,3178619,3705448
Michigan,,1569626,1458310,1627177,1944597,2067580,2285727,2752252,2498096,2551509,2870666,2797702,3262784,3729627,3677366,4068946,3983948,4483893,4403567,4370880
Minnesota,,967362,964894,1013042,1210247,1605071,1757847,2043322,1867172,1782550,2056043,2274488,2272377,2247305,2395177,2168635,2306279,2709678,2502399,2545726
Mississippi,,595463,630702,677372,897754,1098935,1105745,1077439,1096111,1145511,1182721,1543037,1632791,1742948,1844005,1765789,1863106,1925290,1996448,2116938
