state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,3271969,3504764,3784422,4006894,4140053,4273211,4429789,4586366,4925201,5478034,6104470,6671430,6629154,6573857,6592386,6305709,6461916,6600333,6645129,6589890
Alaska,1042311,1019614,1097282,1133145,1188461,1243776,1287792,1331808,1416771,1509377,1609832,1897947,2077152,2157418,2196942,2105122,2202551,2202685,2332630,2074993
Arizona,3388165,3579363,3849420,4185930,4427481,4669031,5087548,5506064,5872686,6367593,6826134,7367909,7536710,7388074,7096432,6966512,6675200,7065613,7026131,7137123
Arkansas,1960613,2127517,2224967,2324123,2451202,2578281,2742678,2907074,3300288,3533593,3719097,3846131,4189066,4480204,4609186,4220947,4222408,4299286,4355246,4411761
California,28708364,31776920,33739312,36658880,41025508,45392132,47133896,48875660,50693044,53012464,57258252,60096496,59255344,57105136,55999628,57048604,57043384,59043948,64553292,68892072
Colorado,3332994,3684502,3916260,4149462,4487114,4824766,5098218,5371670,5658056,6030663,6187463,6887556,6763740,6969515,6929558,6844340,7011149,7405899,7689567,8060420
Connecticut,4014870,3931428,4455325,4713226,5027140,5341054,5616506,5891958,6130530,6540369,6895387,7258782,7760351,7915525,7801635,7898446,8009846,8310423,8510423,8687640
Delaware,776825,815900,848633,915317,974990,1034662,1104905,1175147,1264790,1371464,1357426,1459954,1436644,1463603,1534859,1673927,1674823,1721283,1764887,1832385
District of Columbia,544051,623415,685988,815299,910715,1006130,1074551,1142971,1213739,1249522,1236068,1631698,1745669,1896647,1859662,1981603,2006747,2058261,2152055,2290288
Florida,11498394,12141943,12987313,13255884,14015765,14775646,15942330,17109014,18583868,20139820,22079984,23140320,22397560,22340868,22954464,21698588,22016268,23146180,23815164,24222830
Georgia,6933391,7478866,8232892,8850297,9645792,10441286,10943194,11445101,11887844,12954745,14178057,15370791,15388033,15191886,14997574,15025144,14905073,15270387,15877364,16563441
Hawaii,735256,784034,877036,953130,1129802,1306473,1437251,1568029,1606142,1746947,1943393,2038935,2142996,1858469,1737036,1669778,1669596,1890456,1772617,1843481
Idaho,1063605,1122432,1203898,1226979,1330691,1434403,1463533,1492662,1566165,1630908,1705158,1797045,1863624,1858673,1778035,1744392,1814272,1831321,1865252,1935653
Illinois,10559474,11852129,12820488,13629593,14146961,14664329,15638463,16612597,17235426,18157336,18891452,19890084,21331942,21995540,22100446,22233908,22472468,23319288,23713992,23933484
Indiana,5196692,5611104,5855563,6084174,6399747,6715319,7158033,7600746,8224193,8282807,8568446,8375804,8635495,8845805,8552264,8564467,8405572,8408339,8489906,8643916
Iowa,2509352,2814447,2922070,3068753,3103549,3138344,3355059,3571774,3713885,3912787,4098511,4353930,4581267,4647369,4715466,4829616,5005994,5203414,5381831,5517359
Kansas,2463463,2579556,2650234,2779333,2948671,3118008,3208910,3299811,3384564,3638783,3934630,4207480,4347644,4254598,4267293,4284463,4391499,4484069,4546083,4532902
Kentucky,3002740,3015764,3195456,3328959,3494221,3659483,3805341,3951198,4443409,4833044,4989921,5433566,5444526,5703554,5896353,6022356,6007826,5997108,6139011,6283316
Louisiana,3660006,3908656,4128634,4242538,4477462,4712385,4956157,5199929,5458673,5452463,5949912,6668491,7096159,7196995,7312207,7784059,6961042,7086738,7278280,7295542
Maine,1338428,1433568,1410980,1495241,1562187,1629132,1719463,1809793,1879024,1967346,2050166,2113600,2204484,2206675,2218648,2167578,2122408,2180010,2261878,2290535
Maryland,4922369,5089358,5430954,5684437,6217327,6750217,7025356,7300494,7737234,8381601,9236350,10003181,10427128,10649696,10729263,10680541,11014005,11287730,11570016,10459539
Massachusetts,6019704,6646118,7133647,7685285,8282041,8878797,9210822,9542846,9987028,10433393,10879368,11541685,12226887,12049013,12087923,12618691,12909896,13602492,13946420,13998163
Michigan,10803966,11701125,12284399,12950110,13119811,13289512,14526650,15763789,16087552,14954186,16732409,16103959,16209560,16182975,15667635,15240656,14923401,14929967,15213236,15328155
Minnesota,5207057,5281256,5682586,6046377,6150938,6255499,6518921,6782343,7050447,7398479,7737171,8105561,8849983,8491869,8485160,8555110,8824871,9157300,9578997,9987116
Mississippi,1961623,2092869,2202972,2429256,2493235,2557214,2768885,2980556,3157474,3435402,3549106,3735613,3803738,3826339,3727935,3828219,3846581,3884541,3987169,4077663
Missouri,4544251,4822621,5128981,5427270,5833379,6239488,6378908,6518327,6767931,7186329,7601036,8054325,8321092,8422001,8201256,8199339,8382326,8601130,8864068,8996869
Montana,851762,879340,900757,932721,971996,1011270,1059499,1107728,1137483,1197600,1273267,1333960,1374246,1440902,1458156,1441011,1467413,1536136,1547168,1598517
Nebraska,1569105,1596292,1626461,1719480,1861032,2002583,2091298,2180013,2220440,2316795,2523255,2635802,2798387,3030641,3086233,3251369,3367966,3456540,3576419,3728426
