state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,63818,44292,35187,36346,31861,32885,46144,44855,47390,34579,45869,40713,42280,49094,53975,49633,45890,39734,31559,25673
Alaska,98731,76925,64007,55365,51218,55030,50183,43350,41118,36402,37295,33508,31920,39661,40822,41350,38661,39788,46192,39416
Arizona,187169,144541,121645,107385,91277,129765,175362,182512,160067,137114,131520,121767,137975,104895,87439,49292,-21820,32050,52908,44728
Arkansas,48154,26173,23782,33982,24603,26204,22028,16843,18499,15302,16290,13515,16537,16163,15706,14577,13187,11104,9212,7039
California,5036461,4128285,4289944,3642622,3137519,2608216,3119316,3285659,3503655,3479718,3289760,3252008,3509503,3948392,3719700,3285158,3225251,3076015,2838727,2632009
Colorado,108467,80120,55141,47808,55174,52746,50723,65378,75132,62977,48181,42640,51772,71194,78220,70719,70665,79295,76899,74789
Connecticut,320943,305487,187116,166110,151082,127801,133434,126194,125739,124148,106844,100483,89287,92870,89889,81116,81319,83415,69820,59229
Delaware,31471,24195,23136,19760,20579,19262,20065,20422,19314,18335,14075,13476,18162,10779,25728,19135,12917,21317,21009,19612
District of Columbia,105359,96864,80090,72154,67393,66871,67565,69662,66267,62137,18677,21415,22702,53151,67212,35772,59030,60334,76761,99550
Florida,543984,356876,284970,234307,251433,255865,250567,239456,184194,169526,153011,158914,179956,187357,171675,169459,173246,165544,177244,167513
Georgia,315998,312549,206765,180041,172435,109194,168525,162422,117325,95717,51265,74074,55010,48316,51159,43888,47522,42584,96903,83569
Hawaii,163295,153309,100230,140971,125702,84984,91146,87270,81731,84657,114999,48682,70149,70141,71917,69238,64060,58651,52319,42384
Idaho,20080,5964,4230,3290,4571,4941,6346,7231,7294,7238,5954,5506,5902,6195,4617,7221,6549,6665,7793,7917
Illinois,706688,771228,539885,269391,190591,146390,114556,110439,122180,123502,95647,60487,61092,72270,106445,127429,81008,77418,68487,53514
Indiana,125771,104382,85331,86562,119632,145899,139053,121921,113222,108652,102275,76018,108609,91937,71524,40694,28917,23442,20433,18558
Iowa,120017,104356,91863,78812,77768,76299,80899,79837,75700,73909,64905,60106,61917,70457,68656,66389,54111,50286,40449,40353
Kansas,112149,40941,45677,42534,77768,50131,55199,60974,65356,62762,54412,46132,46493,50355,56167,33064,27456,22787,19610,16403
Kentucky,181041,146654,120052,104259,113007,100875,102317,106055,104864,100567,121845,106151,117388,122839,105241,112226,102073,132070,139796,144001
Louisiana,117271,103459,67061,57999,65873,66529,66979,64720,51324,44790,41436,37860,42756,40841,82844,17894,25702,20349,18827,19661
Maine,89727,79869,61406,72806,67819,66145,66203,76626,90017,65237,61733,70200,74625,77968,80737,69633,49823,45253,40490,30478
Maryland,232407,192189,155996,195937,224198,226925,32088,109819,124291,106320,93963,113031,107147,124415,88469,141677,139192,116749,111435,123423
Massachusetts,472116,442170,331107,335610,285808,279010,338753,340744,331585,320378,295297,293351,324683,336526,337076,360013,338713,292700,266156,231105
Michigan,753509,589347,435260,386442,328517,326022,389605,400785,411966,422334,380936,337950,336429,546269,185520,253078,206580,167236,149705,130839
Minnesota,227962,275502,233796,192910,183673,184030,192753,167470,137347,129123,106270,70883,90026,95831,94910,86447,94098,86037,84902,93051
Mississippi,60024,60392,26747,18028,30981,37469,36434,32102,26862,22326,20441,18482,18870,19859,19882,19045,16727,14390,11350,9674
Missouri,218708,179824,165456,138956,148463,147806,130210,137837,124949,122227,115465,113779,104483,105721,91316,91913,101324,83789,77131,51610
Montana,42504,30146,25481,21452,25577,31465,30541,20957,19790,16511,14530,14227,16438,18413,16710,15618,15341,15766,16612,19833
Nebraska,48819,40608,68065,41226,39350,52273,58625,64387,53963,63267,43453,23167,26387,31318,28499,25442,24242,23413,23968,26953
Nevada,40249,39115,27605,28271,25256,48115,47831,32377,33146,33028,33812,24292,46748,41596,45378,43743,43488,50017,45851,44515
New Hampshire,43664,39013,36339,32055,26908,29143,38973,34390,35277,34949,28831,23824,33924,37820,36543,29696,23876,21591,19310,13661
New Jersey,425776,372393,301363,221596,198796,193772,221873,267422,440937,77742,226651,200066,181776,266016,234832,209878,304045,218533,190506,121620
New Mexico,131011,103793,108396,112792,105894,82157,77893,73300,74762,73595,58880,55007,60064,95638,80916,63872,53061,47165,52746,59148
New York,2656536,2148565,2105346,1554424,1619617,1464884,1604840,1585868,1761847,1623752,1474080,1428242,1457970,1667796,1443554,1470929,1606028,1747501,1574483,1565709
North Carolina,269844,211205,176006,140129,135038,138661,133366,119077,108392,94434,83736,79892,89951,74950,58364,64193,59079,54343,52293,45902
North Dakota,19042,21756,22009,11814,12973,10005,17884,12445,11177,10500,8203,7630,8541,7621,6846,5875,5092,4633,4751,4307
Ohio,697068,545898,380386,368213,336126,335981,304005,320454,316362,330577,313902,307204,432030,506399,440118,366042,301877,282599,270717,256517
Oklahoma,94478,71782,57934,78320,52751,44802,58450,42516,33201,27657,26280,20707,22005,24447,21652,21760,19846,18281,28345,32545
Oregon,174944,140611,177021,33907,72646,68726,82190,84943,105141,88627,83853,91725,115035,200018,162563,152138,141760,140199,126404,101264
Pennsylvania,702078,523212,529916,573400,305122,337549,323619,385049,407136,392857,247295,218531,197746,202163,188671,293664,271505,256191,284168,229318
Rhode Island,118222,117478,109853,105011,88076,88749,82740,78611,72080,64977,57401,40731,45248,40058,35676,36895,42359,23294,20369,26932
South Carolina,71506,52029,38600,91020,32718,35371,48696,17863,73381,38531,31636,34629,40460,45744,37381,31438,34807,21831,40791,41717
South Dakota,17799,13937,11286,10224,9720,11111,11126,11252,11646,12157,12539,12784,13647,15663,15039,14156,12610,15529,14025,13309
Tennessee,130178,108203,110008,145841,123423,131747,138424,119673,120840,103705,91282,93722,127826,133944,131358,118480,108198,81286,82102,71412
Texas,365111,314770,233420,247909,241757,202679,323041,213054,181130,138932,109722,98128,84249,107101,104460,92577,75418,64367,58130,53812
Utah,58341,50384,40217,39522,39085,40745,43532,45457,45178,36926,25246,24891,32780,37050,31408,26594,23194,24564,21581,21466
Vermont,53277,46537,52336,38967,34959,38003,34439,35341,36081,34582,30929,26058,16907,16743,16210,18297,20039,18498,17726,15385
Virginia,161337,123057,117492,186470,102801,101179,128989,111840,143119,135734,85514,92995,73839,122518,119659,104052,100542,99363,82836,77188
Washington,499356,450010,316860,312436,288318,294668,269269,321510,261910,284435,265888,267864,318453,368600,305741,242030,201702,180941,154052,158863
West Virginia,88523,51657,32684,49224,64448,70996,68433,69013,43003,37252,33185,31148,31784,43276,34250,32971,30957,30620,24587,26602
Wisconsin,206221,145054,90660,6985,80692,126134,108526,135717,115469,110875,89185,89486,113409,130009,127765,137165,134203,150729,120227,84061
Wyoming,11946,6552,10397,8807,3882,2023,14792,5280,6645,10459,4535,10887,11305,10744,13733,8663,2459,3161,4881,4412
