state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,510575,529427,529593,506039,501441,492708,482250,452968
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,46716,44029,45811,46171,45554,42069,41692,45022
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,715157,756067,797526,713185,701918,681612,666043,620675
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,289181,293940,300416,292965,291029,288013,287452,278169
California,0,0,0,0,0,0,0,0,0,0,0,0,3838404,4019196,4143470,3774231,3722828,3592644,3423368,3027145
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,430761,447617,452841,415367,407087,386764,370811,345721
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,178528,176753,181351,181081,186282,184567,181656,177204
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,67477,69745,71211,69605,69861,68331,68271,66196
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,36709,39256,44788,43395,43708,43893,42935,41786
Florida,0,0,0,0,0,0,0,0,0,0,0,0,1716465,1791617,1858478,1827390,1849373,1833928,1816933,1754124
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,1209283,1257783,1281024,1210569,1211129,1168346,1144624,1070408
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,96603,98119,101747,102216,101127,99056,93774,87468
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,166890,166614,165369,160455,159035,154094,149610,142980
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1172421,1183833,1207608,1136738,1112657,1080873,1039031,957794
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,580707,593596,598161,567026,567438,550904,526189,493422
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,210125,201075,200470,197622,199775,196892,194391,188640
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,240875,242017,243380,233495,234354,229471,223950,210727
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,369623,380391,381697,372533,375084,366665,357381,340389
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,447705,452966,465927,456523,457802,454884,458827,452910
Maine,0,0,0,0,0,0,0,0,0,0,0,0,74869,72244,71420,71288,72501,71808,70494,69956
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,399135,413986,424945,414938,428909,423436,414774,392809
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,299905,293759,297017,293975,299342,297137,290124,280937
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,729159,717124,729781,715818,715515,709156,694681,674988
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,347967,349378,347872,331443,330492,324514,316427,308115
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,359953,372981,377686,362519,359769,357036,351452,334301
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,466537,463133,469609,465728,470240,462925,456744,443270
Montana,0,0,0,0,0,0,0,0,0,0,0,0,70601,67891,67661,66059,66789,64996,64700,65091
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,143207,142413,143160,140994,142674,140907,138520,133842
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,313030,316331,326485,312061,317452,315559,309187,281436
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,59606,57942,57447,56054,55522,53481,52045,50974
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,572521,584966,592855,568584,578942,570420,555672,529174
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,207484,207266,209066,203410,203793,199422,198517,190808
New York,0,0,0,0,0,0,0,0,0,0,0,0,1419303,1426632,1448947,1442451,1472457,1463785,1435552,1374518
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,1027760,1057919,1082307,1009743,994051,965593,934740,867494
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,37718,36629,36887,35993,36821,36100,36981,38415
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,836194,832379,845944,829980,838941,828330,815210,788065
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,358431,362181,367466,355098,355190,348969,351047,340673
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,301212,294804,292614,285024,284866,277385,269266,252101
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,754690,739750,748473,737807,757925,749147,741149,730011
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,65047,63330,63759,62890,65358,64308,62553,61045
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,489731,496442,502814,478959,476727,465679,455782,434137
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,61739,61183,60818,59685,60878,59600,59092,58459
