state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,246057,255608,285679,275254,285392,295530,351644,407757,247748,266117,277102,299099,293101,303771,302411,281769,289544,298351,303173,317134
Alaska,52355,53779,47307,44731,52408,60084,65727,71370,62255,60270,61617,62884,67847,83367,86650,94836,104043,118501,117812,43775
Arizona,170281,107128,113376,126138,133148,140157,156672,173187,187878,176716,191404,223772,221126,191136,185380,248067,231106,248239,285413,47786
Arkansas,189808,170249,170439,192680,204603,216525,196729,176933,122132,107013,109994,114106,91821,106170,125997,130392,143805,137921,135358,137966
California,943805,993897,1104516,1286537,1368923,1451309,1353551,1255792,1143233,1228026,1438264,1657767,1681605,1812950,1275766,785310,805553,864625,953236,1042184
Colorado,77419,76367,77356,86868,102027,117186,113125,109064,93138,90904,70594,87398,100110,107057,82130,91546,101882,146680,120763,168361
Connecticut,138932,144708,157232,171568,183315,195061,186658,178254,225217,264108,265119,279347,285286,256798,266382,295897,295011,299286,312845,306002
Delaware,81880,77274,96469,106637,74168,41699,61119,80538,88026,90843,95016,101190,101922,121963,132978,150183,154278,155379,166546,167690
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,269777,279663,286048,362181,445017,527852,360723,193593,200311,452314,564257,611500,594162,745831,832862,1216043,1394435,1380956,1364682,1505206
Georgia,367228,307936,366480,236053,353104,461940,474873,486664,521807,606658,660766,688732,668583,841378,906962,831993,848405,885069,913877,882876
Hawaii,11592,14168,17492,15135,14295,13171,13637,14102,13519,14106,19191,19589,17299,20950,12916,8200,9657,10108,11887,20822
Idaho,41141,44306,36209,49299,52238,55176,53716,52256,68827,64413,64804,66369,71554,75248,65432,66563,73688,79210,74215,121847
Illinois,426879,452138,510360,521797,607435,693073,725808,758543,539744,553760,562843,565495,630070,494962,461319,508001,637071,653457,827514,678826
Indiana,162305,171681,191278,209314,218793,228271,232968,237664,246779,241208,225684,222858,248645,284531,246303,235390,265545,255409,235891,226503
Iowa,103997,184174,143295,143750,144890,146030,142092,138154,147700,146720,142451,157495,159557,154891,144483,140149,148111,143267,148321,138795
Kansas,81016,74400,65031,70116,77305,84493,86048,87603,110274,110797,107090,123647,128083,138851,122656,123298,116816,124718,122477,134892
Kentucky,235765,247312,205553,207647,216004,224361,223697,223033,241895,189762,246733,262502,240021,222804,217272,209294,206789,205221,214047,142462
Louisiana,213250,237975,262954,254224,255258,256292,296968,337644,357912,373739,421356,474384,409882,388263,463575,575806,564368,606334,712321,638712
Maine,65699,48460,56294,59456,65102,70747,74887,79027,86844,84801,78165,80058,98140,111029,110453,101496,93496,81334,84715,109150
Maryland,181476,164895,187025,205480,230240,254999,278226,301453,368634,245825,264046,284006,276232,262366,261193,274862,266420,281347,366425,304463
Massachusetts,347996,359862,333265,412359,430122,447885,912408,1376931,724632,783989,745083,746142,756801,695429,745454,635086,662796,690288,722241,748445
Michigan,188167,187592,182390,218317,233845,249373,175394,101414,139735,148978,146250,118601,127661,123162,122936,128672,117332,233447,174326,204733
Minnesota,149708,195440,235422,232258,224854,217449,223895,230341,258627,356364,362240,361538,368762,357941,362053,363887,383850,410836,296776,324120
Mississippi,104690,109236,123460,136613,140862,145110,143375,141639,137605,149601,161513,173003,187054,201753,196411,210612,207788,198989,215752,247798
Missouri,166343,199211,215535,284781,280357,275932,264690,253447,266137,222677,227001,309243,302839,293489,294359,312110,290242,300954,342806,353074
Montana,54581,58300,78111,85183,93610,102036,82311,62585,64434,69498,74222,79803,69831,85330,95608,88484,92806,93238,84709,40880
Nebraska,50470,48428,54479,63519,62024,60528,65152,69775,71858,66706,77045,95021,121653,128825,134916,137039,140222,147114,154892,164605
Nevada,30146,36183,37051,32450,38093,43736,46078,48419,45877,50284,52184,50717,62678,60943,72016,98964,101341,81886,186544,136410
New Hampshire,14867,15768,16262,20627,18576,16525,20433,24340,26430,24578,26512,28002,46780,48179,49236,46565,56552,53712,49633,58262
New Jersey,103264,159174,79253,75771,81779,87787,126831,165875,237674,334661,490065,467658,511150,393816,492462,768828,765106,826100,960300,986942
New Mexico,41443,42114,41931,48306,53195,58084,64650,71216,90504,109924,177728,208823,178156,165019,149829,178138,173279,166818,182321,193911
New York,337101,327868,326676,347242,337546,327850,301432,275014,294907,318463,373834,402247,325907,391509,307009,323028,42437,-34674,-60139,-18342
North Carolina,230018,261717,291949,324308,277487,230665,218663,206661,244746,279986,300497,357048,397519,430906,695132,717233,591622,616810,611195,735409
North Dakota,38488,34793,36965,32099,31864,31628,33265,34902,23869,22966,21961,20375,19108,53611,61765,55196,47989,52471,59546,33702
Ohio,219720,191568,187485,203220,224881,246542,271541,296539,391174,379126,385565,379758,349416,312391,308692,361259,414245,771624,680713,522168
Oklahoma,82564,102350,108329,130052,141104,152156,162778,173400,183688,194301,208995,206614,182510,217568,207836,203676,189053,213642,229147,225801
Oregon,117899,156655,142071,80538,86108,91677,108111,124545,157325,149582,159918,170717,188368,169568,171438,170069,171182,203933,247032,196871
Pennsylvania,757693,827845,909527,1068938,1170513,1272088,1480938,1689787,1815004,1911349,675538,646255,666088,678938,520713,447575,405440,485130,665390,766897
Rhode Island,65644,63438,83672,59147,67242,75336,74494,73651,83171,78930,71727,86365,80748,103584,102379,113527,111787,124183,121654,150646
South Carolina,130518,130782,144953,136515,160160,183804,187728,191651,211206,223309,268849,309025,276135,337967,294689,290340,350225,372509,339848,374320
South Dakota,33461,34492,31411,34310,39835,45359,46481,47603,53962,63237,61033,73568,83390,68033,68354,63994,70790,75172,82273,90506
Tennessee,155241,151225,170002,182838,186841,190843,227163,263483,316327,296489,296531,330441,309625,253799,243548,332268,380039,379351,360699,219964
Texas,347883,375109,540300,559929,531586,503243,487020,470796,954609,1018617,668265,729148,796629,887419,891841,771897,774184,778965,796089,632473
Utah,95278,100280,99853,131686,138317,144948,129928,114908,119094,154054,120373,130930,156522,152416,163716,170230,184157,187240,191437,265851
Vermont,34842,36445,27783,22758,30879,39000,38322,37644,60624,61206,67693,67673,65907,63262,68677,67971,69338,65045,69782,71525
Virginia,157985,182609,203039,224229,247449,270668,263231,255794,265340,337285,322395,295184,293033,260327,266591,258988,191475,187481,152278,161478
Washington,180067,200646,181005,214817,249236,283654,345157,406659,371568,428409,448359,524077,557446,560470,558421,639529,555399,647345,704149,720146
West Virginia,98348,97366,98920,102451,120269,138086,168261,198435,274027,299905,300681,336854,388473,373767,520803,407185,416497,375946,222972,247307
