state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,350838,360017,397331,375078,379802,387030,451882,511324,301216,313356,317666,335911,325389,334293,326168,298453,301595,305185,306503,317134
Alaska,74650,75746,65796,60953,69744,78687,84463,89497,75691,70969,70637,70623,75321,91743,93457,100451,108373,121215,119106,43775
Arizona,242794,150887,157687,171883,177194,183552,201332,217175,228425,208086,219423,251313,245485,210341,199943,262756,240725,253925,288548,47786
Arkansas,270636,239791,237052,262558,272287,283564,252808,221873,148490,126009,126096,128150,101936,116838,135895,138113,149790,141080,136845,137966
California,1345716,1399879,1536193,1753114,1821774,1900655,1739388,1574754,1389959,1446018,1648805,1861797,1866851,1995108,1375988,831810,839081,884430,963705,1042184
Colorado,110387,107561,107589,118372,135778,153468,145372,136766,113239,107041,80928,98155,111138,117814,88582,96967,106122,150040,122089,168361
Connecticut,198095,203818,218683,233789,243956,255455,239865,223529,273822,310991,303929,313728,316713,282600,287309,313418,307290,306141,316281,306002
Delaware,116748,108839,134172,145310,98703,54610,78541,100994,107023,106969,108925,113644,113150,134217,143425,159076,160699,158938,168375,167690
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,384659,393898,397844,493530,592232,691283,463549,242764,243541,532606,646856,686761,659615,820769,898290,1288047,1452473,1412588,1379670,1505206
Georgia,523609,433720,509711,321660,469914,604963,610238,610273,634420,714348,757493,773498,742234,925916,978211,881257,883717,905343,923914,882876
Hawaii,16528,19955,24328,20624,19023,17249,17524,17684,16437,16610,22000,22000,19205,23055,13931,8686,10059,10340,12018,20822
Idaho,58661,62404,50361,67178,69518,72259,69028,65529,83681,75847,74290,74537,79436,82809,70572,70504,76755,81024,75030,121847
Illinois,608662,636825,709824,711033,808379,907658,932704,951208,656228,652060,645235,635094,699479,544694,497559,538081,663587,668425,836602,678826
Indiana,231421,241808,266035,285224,291171,298947,299376,298029,300037,284026,258721,250286,276036,313119,265652,249328,276597,261259,238482,226503
Iowa,148283,259404,199299,195883,192821,191243,182596,173244,179576,172765,163304,176879,177134,170454,155833,148447,154276,146549,149950,138795
Kansas,115516,104791,90447,95544,102877,110653,110577,109854,134073,130465,122766,138865,142193,152802,132292,130599,121678,127575,123822,134892
Kentucky,336163,348333,285889,282953,287460,293826,287463,279682,294099,223447,282851,294810,266462,245190,234341,221687,215396,209922,216398,142462
Louisiana,304061,335182,365724,346421,339699,335644,381621,423403,435155,440083,483037,532769,455035,427274,499993,609901,587858,620223,720144,638712
Maine,93676,68255,78295,81018,86638,92651,96234,99099,105586,99854,89607,89911,108951,122185,119130,107506,97387,83197,85645,109150
Maryland,258756,232250,260120,280000,306405,333950,357536,378020,448190,289462,302699,318960,306662,288727,281712,291137,277509,287792,370449,304463
Massachusetts,496187,506857,463515,561906,572410,586557,1172496,1726662,881018,923158,854153,837974,840170,765303,804016,672691,690382,706100,730173,748445
Michigan,268296,264219,253673,297492,311203,326582,225391,127172,169892,175424,167659,133198,141724,135537,132594,136291,122216,238794,176241,204733
Minnesota,213460,275272,327432,316489,299237,284774,287718,288846,314442,419624,415267,406034,409385,393905,390495,385433,399826,420247,300035,324120
Mississippi,149271,153856,171712,186157,187460,190038,184244,177614,167302,176157,185156,194295,207660,222024,211841,223083,216436,203547,218122,247798
Missouri,237179,280584,299772,388060,373101,361364,340141,317821,323573,262205,260231,347303,336200,322978,317483,330591,302322,307848,346571,353074
Montana,77824,82114,108639,116076,124576,133628,105774,78481,78340,81835,85087,89625,77524,93904,103119,93723,96669,95374,85639,40880
Nebraska,71962,68210,75771,86555,82541,79268,83723,87497,87366,78547,88323,106716,135054,141769,145515,145153,146058,150484,156593,164605
Nevada,42983,50963,51532,44218,50694,57277,59212,60717,55778,59210,59823,56959,69583,67066,77673,104824,105559,83762,188593,136410
New Hampshire,21198,22209,22618,28108,24721,21641,26257,30522,32134,28941,30393,31448,51933,53020,53104,49322,58906,54942,50178,58262
New Jersey,147238,224193,110227,103250,108832,114967,162985,208006,288967,394068,561804,525215,567458,433385,531149,814352,796951,845023,970847,986942
New Mexico,59091,59317,58319,65825,70792,76068,83079,89304,110036,129437,203745,234524,197782,181599,161599,188686,180491,170639,184323,193911
New York,480653,461794,454351,473173,449209,429357,387357,344866,358552,374995,428558,451754,361809,430846,331127,342155,44203,-35468,-60799,-18342
North Carolina,327969,368622,406051,441922,369281,302082,280994,259151,297566,329687,344486,400992,441310,474202,749740,759702,616246,630939,617908,735409
North Dakota,54878,49005,51412,43740,42404,41420,42747,43767,29020,27043,25176,22883,21213,58998,66617,58464,49986,53673,60200,33702
Ohio,313286,269819,260760,276920,299273,322875,348945,371858,475595,446426,442006,426497,387908,343779,332942,382650,431486,789299,688189,522168
Oklahoma,117723,144157,150667,177217,187782,199266,209179,217442,223330,228792,239589,232043,202615,239428,224163,215736,196922,218536,231664,225801
Oregon,168105,220645,197597,109746,114593,120062,138929,156179,191278,176135,183328,191728,209119,186605,184906,180139,178307,208604,249745,196871
Pennsylvania,1080350,1165999,1264997,1456600,1557728,1665945,1903088,2118981,2206708,2250640,774427,725793,739464,747155,561619,474077,422315,496242,672698,766897
Rhode Island,93598,89351,116373,80597,89486,98661,95728,92358,101120,92941,82227,96994,89643,113992,110422,120249,116440,127028,122990,150646
South Carolina,186098,184203,201605,186024,213142,240712,241240,240329,256787,262949,308205,347058,306554,371925,317839,307532,364802,381042,343580,374320
South Dakota,47710,48581,43687,46753,53012,59403,59731,59694,65608,74462,69967,82622,92576,74869,73724,67783,73736,76894,83177,90506
Tennessee,221349,212997,236444,249146,248649,249931,291917,330406,384595,349120,339939,371110,343733,279300,262681,351942,395857,388040,364660,219964
Texas,496026,528332,751465,762993,707439,659054,625847,590375,1160627,1199436,766090,818888,884386,976583,961902,817603,806407,796808,804832,632473
Utah,135851,141242,138878,179443,184073,189826,166965,144094,144796,181401,137994,147044,173764,167730,176577,180310,191822,191529,193539,265851
Vermont,49679,51332,38641,31011,41094,51075,49246,47205,73708,72071,77602,76002,73167,69618,74072,71996,72224,66535,70548,71525
Virginia,225262,257200,282393,305548,329306,354471,338267,320764,322604,397158,369589,331514,325314,286484,287534,274323,199444,191775,153950,161478
