state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,153610,164854,175395,189663,220573,251840,258708,263764,269542,287808,338433,355686,414677,443219,480867,485845,544460,575705,623677,675607
Alaska,7913,6120,6231,7402,9422,11430,13062,14548,13454,14439,14949,15748,19221,26004,20971,20601,21099,20211,21039,33378
Arizona,159316,172051,184900,195645,204237,213940,244523,272371,312425,338625,363986,390325,449349,522493,562673,605797,1649825,1810222,1867652,658760
Arkansas,89040,111405,142121,170600,191336,212620,224318,234202,221869,254403,249754,279808,284964,330908,582296,543285,525941,490464,473642,478104
California,1599326,1646475,1669112,1526062,1936470,2344608,2517889,2669021,2963581,3139116,2035625,2152127,2281923,3322186,3815084,4383466,4463907,4636730,4984688,5182384
Colorado,119955,126333,133496,144602,169310,194255,198907,202193,209380,241429,240975,265185,298891,323311,338284,368003,378012,390281,441084,478980
Connecticut,101310,122636,129260,146947,153036,159972,170334,179255,194448,203410,215354,288447,301169,321191,360462,350636,344520,326318,360772,371773
Delaware,44606,57019,58607,63059,70185,77532,79559,81033,84813,88663,150352,103077,173698,189389,200865,204686,229835,258754,281642,292436
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,558837,573917,647651,738720,882774,1027467,1196186,1350712,1643206,1667767,1842168,1995923,1984669,1972789,2033179,1841640,1846180,1846303,1888922,1713856
Georgia,538758,612867,571147,724636,759695,798767,861760,917016,879730,822137,866701,868865,957585,1108305,1242889,981324,940600,956929,1007192,1078655
Hawaii,6954,6476,6572,5568,9282,12917,24318,35092,31875,29686,34014,40459,45310,53304,88437,97237,100847,107507,148432,136682
Idaho,25494,27543,30242,31900,39050,46198,49502,52376,65632,62957,66707,71576,77749,80460,81712,79991,78202,76555,80092,84503
Illinois,744268,797888,860911,883672,930155,981412,959530,932941,882223,916716,1026704,1003344,1022230,1055590,1066948,1096099,1078945,1161415,1126333,1016816
Indiana,292690,312429,342251,349137,400336,452376,512526,567111,570374,606429,680211,674139,737026,773355,820766,893511,858223,905486,939964,958748
Iowa,209352,201250,209107,222698,234297,247103,239277,230377,232681,236145,249324,266534,272195,273406,287811,286257,311925,324419,340581,352054
Kansas,84537,91258,94688,87266,168758,248273,176005,105773,107839,103868,96080,110084,128484,141860,148363,135704,137576,137115,137653,140874
Kentucky,167328,168835,195265,231079,303118,374499,461306,541716,577633,616657,645079,671696,700236,748418,765528,776283,810440,834360,834983,902931
Louisiana,132933,138666,235406,297766,404460,509863,450698,391399,418138,358174,373621,421254,443185,452216,321418,317069,746507,640690,741087,943835
Maine,38766,38881,47456,45678,55673,65673,63698,61432,62212,65672,64262,66103,70698,88131,96852,96500,93359,93792,101391,112764
Maryland,254905,267102,288223,311966,363320,415246,416355,414971,423819,432397,456887,454125,471293,450689,442081,435832,456246,467318,467174,490603
Massachusetts,216929,228360,271939,292879,285720,280863,278321,274252,291224,279662,312658,326159,332207,369125,350716,371747,385124,390748,402496,908508
Michigan,453419,486976,500977,434746,354128,279155,508566,725247,708009,771559,785262,844698,942793,1003890,900102,919321,951882,982820,999464,1108190
Minnesota,305927,305295,322005,358797,390943,424606,431948,436441,449249,450111,516893,520465,525872,598942,520602,532323,565625,586318,593273,645763
Mississippi,117351,167710,181894,191145,191658,193509,179490,165012,164957,164737,167748,153725,163644,182183,192530,207116,226063,256027,293723,311972
Missouri,198062,216940,236757,228150,262579,297526,303499,307436,320898,335719,354973,426496,474482,475216,429635,449960,461998,475800,402980,425038
