state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,777301,783854,798301,818625,850160,946111,980940,1022676,1089650,1140075,1221396,1236759,1394834,1380055,1413774,1417969,1437905,1444910,1444699,1392333
Alaska,37444,40245,40056,39756,42714,53817,57882,62054,65838,68790,70296,61815,94284,90816,98065,101907,103910,98599,99054,103778
Arizona,540008,556605,562008,562941,588923,680698,709960,739201,771178,817955,924466,1001197,1246671,1295336,1381176,1409991,1489323,1522532,1557532,1524773
Arkansas,421488,425564,431553,439734,457918,516428,528519,546238,574086,596389,637797,655575,746384,741234,759930,764025,789317,794507,806570,789715
California,3678384,3799633,3868666,3777915,3871433,4319076,4382294,4449344,4575681,4749976,5311267,5481142,6640595,6858240,7251211,7289949,7670273,7748313,7655742,7195591
Colorado,334125,337844,336236,329852,342436,404019,425764,439816,461368,482506,529992,563786,703505,718025,757380,775244,813304,810024,814851,792843
Connecticut,196440,207838,214300,213841,222718,251229,262708,273379,286109,302202,333361,345990,401792,404519,432218,453493,489158,497420,501490,494583
Delaware,76212,77714,78425,78760,81647,94025,97001,101460,107849,112117,121774,128227,148060,151528,159321,165527,174099,178189,181160,177779
District of Columbia,79636,81568,84381,84094,84094,88728,87017,86465,88386,89145,91561,94078,108444,112488,128382,122917,128373,129888,127184,122886
Florida,1997956,2047553,2118067,2181077,2323152,2679875,2807471,2934123,3054048,3205631,3579925,3825237,4522642,4678572,4841136,5099789,5352624,5404377,5455386,5350136
Georgia,1153161,1191590,1228091,1270584,1351653,1550975,1643024,1732097,1876182,2009930,2219893,2339271,2689174,2764414,2833044,2900740,3029086,3063653,3097961,2998262
Hawaii,81529,88059,91758,94456,102744,128294,132899,141483,143818,150912,164710,172619,212874,222544,235605,240483,247426,246619,239484,223222
Idaho,124412,128772,130033,129632,138753,164836,171652,179113,189334,196083,215286,232570,293028,294575,302468,308166,319091,317425,318997,311501
Illinois,1126013,1160595,1207379,1228331,1278557,1437212,1500697,1576538,1669290,1747619,1894797,1979163,2285639,2315226,2418298,2451585,2539201,2582429,2573670,2484368
Indiana,546748,554073,556602,569808,600509,692012,718264,756647,802842,852437,933890,998418,1179567,1183670,1242184,1273387,1334191,1348571,1351269,1310231
Iowa,212169,212875,211150,212600,222459,262553,270896,279607,294858,313054,341901,358193,430353,424493,437211,452305,473523,476999,482748,470672
Kansas,216463,220853,221994,223642,233989,281678,295386,306000,318957,330158,358467,372693,456709,461022,478922,487372,507574,511361,512239,497955
Kentucky,453628,465943,471265,477580,496222,568888,588693,608967,642625,677301,734795,768208,893765,894660,924565,940851,980404,986209,989797,968141
Louisiana,852446,864538,900946,921578,965264,1075277,1115615,1156205,1088921,1156158,1216077,1223396,1382902,1377933,1415334,1422469,1454045,1461088,1485851,1454343
Maine,112697,114993,113945,112197,115724,133033,135316,137940,145056,151148,163376,166539,195792,194211,199851,205791,214425,217211,217302,211972
Maryland,490921,495276,498389,493076,500019,565211,586038,597436,620577,642568,693211,722374,842288,859644,902588,930605,991135,1017496,1011898,968682
Massachusetts,367706,385885,392128,384770,393624,446449,468495,492911,518021,541203,592854,622413,730943,740585,782530,809976,860908,873980,871023,844859
