state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,956505,999070,1062365,1083857,1145856,1207854,1262604,1317353,1368260,1526770,1767717,1853208,1673702,1501508,1483066,1840444,1934548,1914022,1847443,1809324
Alaska,209433,220826,230734,249464,285804,322144,332058,341972,371527,380457,403888,417039,455945,467325,468378,513549,501956,512321,505954,534733
Arizona,847032,912713,1181717,1243399,1361458,1479517,1510305,1541093,1622085,1723758,1809747,1958964,1835506,1674809,1606342,2123236,2195934,2274994,2291722,2563081
Arkansas,457171,477757,523547,610066,661649,713231,728620,744008,764402,823915,868378,958335,959186,972336,1014814,1414004,1336730,1361441,1350912,1551943
California,6858657,7204340,8785788,10104698,11048932,11993165,12721799,13450433,12467464,13427017,16219253,18387120,18746206,20309862,21130356,23272052,22662600,23708538,24683830,26706188
Colorado,861733,860835,954147,1029382,1122642,1215901,1152477,1089053,1139323,899135,960246,1003698,1121710,1251498,1124925,1745923,1702710,1890190,1853732,2144389
Connecticut,502177,527358,619263,677821,769192,860563,880821,901079,965043,997031,918286,978564,989076,865493,891677,1090928,1151118,1314402,1376412,1432095
Delaware,185114,192813,185622,179302,243996,308689,287460,266231,283173,295956,225255,253881,252454,214769,199812,239423,286413,348416,350946,307848
District of Columbia,56693,48148,62618,60470,61852,63234,68326,73418,70369,84468,93258,61806,103578,107882,117825,114929,106579,99165,103190,104522
Florida,2039186,2167583,2493009,2746993,2971962,3196930,3348686,3500441,3772467,3978852,4357306,4326097,4462402,4265695,4365508,5544141,5477956,5944295,6215886,6610633
Georgia,1317266,1396125,1684865,1737648,1935441,2133234,2160535,2187836,2248264,2291305,2364272,2534030,2451223,2161306,2298594,2862815,2843608,2712128,2328388,2497892
Hawaii,394349,407889,420474,411791,463328,514864,528910,542956,574336,618614,667261,797511,690103,584774,600789,719091,721827,571453,553178,569970
Idaho,249477,248854,285018,293009,325711,358412,361457,364502,411980,425901,426407,472932,474049,474394,454888,489153,520431,518037,510846,555758
