state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1363824,1407165,1477569,1476930,1524914,1581823,1622516,1651951,1663550,1797793,2026486,2081292,1858077,1652373,1599573,1949420,2015066,1957865,1867733,1809324
Alaska,298618,311028,320912,339935,380350,421884,426713,428831,451708,447993,463011,468366,506172,514280,505173,543957,522848,524056,511511,534733
Arizona,1207733,1285534,1643567,1694332,1811839,1937597,1940827,1932520,1972154,2029749,2074668,2200064,2037705,1843087,1732533,2248957,2287332,2327105,2316891,2563081
Arkansas,651853,672909,728165,831313,880527,934058,936317,932981,929371,970171,995496,1076282,1064850,1070032,1094536,1497730,1392367,1392626,1365749,1551943
California,9779356,10147133,12219532,13769279,14704007,15706420,16348226,16866748,15158121,15810498,18593522,20650122,20811288,22350512,22790320,24650034,23605848,24251608,24954922,26706188
Colorado,1228695,1212465,1327056,1402699,1494020,1592361,1480998,1365665,1385205,1058744,1100812,1127229,1245278,1377243,1213297,1849302,1773579,1933487,1874091,2144389
Connecticut,716025,742771,861289,923640,1023647,1127006,1131904,1129947,1173313,1174018,1052710,1099001,1098033,952454,961726,1155524,1199029,1344510,1391529,1432095
Delaware,263943,271572,258169,244328,324711,404264,369402,333852,344286,348492,258229,285128,280264,236348,215509,253600,298334,356397,354800,307848
District of Columbia,80835,67815,87091,82400,82313,82812,87803,92066,85556,99462,106910,69413,114988,118722,127081,121734,111015,101436,104323,104522
Florida,2907556,3052987,3467350,3743221,3955110,4186745,4303249,4389529,4586619,4685153,4995154,4858533,4953980,4694294,4708455,5872420,5705956,6080456,6284153,6610633
Georgia,1878212,1966407,2343360,2367825,2575700,2793714,2776409,2743531,2733472,2698043,2710368,2845907,2721250,2378465,2479168,3032328,2961963,2774252,2353960,2497892
Hawaii,562279,574501,584808,561132,616600,674273,679679,680863,698286,728427,764939,895665,766125,643530,647986,761670,751870,584543,559253,569970
Idaho,355715,350505,396411,399272,433458,469381,464493,457083,500891,501504,488827,531138,526270,522059,490623,518117,542092,529903,516456,555758
Illinois,2646543,2706054,3106868,3297737,3718647,4149492,4325479,4468585,4621815,4116272,4044653,4188653,3890753,4245657,4005916,4731013,4959598,5236382,5326254,5063521
Indiana,1569528,1529288,1580491,1623868,1692017,1769488,1669778,1564496,1703304,1643630,1619769,1643930,1698328,1620172,1504326,2180338,2059007,2080740,1974132,2281517
Iowa,1129697,1176492,1222329,1260795,1285509,1318359,1281202,1238099,1199797,1297696,1280507,1472100,1386921,1365294,1393495,1552556,1544171,1585193,1652766,1521209
