state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2
Alaska,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Arizona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arkansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
California,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3
Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Delaware,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1
District of Columbia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
Idaho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Indiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iowa,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kansas,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kentucky,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2
Louisiana,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1
Maine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2
Maryland,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2
Minnesota,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2
Mississippi,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Missouri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Nebraska,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3
Nevada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Hampshire,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,1,1,1,1,1
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Mexico,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
New York,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2
North Carolina,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
North Dakota,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Ohio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oklahoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Oregon,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Dakota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Utah,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Vermont,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
West Virginia,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Wisconsin,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
Wyoming,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4
