state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,5,5,5,6,6,6,6,6,6,6,5,6,7,7,7,7,7,8,8
Alaska,,2,2,2,3,3,4,4,4,5,5,5,5,6,6,7,7,6,7,7
Arizona,,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5
Arkansas,,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6
California,,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,9,8
Colorado,,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5
Connecticut,,4,4,5,5,5,5,5,5,5,5,6,6,5,6,6,7,7,8,8
Delaware,,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,6,6,7,7
District of Columbia,,11,10,11,10,9,10,11,11,11,11,13,15,17,18,18,19,19,20,20
Florida,,3,3,3,3,4,4,4,5,5,4,5,5,5,5,5,5,5,6,6
Georgia,,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hawaii,,3,3,3,3,3,4,4,4,4,4,4,5,6,6,6,6,8,7,7
Idaho,,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4
Illinois,,2,2,2,2,2,2,3,3,3,3,4,4,3,4,3,4,4,5,5
Indiana,,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,7,6,7,8
Iowa,,4,4,4,4,4,5,6,6,6,6,6,7,7,7,8,8,9,9,10
Kansas,,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6
Kentucky,,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,8,8
Louisiana,,4,4,5,4,4,5,5,5,6,6,7,7,7,7,6,7,8,7,7
Maine,,4,3,3,3,4,4,4,4,5,5,5,6,7,7,7,7,9,7,7
Maryland,,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5
Massachusetts,,4,4,4,3,3,5,5,6,6,6,6,6,7,7,8,7,8,9,10
Michigan,,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,6
Minnesota,,3,3,4,4,4,5,5,6,6,6,6,7,7,7,8,7,7,7,9
Mississippi,,4,5,5,6,6,6,7,7,7,7,7,8,8,8,8,9,8,9,10
Missouri,,3,3,3,3,4,4,4,4,4,4,4,4,5,5,6,5,5,6,6
Montana,,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5
Nebraska,,3,3,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4
Nevada,,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,5
New Hampshire,,2,2,3,2,2,3,3,4,3,3,3,3,4,3,3,3,3,4,5
New Jersey,,2,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6
New Mexico,,2,3,3,3,4,4,4,5,5,5,6,5,5,6,6,5,5,8,8
New York,,6,6,6,6,6,7,8,9,9,9,9,9,10,10,10,12,11,12,13
North Carolina,,4,4,4,4,5,4,4,4,4,4,4,5,5,5,6,6,6,6,6
North Dakota,,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,5,3
Ohio,,3,3,3,4,4,4,5,5,5,5,5,5,5,6,6,6,6,7,8
Oklahoma,,3,2,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
Oregon,,3,3,4,4,5,4,3,3,3,3,3,4,5,5,5,6,7,9,8
Pennsylvania,,2,2,3,3,3,4,4,5,4,4,4,4,5,5,5,5,5,6,7
Rhode Island,,3,3,3,4,5,5,5,6,6,5,6,5,5,5,6,6,6,6,6
South Carolina,,5,5,5,6,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
South Dakota,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tennessee,,4,4,4,4,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6
Texas,,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
Utah,,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4
Vermont,,3,2,3,2,2,3,3,4,4,4,4,5,5,4,4,4,4,4,5
Virginia,,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6
Washington,,3,3,3,3,4,4,5,5,4,4,5,5,5,5,5,5,6,7,7
West Virginia,,4,5,5,5,5,5,6,6,5,5,5,6,6,6,6,7,7,8,9
Wisconsin,,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,7
Wyoming,,5,5,5,5,6,6,7,7,8,8,8,9,9,9,10,10,10,10,11
