state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,426958,790461,855711,887746,972733,1052212,1111364,1185064,601263,647508,690614,675941,692386,748221,725557,666972,634501,651743,703873,909292
Alaska,172967,184300,201588,241217,250779,252381,294841,339288,278729,289052,280220,302346,332174,429927,431592,460996,460543,474309,464218,447388
Arizona,667569,688056,497790,834722,733219,577120,769175,1007868,1024864,1127349,1309000,1379471,1361762,1202463,1179276,1244499,1397956,1429215,1569511,2988506
Arkansas,328778,381054,410134,395500,458248,510016,529869,550732,459323,485124,512503,536925,478085,565406,574236,658294,621132,592772,600335,562263
California,6852416,7357784,7737425,9222178,10875248,12552516,12347304,12486847,13316635,14257587,15100124,15804747,16157931,15875368,16366430,16625583,17112916,18352846,19319790,20692808
Colorado,888761,878209,944776,1025610,1008659,1001501,965883,913586,907749,926984,1004896,1132888,1050060,1055942,1122299,1162182,1175363,1228931,1348638,1275828
Connecticut,578823,619632,703436,690823,725722,768872,912707,1069414,1101455,1197867,1221910,1298926,1376066,1336259,1364951,1300012,1269536,1296816,1398971,1332881
Delaware,139108,144691,123261,129385,155378,183507,186977,190892,226368,272720,293471,277101,271636,285919,242005,234488,266600,271069,302258,323799
District of Columbia,226199,220312,321530,344022,415531,482801,466655,449107,502984,529730,903139,835277,796500,701779,612615,630398,655871,620037,742760,743947
Florida,1697163,1550433,1573415,1798645,2044008,2302065,2541626,2786998,3396045,3309889,3533958,3724452,3551520,3646257,3587260,3118831,2935090,3002830,2983931,3090323
Georgia,916803,826025,991145,1065253,1027887,1046155,912358,1011925,1220095,1682907,1469229,1485462,1692297,1486099,1458652,1407805,1613536,1591260,1484733,1476012
Hawaii,150911,175314,239892,230489,264319,323598,319434,325308,415694,404514,342922,546074,603682,600976,536806,508081,511498,493617,541494,572778
Idaho,182678,188133,187334,195943,218087,241141,249713,258805,232816,243930,252168,266419,304353,279806,274845,270670,269756,274629,271499,375751
Illinois,2713840,3095133,3469206,3498497,3798120,4063143,4125393,4159927,4007757,3989285,4162710,4208922,4489258,4267291,4592037,4344107,4976471,5386590,5052836,4161571
Indiana,816024,893421,1080355,1219811,1333527,1454048,1441114,1438466,1458200,1642080,1665884,1685929,2016474,2195996,2062997,1921972,1908124,2155431,2290022,2532059
Iowa,497033,518607,560333,635580,695419,755683,692859,635696,659669,668558,619582,647632,668086,681857,661460,647570,653887,665969,677897,682877
Kansas,261921,306494,321697,321940,390995,522921,698587,881714,518655,557291,609079,638688,667640,649960,708135,627476,678752,639942,645749,744302
Kentucky,517374,582009,708919,834520,867386,921149,920645,917845,948924,976818,980054,1066535,1088728,1094114,1119985,1093205,1092030,1031129,1032118,1033984
Louisiana,578665,672978,746467,537101,540929,551975,559591,569916,574695,596554,668353,906841,962244,1036013,889860,873146,853694,832872,753529,696860
Maine,369099,380528,409387,489772,513844,534603,586162,627356,716947,596896,495035,548690,587094,563609,559923,600901,501587,559845,592024,1003260
Maryland,787866,988570,1166899,1205188,1191574,1203495,1456848,1437634,1411028,1590926,1685161,1786502,2146306,2384001,2505056,2509481,2593743,2567996,2530108,2456600
Massachusetts,1373726,1218156,1163674,1161172,1334380,1464584,1779460,2152087,1513790,1684430,2122319,2272271,2382136,2365905,2355724,2269386,2263211,2472674,2624449,2855946
Michigan,2218318,2537105,2546501,3040766,3404465,3712735,3699646,3738959,2986778,3225913,2666951,2686643,3129584,3036127,3011793,2774007,2708507,2710505,2646872,3019855
Minnesota,1466507,1842914,2103803,2244732,2426293,2598260,2397187,2230120,2335432,2012729,2047419,2117950,2337576,2625176,2603405,2730540,2727897,2987979,3090280,3194976
Mississippi,251208,267952,304742,372296,428384,490938,436908,386174,353046,386186,447444,450113,450552,574324,489959,467105,478039,471217,465774,504252
Missouri,606904,721279,808479,921766,998086,1084570,1088953,1068112,1191717,1057875,1032331,1090243,1118219,1137050,732618,804068,687653,680108,687106,761865
Montana,149710,128375,156921,171066,188793,204872,190217,203741,185277,174164,179823,193639,236048,255007,266729,261115,259757,262717,269125,52541
Nebraska,312903,341237,309549,436665,485355,519246,563035,607414,653739,607215,608383,686845,704439,763345,750088,786327,904659,947493,956360,956774
Nevada,207516,238839,281776,284131,310505,311044,400390,504905,492975,518346,539361,561373,614498,681553,668702,637510,657487,711640,715110,684218
New Hampshire,224181,245427,259269,284684,298250,304435,310815,331609,198957,207019,213176,230494,443594,479735,488403,465090,346130,379653,392706,333318
New Jersey,1475296,1635390,1703864,1753437,1692200,1613188,1598077,1565517,1463078,2587533,2341342,2478305,2804790,2667296,3200611,3135566,2936770,3045552,3131638,3069943
New Mexico,227451,262773,249235,248884,288526,345007,395740,446801,378711,393432,425074,481261,513785,460379,437572,430335,424304,450082,473369,474350
New York,6178048,6699740,6726055,7270558,7553115,8055598,8267575,8638480,8525718,8646075,9123332,9483985,9630498,9959312,10082268,10047583,9042224,8931168,9565560,9745851
North Carolina,1216754,1459846,2042031,2025457,2021425,2008679,2244624,2489561,1759463,1725316,1798060,1954911,1983901,2019073,1880859,2046843,2317812,2327067,2461718,2493125
North Dakota,157019,181927,229661,199852,212931,230138,241363,265906,212681,216319,248246,276541,288541,240890,254158,254990,255057,299495,308429,845701
Ohio,2146527,2249441,2338411,2507404,2898526,3257707,3443711,3581290,3538959,3431892,3844512,4367744,4628232,4503440,4644523,4300119,4499817,4827534,3950731,4217742
Oklahoma,360390,381723,416487,375401,458523,524024,547923,601403,650817,699014,727367,774923,807975,816882,798366,802569,887708,914215,950509,994969
Oregon,722752,640483,717072,938624,1035300,1174643,1162910,1166747,1253825,1292320,1301063,1274177,1433622,1467602,1479719,1273510,1328976,1430717,1615473,2477835
Pennsylvania,3691933,4108019,4201375,4610835,5090192,5268845,4887371,4430536,4084683,4216631,4876012,5153690,5469992,4945973,4880722,4998273,5050469,5365088,5520497,6026701
Rhode Island,192080,234528,239426,285846,346711,389969,360381,328914,341087,263560,305964,265367,281869,319166,353750,350571,355648,374578,366468,359977
South Carolina,555276,584398,605851,608829,740313,810842,771973,777263,653707,720159,806207,882615,920968,941040,812995,698942,714105,794935,837050,829500
South Dakota,115462,120748,133902,157955,163827,167804,188719,209523,222968,219966,251389,256513,307339,317720,303930,299942,307227,309638,323568,329441
Tennessee,916637,938886,962985,1006721,1162325,1287187,1353834,1445909,1468998,1560406,1481333,1512777,1663807,1623902,1652042,1594705,1576926,1647893,1637010,1697187
Texas,2244445,2350431,3036370,2662618,2745070,2860448,2835500,3040900,3121745,3572870,2915699,2963683,4138353,4479687,4716865,4395187,4256523,4696427,4855597,4450809
Utah,331553,347613,578898,540433,483559,424589,464751,505775,449478,493558,475878,498904,576910,704235,735193,811857,792992,770442,783152,777612
Vermont,112815,127442,128193,188363,210488,225560,281787,333548,262723,273875,286332,310952,338389,330208,349338,349236,362186,374037,399587,409357
Virginia,1150463,1267137,1391268,1475365,1421798,1286185,1647349,2053472,2052066,2172935,2373024,2415475,2605243,2588106,2616992,2710825,2712315,2785024,2924024,2944186
Washington,982084,1083172,1423062,1480831,1650923,1790547,1787304,1706420,1790068,1769519,1904040,2144928,2273686,2265515,2157747,1736253,1748216,1796899,1856245,2901736
West Virginia,171251,248133,245393,265552,323330,389783,302805,212905,213776,212081,240947,263876,332504,405188,479927,429672,438469,455202,651990,645795
Wisconsin,1354754,1268787,1504104,1782657,1870363,1986335,2113380,2195626,1743595,1826661,1942490,1977404,2131099,2071590,2125135,2516416,1849366,2508189,2591094,2755461
Wyoming,60952,61257,52768,63747,83112,99411,107585,138039,130505,115342,137270,157042,169397,174804,168994,178196,180199,191103,182149,197222
