state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,608774,1113345,1190148,1209697,1294521,1377992,1428165,1486062,731024,762450,791710,759133,768659,823399,782556,706465,660910,666672,711603,909292
Alaska,246623,259582,280375,328697,333739,330521,378888,425465,338883,340363,321241,339558,368767,473124,465497,488293,479711,485174,469316,447388
Arizona,951848,969109,692341,1137444,975774,755805,988433,1263860,1246044,1327469,1500619,1549250,1511774,1323282,1271918,1318189,1456140,1461952,1586748,2988506
Arkansas,468785,536705,570427,538933,609840,667924,680912,690614,558451,571240,587526,603007,530751,622216,619347,697273,646985,606350,606928,562263
California,9770457,10363255,10761437,12566703,14472867,16438954,15866979,15658419,16190555,16788506,17310568,17749922,17937888,17470458,17652148,17610016,17825178,18773238,19531972,20692808
Colorado,1267232,1236935,1314022,1397559,1342331,1311580,1241213,1145631,1103655,1091536,1151999,1272319,1165735,1162039,1210465,1230997,1224283,1257081,1363449,1275828
Connecticut,825310,872736,978359,941358,965796,1006926,1172880,1341038,1339165,1410505,1400780,1458792,1527653,1470520,1472179,1376988,1322376,1326521,1414335,1332881
Delaware,198345,203793,171435,176308,206779,240323,240276,239377,275221,321131,336431,311205,301559,314647,261016,248373,277696,277278,305577,323799
District of Columbia,322524,310305,447194,468786,552992,632283,599678,563177,611536,623764,1035345,938079,884242,772291,660741,667725,683170,634240,750918,743947
Florida,2419884,2183746,2188352,2450943,2720182,3014817,3266132,3494876,4128960,3897440,4051280,4182841,3942756,4012618,3869069,3303503,3057252,3071613,3016703,3090323
Georgia,1307216,1163435,1378514,1451579,1367920,1370059,1172431,1268947,1483409,1981646,1684303,1668286,1878721,1635416,1573241,1491164,1680694,1627710,1501039,1476012
Hawaii,215175,246926,333649,314078,351758,423789,410490,407934,505407,476321,393120,613282,670184,661360,578976,538165,532787,504924,547441,572778
Idaho,260469,264980,260549,267004,290232,315801,320896,324540,283061,287231,289082,299209,337881,307919,296436,286696,280984,280920,274480,375751
Illinois,3869505,4359417,4825074,4767266,5054569,5321150,5301362,5216519,4872689,4697438,4772072,4726936,4983794,4696051,4952779,4601330,5183599,5509976,5108329,4161571
Indiana,1163521,1258361,1502590,1662188,1774669,1904242,1851912,1803827,1772900,1933572,1909745,1893425,2238609,2416640,2225062,2035776,1987542,2204804,2315172,2532059
Iowa,708691,730445,779328,866079,925469,989653,890362,797158,802035,787236,710280,727339,741683,750367,713423,685913,681102,681224,685342,682877
Kansas,373457,431690,447426,438694,520339,684824,897724,1105664,630588,656218,698240,717294,741187,715265,763765,664630,707002,654600,652841,744302
Kentucky,737694,819745,985985,1137168,1154324,1206350,1183080,1150971,1153715,1150216,1123520,1197799,1208662,1204046,1207969,1157936,1137482,1054748,1043454,1033984
Louisiana,825085,947872,1038209,731887,719873,722874,719106,714670,698723,702451,766190,1018450,1068245,1140107,959766,924847,889226,851950,761805,696860
Maine,526277,535964,569387,667393,683828,700124,753251,786700,871674,702853,567501,616220,651768,620238,603910,636482,522464,572669,598526,1003260
Maryland,1123372,1392376,1622957,1642263,1585757,1576115,1872132,1802783,1715548,1873338,1931845,2006376,2382743,2623535,2701849,2658072,2701698,2626818,2557895,2456600
Massachusetts,1958716,1715742,1618472,1582283,1775803,1918040,2286705,2698702,1840487,1983439,2432996,2551932,2644552,2603621,2540786,2403760,2357409,2529313,2653272,2855946
