state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,215250,229160,201080,216101,254932,293762,301287,308811,344021,367710,356683,387650,362640,335279,359822,356516,381045,375783,376235,330073
Alaska,43634,47120,45757,48002,50936,53869,55328,56787,59690,65335,66449,92656,92556,95119,96195,82250,68251,69719,95708,91864
Arizona,278118,295320,316985,329591,396612,463633,451304,438974,453594,511167,587459,622907,642757,593798,520005,514132,524312,565369,572968,618931
Arkansas,80406,83028,95906,103866,112880,121893,126825,131757,117249,116612,139489,142925,147831,171857,168379,172812,177544,190296,195036,197134
California,2174666,2251511,2384285,2576541,2879718,3182895,3229402,3275908,3601373,4165211,4261971,4501971,4541621,4535945,4434130,4442083,4581131,4452883,4797504,5072765
Colorado,399417,423015,467423,549333,614424,679514,699166,718817,737129,769869,816985,856503,922822,920373,929707,937925,960053,903873,961034,986675
Connecticut,144305,142135,156125,168828,209031,249233,246471,243709,216962,219658,224880,253249,238513,223944,226944,251032,248290,235598,256553,244496
Delaware,34446,32173,33340,37588,48226,58863,54309,49754,53916,63722,68853,65120,58256,57156,56519,55249,56738,61232,64761,69497
District of Columbia,56688,60097,44471,50985,58253,65521,69378,73234,95156,102155,105944,145924,135135,131325,142828,140940,148396,172977,158744,188716
Florida,993600,1016300,1033799,1108440,1218152,1327863,1447259,1566655,1679018,1797591,2175341,2355364,2161821,2161133,2104520,2074638,2079388,2291019,2364323,2489806
Georgia,367599,388790,358925,396491,423752,451013,461744,472474,535859,586034,674582,665271,686897,662482,667344,633261,618183,616811,644047,682435
Hawaii,111566,113459,108074,125472,131794,138115,143954,149792,164529,169546,190567,204618,223905,216921,208294,211913,219547,235357,240249,204863
Idaho,54086,59701,59792,71844,73863,75882,78598,81313,88207,95530,93075,105957,101037,96897,103918,115433,117755,119936,123487,129127
Illinois,1194907,1360912,1393952,1530170,1592615,1655060,1710004,1764948,1791170,1904540,2122967,2152070,2234295,2202542,2162073,2120712,2049724,2026624,2138216,2161383
Indiana,233395,237440,291474,295318,308746,322173,336363,350552,340236,354945,380669,406793,491597,378049,374045,351149,317291,384869,409018,444181
Iowa,135573,156338,166229,179918,186349,192780,193628,194475,220636,223012,232951,243041,268274,255544,261701,270950,274652,275260,281768,289939
Kansas,127331,131302,142669,145236,151193,157150,166654,176157,194185,202527,204040,228747,240583,245129,246932,253435,252220,253946,265246,274743
Kentucky,138559,163517,162452,175814,187763,199712,207226,214739,212995,241492,236693,243442,249797,243894,228152,230046,232579,257975,274647,307916
Louisiana,213478,230735,232630,267505,285175,302845,329121,355396,378905,331126,407297,506691,509534,508405,555963,532395,559388,534283,568735,576941
Maine,38020,41699,46027,48583,50704,52824,54640,56456,57258,62592,67775,71753,65330,75248,81720,84012,83763,76325,78160,82111
Maryland,375108,385224,396588,457433,467248,477063,500771,524478,504205,539842,598711,638480,852481,854839,754500,791739,787230,972717,1016366,1080072
Massachusetts,168926,187839,198861,201586,207485,213384,230186,246988,262088,289870,332736,335357,351794,331675,329449,333602,346717,346374,357292,386193
Michigan,388912,462554,470919,488831,564497,640163,680903,721643,735523,691358,706189,694551,674355,619271,596536,638230,641821,641484,677375,693803
Minnesota,413494,456561,472728,477124,510237,543350,589055,634760,669483,686174,664059,692875,790969,798852,843473,772321,779266,849669,884085,927002
Mississippi,71426,81258,93844,110599,116087,121575,125698,129821,133145,136919,134606,140317,155686,191905,192409,181175,185520,188315,206722,194515
Missouri,264504,281197,286254,322037,315760,309482,320706,331929,348511,383213,411348,428243,487950,533403,583773,535734,565960,553569,556515,601553
Montana,34022,38618,34014,38929,38750,38570,44449,50327,49486,54379,56512,58602,62862,65126,64853,63510,76014,70306,73228,74535
Nebraska,92892,96618,100267,98437,108789,119140,124217,129294,133445,139320,136969,155227,160114,155347,146833,140189,148559,164622,170474,182385
Nevada,212436,246462,268206,291873,243998,196122,299092,402062,427145,490684,509224,606013,527405,470062,450362,441962,427801,435128,463851,498073
New Hampshire,44915,46357,47994,49837,55648,61459,67131,72802,72524,80179,86566,92010,91750,96541,93580,72337,74922,85923,87095,89985
New Jersey,506631,530789,538794,570964,610592,650219,691522,732825,784679,818827,832059,876457,839245,797827,694462,694493,587780,597096,615979,598968
New Mexico,138978,141144,149173,163417,161411,159404,175816,192227,222723,229787,213566,238212,242460,246320,249414,268036,251484,259958,275042,264182
