state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,172289,180240,182014,203083,260593,301450,314454,299062,271099,255223,276781,351639,591667,678147,605331,543370,517994,497199,461836,434938
Alaska,10801,14581,13361,13832,15724,17841,18847,19532,18063,17702,19869,23109,36582,50664,46799,45991,44468,42336,37692,35029
Arizona,171742,161663,157268,170006,208638,250310,279643,288989,260146,240960,268274,347237,627082,800743,748718,688177,654059,623523,572837,530849
Arkansas,93968,105576,109837,121435,156380,183494,195063,195734,183931,178382,196344,232308,368254,419390,389973,360695,341579,320977,291936,273421
California,1105443,1296720,1287950,1374891,1646383,1812016,1898873,1916018,1810197,1747659,1974480,2479058,3824302,4623764,4391189,4223065,4274888,4219237,3982073,3726363
Colorado,112647,123934,117167,125624,153504,185384,211020,219089,202762,191466,207053,250177,431426,535145,493491,469131,437185,403785,360994,337515
Connecticut,51977,60249,57946,65106,80523,94809,103774,107573,107133,107803,123812,151479,241654,291623,279095,275278,276825,274620,259240,247650
Delaware,14208,15573,15018,16265,21038,25479,27268,27549,24875,25972,30159,37783,63561,76304,76038,72197,71091,70034,65472,61801
District of Columbia,27051,16545,15745,17757,21995,25408,27929,28991,27265,26111,29043,35517,53262,58882,54502,52094,51382,49806,45283,40406
Florida,454289,531432,520820,588259,756465,884129,952133,939907,858601,836185,970634,1285502,2265499,2683830,2444506,2274069,2223981,2115743,1958840,1824429
Georgia,217817,234799,229761,252592,327690,387749,428762,444829,431490,447992,528759,709576,1240732,1497478,1416871,1305841,1262557,1203208,1113260,1025527
Hawaii,22815,33112,34870,37422,44303,48008,48568,45874,39547,36847,41793,51174,86896,109694,107765,106796,103094,97009,87592,79730
Idaho,49466,56991,57393,63423,79487,95784,103958,103770,92504,84059,90397,110260,193195,241631,225314,214637,192758,175435,154966,139799
Illinois,315171,384894,368820,393909,480488,556445,598813,607727,583602,568685,638443,767748,1226475,1450925,1350662,1262100,1217093,1142466,1038762,959057
Indiana,158002,169017,163336,179360,228943,272398,292180,296987,285091,290659,329305,411054,712441,868852,785220,710937,655489,605038,527670,466928
Iowa,100184,105854,101063,111920,138582,162152,172851,170814,153191,148417,163838,184097,312274,359840,307539,279107,255273,234278,208364,193784
Kansas,86879,90457,86123,95137,116680,137257,151885,151134,140631,134646,141872,163545,265766,313913,298407,283075,264077,246104,218747,199486
Kentucky,147238,157041,154146,162703,201893,235288,253422,254379,238270,237726,268224,319332,515320,605379,536626,495615,459863,437512,387403,353975
Louisiana,200838,221953,217603,232513,279634,312238,332127,338124,293128,273186,279658,316114,492656,572664,535816,494516,481202,475086,449863,437873
Maine,34303,46701,45432,47034,54701,61913,64860,65819,60843,61711,67327,78029,120561,140563,133084,127482,122550,113996,104503,93525
Maryland,121333,142936,138255,149758,182912,205816,220337,225215,211484,206475,233875,296217,470798,552425,532947,499872,487804,473391,437392,407081
Massachusetts,164720,164679,152884,158195,184148,207875,222399,225290,209686,211150,242870,292333,468198,540642,522066,515589,513100,496187,461356,423618
Michigan,242353,279808,268102,293730,377317,451213,491132,511094,493764,519955,616814,773101,1300553,1476773,1307896,1178998,1081742,983236,860654,760241
Minnesota,132609,144944,135129,150493,184379,214486,225968,225528,208082,212578,248249,301184,492578,587201,534258,512504,476598,438252,392790,358300
Mississippi,137643,153269,156599,175801,226133,260572,276770,276491,254223,250563,275402,335701,538161,594902,534412,467365,441662,416975,382813,360977
Missouri,167635,175568,174508,186421,228895,265090,288322,297901,286701,282956,325904,390793,658724,777072,705819,651766,611406,563399,500598,447244
Montana,39742,50080,47934,50374,59116,65577,68373,66087,59663,53948,55437,62657,97316,115224,107038,97472,89027,80717,71776,66767
Nebraska,54701,58884,56578,61325,74166,87175,93506,91781,82627,80458,88647,102004,166826,196225,179063,168118,157033,148879,132309,123744
Nevada,23202,32778,33880,35849,51563,56710,65669,64395,57256,54414,64750,94290,181384,231768,219829,208930,210319,210960,193925,176597
New Hampshire,25479,25678,24679,26259,30182,34169,38163,39336,35010,34554,38847,47852,79519,93458,88072,85977,83569,78348,69869,61569
New Jersey,186425,239982,236609,256747,308827,353166,373382,367900,345989,350377,399533,489293,772512,880532,851227,818661,819727,801896,762275,722315
New Mexico,74368,90396,91140,97047,114203,131680,141606,141704,132366,124090,133535,157992,246373,302976,276051,256490,241770,219859,199697,187877
