state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1104736,1109898,1154897,1141218,1206497,1277774,1310215,1333583,934085,936078,1001971,1130754,1005046,1002408,988200,956709,929585,841804,853149,803639
Alaska,221857,228674,224189,213870,209925,207620,192836,177547,205649,187731,191475,207556,237907,205034,262548,250276,291915,266331,280138,265330
Arizona,741453,778744,878114,1242135,1280863,1327150,1504812,1666089,1733361,1770285,1843218,1999057,2107206,2302782,2103469,2266240,2191731,2289005,2661088,2847428
Arkansas,415305,424090,447949,420480,397132,377503,407028,432908,291067,295645,306690,314733,273155,325577,348499,353978,357520,360030,342230,353822
California,10045782,10421056,11012106,11951463,12242786,12609423,13339317,13959861,12926266,13260381,14181391,15180432,14433910,12962973,12883720,13784092,14025612,16117717,18134004,19978300
Colorado,489300,544269,553572,636303,944222,1246838,1236960,1220236,1189424,1091655,1052654,1107377,1421769,1552050,1550230,1284329,1319426,1342045,841829,850181
Connecticut,483556,568106,522842,582192,607836,636784,745507,845233,754222,754355,774199,840319,894016,802342,831939,810066,830244,867348,896669,960754
Delaware,227208,249486,276635,290282,310672,332467,344673,354337,367370,389889,426011,458247,451337,448184,430376,467859,480372,473894,465790,474486
District of Columbia,203438,204925,336851,356330,424278,492583,528359,559513,565791,573047,382466,494727,564571,482422,420345,467664,460986,401273,466165,445790
Florida,2964233,3133127,3723993,4093780,4022229,3981932,4163264,4312441,4384956,4473734,4580864,4898614,5124055,5111811,5131125,5097414,4957347,5140932,4936543,4816465
Georgia,1344359,1235455,1282919,1397075,1555689,1719140,1866200,1996052,1784386,2174819,2212055,2526543,2223380,2013449,2071512,2109487,2138663,2131690,2334827,2211707
Hawaii,381438,381854,497359,522809,534980,550462,540244,527287,542995,600614,735086,811524,770229,623384,679183,528164,519188,536712,546956,523733
Idaho,171807,170979,184512,186727,194549,203445,209541,214147,230118,245225,227443,225807,229023,261387,227693,232555,269951,263689,257496,245960
Illinois,2819213,2974532,3186145,3273396,3579905,3899822,3899958,3877181,3680943,3032653,3159714,3375125,3445942,3344699,3246618,3310046,2998297,2880752,3098188,2524143
Indiana,640164,673347,695002,756227,796372,840592,868445,890015,903413,854203,855934,891325,887678,834336,821365,760326,678800,696231,764861,773577
Iowa,434313,449675,477806,492944,524213,557974,510066,461197,467419,512710,539839,567398,591780,584805,579887,624708,449745,434024,439073,436828
Kansas,528136,505024,556070,543615,663406,783231,683870,584712,459994,458754,425424,517864,515997,508380,605040,676940,610114,598753,362981,402607
Kentucky,516139,634542,684551,729810,833434,938924,825051,711168,660658,743939,734426,870967,1026809,1060472,1054399,1026661,980924,902398,948079,809244
Louisiana,655689,613481,624925,735202,713130,696965,726897,751287,828755,821793,836127,895293,951942,919575,853570,781335,754530,704483,739196,692039
Maine,309013,378400,405338,398711,448832,500180,541113,577130,617923,580788,648904,676324,643717,551897,509641,565898,536091,501822,475490,255090
Maryland,1069541,972335,1162209,1221410,1301174,1387043,1522711,1643674,1662841,1790767,1846155,1912838,1998551,1797666,1730413,1838863,1818568,1765634,1758157,1848265
Massachusetts,1963774,2041786,1992129,2108105,2339992,2579415,1758867,962837,1174615,1185232,1182542,1292464,1265854,1252613,1296379,1281290,1297474,1327390,1592473,1954389
Michigan,3075240,3165977,3196418,3355973,3793521,4240886,4819519,5345268,4189647,4066699,3734399,3989610,4320189,4509680,4459745,4631491,4686354,4444066,4195229,4339142
Minnesota,932366,976052,907289,954089,979499,1010853,983779,952075,1029116,1058013,1108299,1211171,1376940,1244030,1237768,1005974,1036902,1106731,1111665,1149841
Mississippi,370097,353079,361184,387515,361339,338740,349411,357576,417738,407946,444734,447260,474160,488599,473935,472076,456868,410599,356219,399349
Missouri,1039398,1060127,1099875,1032700,956281,889607,1040055,1178005,1199262,1597984,1605177,1681554,1706107,1795722,1805779,1978467,2012198,2010121,2090655,2159646
Montana,252144,299736,308226,332503,354006,377177,357282,336134,382209,419448,234344,248841,240599,273848,272427,278261,283456,267752,282378,347285
Nebraska,158889,146681,176772,160748,169517,179145,203511,225647,320968,480508,472507,466034,435286,475290,488981,469069,485495,485292,536780,568514
Nevada,184986,232414,234408,227142,278317,329470,359614,386365,406357,396547,417384,431353,407936,377255,386871,381028,395830,486282,355254,356541
New Hampshire,147875,151393,155193,158837,167273,176565,166857,156581,153259,145751,157933,167752,143415,132533,128108,124120,159178,130244,133441,169960
New Jersey,1348321,1455459,1275699,1379504,1494436,1615471,1710630,1791699,1676683,1347773,1806218,1785948,1792494,1820089,1654182,1633704,1617100,1669983,1602771,1645196
New Mexico,416937,411138,411389,441629,458277,477521,414733,352175,442252,456946,561798,614006,610809,671224,617123,572454,571910,574641,569654,533202
New York,3271510,3557602,4032629,3970299,4148131,4348401,4418557,4459779,5160384,5404385,5590027,5657910,6906992,6825117,6376372,6260787,6540489,6547299,6426687,6429222
North Carolina,1920429,2177660,2278337,2278718,2412414,2557979,2670585,2762721,3562090,3524544,3107314,3307099,3357922,3355375,3014149,3390571,3958063,3919346,3785507,4616248
North Dakota,73017,66786,70560,64353,69997,75916,80727,84860,90001,90298,91327,93768,91154,143604,130073,174154,202125,177265,191909,305250
Ohio,3173555,3272395,3491188,3666721,3798201,3951447,4059766,4139638,4541323,4632471,4415963,4232440,4366016,4313158,4131573,3956500,4301844,4234979,4369793,4342486
Oklahoma,474064,490094,515213,545389,564096,586068,576268,563499,604955,648517,744423,742987,801877,770999,925827,1063153,998596,1110825,1009493,1073497
Oregon,826369,873738,888362,933784,965086,1002000,963085,920166,1039856,1042620,1080046,963357,1108081,1116719,1125976,1439265,1391682,1306532,1159508,1424388
Pennsylvania,2518522,2753625,2998260,3233209,3570142,3919228,4021270,4095358,4420241,4422670,4444332,4723018,4862648,4141709,4859475,5240725,4821417,4862125,4810727,5238464
Rhode Island,351006,182262,177292,207881,223180,239464,253161,264789,185658,186569,194835,208010,212837,218713,191860,180232,179440,178584,179319,195101
South Carolina,1149218,985627,1061932,1029841,1003972,986217,994125,995859,1161829,1150416,1246155,1327301,1303358,1261239,1163375,1192728,1177270,1223201,1284666,1309670
South Dakota,96765,98583,101784,104115,113171,122674,130862,137934,146367,138571,155299,166652,169698,170038,180752,211546,210835,220412,220809,216455
Tennessee,1035995,957135,1054557,1114258,1222742,1335659,1432020,1515877,1494379,1662261,1736300,1804679,1809234,1563065,1499165,1318266,981959,939753,925691,932079
Texas,2765684,2986456,2954339,3101402,3265217,3445767,3195015,2936147,2794211,2784227,3993561,4060213,4548224,4774669,4796152,4756682,4641922,4785090,4851188,5130978
Utah,366239,393960,409112,391358,403824,418664,496458,568031,498793,513981,576235,613534,610840,602902,542531,498163,517408,484128,536061,578581
Vermont,74623,87506,76098,104141,102353,101359,110879,119343,158883,163584,176835,191846,188840,181238,198092,202874,255328,348417,329915,395894
Virginia,1026390,1060506,1141939,1261237,1362841,1470135,1544886,1607387,1925074,1938493,1731924,1587614,1559967,1706485,1726099,1728268,2109621,2177086,2213838,2252362
Washington,2020625,2108924,2167474,2259674,2291823,2338942,2338605,2324546,2356251,2390306,2311070,2449742,2604691,2677380,2753625,2674681,2668042,2913365,3075037,2327823
West Virginia,275488,259686,256541,280332,289750,300851,328150,352362,375200,360529,352839,350005,313242,318249,339447,361717,347243,324502,327099,286692
Wisconsin,1114641,1145009,1248009,1386685,1478223,1576660,1601044,1614988,1631893,1749373,1766575,2065283,1967960,2020028,1933637,1879213,1880209,1626157,1719105,1461296
Wyoming,94647,97619,110611,117579,129615,142101,179507,214270,275318,267833,310556,370862,411134,389757,345882,338118,321766,308613,295275,294009
