state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alaska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Arkansas,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
California,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2
Colorado,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delaware,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
District of Columbia,2,2,3,3,3,4,4,5,5,5,3,4,5,4,4,4,4,3,4,3
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
Idaho,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Iowa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Kentucky,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisiana,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maine,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Massachusetts,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Minnesota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
Missouri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montana,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1
Nebraska,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Nevada,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Hampshire,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2
North Dakota,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Ohio,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2
Oklahoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oregon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Dakota,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Utah,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1
West Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wisconsin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wyoming,1,1,1,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2
