state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
Colorado,0,0,26370,31026,32905,0,0,0,0,0,0,0,0,0,0,0,0,72902,73337,71356
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116699,122443,132073,134303,135402,122409
Delaware,0,0,0,0,0,0,0,0,0,4840,5400,5900,24874,25457,26766,27809,29249,29936,30435,29867
District of Columbia,0,0,0,7568,18921,19964,19579,19455,27842,28081,28842,33868,39040,40496,46218,44250,46214,46760,45786,44239
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,39921,44148,50830,65746,70927,75316,78903,88166,91220,102854,104185,108823,110321,114264,232419,231630,223593
Indiana,0,0,16248,15888,16228,16505,40556,44079,47301,50265,54799,58772,95545,95877,67078,68763,72046,109234,109453,106129
Iowa,11584,6000,6000,6200,6500,8300,8600,8900,9800,10736,23594,24987,27112,26743,27544,28495,29832,60102,60826,63541
Kansas,0,19200,21100,21600,21922,23801,41141,45091,47305,50077,50335,62368,69876,74686,77585,78954,82227,78238,78373,76187
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,37538,43561,43405,44583,44808,45802,46024,46804,45812
Maine,0,0,0,0,0,0,1825,1909,2023,2176,2381,2581,8811,8157,8394,8643,9006,9123,9127,8903
Maryland,206187,77531,80916,98826,104475,116080,131886,148697,161745,171455,157082,190067,189515,193420,203082,209386,223005,228937,227677,226672
Massachusetts,33094,38927,40131,39723,61648,69601,74313,80371,86677,87643,92759,97600,98677,99979,105642,109347,116223,117987,117588,174886
Michigan,0,0,0,0,0,0,0,0,0,0,0,145205,323674,328092,103251,104901,108555,109682,109087,106264
Minnesota,39937,79568,88654,100708,107495,126801,127457,130322,138833,147242,163326,172654,196650,197840,206705,213346,223614,226137,225825,221086
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,15729,21358,22657,25309,25495,26605,27290,28566,28742,28973,28267
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,58917,99155,127836,150882,154432,160222,166330,181349,212483,269873,219047,229392,234437,254730,259922,261609,383430
New Mexico,0,0,0,0,0,0,0,0,0,0,30180,39826,44628,44213,45256,46033,47542,47633,48402,47450
New York,339343,345993,360802,423057,500921,590914,681471,662646,700028,759692,858077,811117,984742,1009482,1049716,1077030,1141016,1153717,1149701,1104967
North Carolina,0,0,0,0,0,0,0,0,0,0,0,59991,94295,94438,99028,101215,105728,107206,107820,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59019,90217,92040
Oklahoma,0,0,0,0,0,24056,25041,26680,27412,28464,30457,31695,36350,36213,36954,36991,38429,38410,39485,39241
Oregon,12159,10534,10292,10280,10565,11921,12520,12939,13667,19161,20620,26524,29885,29673,30806,31667,33157,33307,33300,42830
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,18655,19070,19359,19380,3647,4329,6084,6490,9213,12486,13518,14314,37857,37984,39549,40825,44229,44415,44104,22319
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,11094,11951,11437,13803,14324,16781,17279,17648,18338,19087,20296,21388,23410,23501,23901,24735,25396,25311,25463,24731
Virginia,0,0,0,14991,17147,19477,21253,23905,21481,85323,96201,88392,212381,216126,224129,230815,242027,244929,247414,240655
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,60761,59933,59058,59076,60347,69029,69766,73483,78831,83193,89549,95848,127868,124033,100854,99550,102233,99553,99719,97822
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
