state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Alaska,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Arkansas,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
California,1,0,0,0,0,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1
Colorado,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,1,1,1,0,0
Connecticut,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,1
Delaware,1,0,0,0,1,1,1,1,1,0,0,1,1,2,1,2,1,1,0,0
District of Columbia,1,1,1,1,1,2,1,1,1,1,1,1,2,5,5,2,2,2,1,1
Florida,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Hawaii,1,1,1,0,1,1,1,1,0,0,0,1,1,2,2,2,1,1,1,0
Idaho,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
Illinois,1,0,0,0,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0
Iowa,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1
Kansas,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,0,0,0
Kentucky,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0
Louisiana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Maine,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Massachusetts,1,1,1,1,1,2,2,2,1,1,1,1,2,4,3,2,2,1,1,1
Michigan,1,0,0,0,1,1,1,1,1,1,1,1,2,3,2,1,1,1,0,0
Minnesota,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
Mississippi,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Missouri,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Nevada,1,0,0,0,1,1,1,1,0,0,0,1,1,3,3,2,1,1,1,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,2,2,1,1
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
New York,1,0,0,0,1,1,1,1,1,1,0,1,1,2,2,2,1,1,1,1
North Carolina,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,1,1,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
Ohio,0,0,0,0,0,1,1,1,0,0,0,1,1,2,2,1,1,1,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Oregon,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,1
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,1,1,1
South Carolina,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Vermont,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Washington,1,1,1,1,1,2,1,1,1,1,0,1,1,3,2,2,1,1,1,1
West Virginia,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Wisconsin,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1
