state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2270,2563,2466,3086,2997,2907,2916,2925,3599,3054,2682,2771,4646,4267,4280,4452,4605,4747,4285,4875
Arizona,231245,171265,158566,145867,176555,207243,225940,244636,391836,360788,404605,484812,455858,306633,199256,140642,151475,0,0,0
Arkansas,7448,8100,9755,10314,10703,11092,12486,13879,13645,14684,15976,15500,16293,15437,239,15660,16152,15622,15100,14579
California,961150,921371,943679,1007169,1249240,1491310,2213125,2934940,3219177,2683115,2230011,2000740,1858235,1619650,1524781,1421027,1494297,1511574,1511574,1511574
Colorado,340446,0,0,0,186056,372112,422227,472342,473975,390745,386683,386169,292033,365954,395085,371749,435372,425826,442038,409590
Connecticut,209484,175192,134994,100000,100000,100000,68248,36496,34713,38752,36584,37540,38352,38144,31761,31903,30908,31411,28411,26546
Delaware,8817,5858,4851,5027,4898,4768,5463,6157,5806,5388,5894,5883,6250,6421,6421,6571,6266,5868,5224,5224
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,188226,129936,117157,123015,114008,105000,110382,115763,198500,211225,217133,226630,273202,239987,239987,171292,131253,72534,73868,56876
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,18951,16306,16306,18504,19429,20206,21014,21822,0,0,0,0,0
Idaho,73398,68676,90689,70690,75791,80892,93484,106076,111717,119112,128994,130940,135819,129102,127225,121275,119322,129291,137145,141072
Illinois,7943,9241,9525,10402,10781,11160,11443,11726,11283,12053,12417,12029,12029,12319,14007,12599,12599,12442,15589,12543
Indiana,792,944,1197,1252,2661,4069,3446,2822,2822,2822,3886,4121,4444,4906,5089,5031,5799,6010,6431,6431
Iowa,585,519,827,1157,1112,1066,1179,1291,1809,1862,3049,2465,2465,2465,5044,5617,5565,5733,7519,6466
Kansas,25537,16868,10614,7839,5866,3893,3446,2999,2332,3995,3504,4269,4150,3882,4577,4577,4577,4577,4577,0
Kentucky,146700,152085,237365,120435,107121,93807,87154,80500,75848,72248,72248,68897,70619,149540,145595,188792,177365,177777,200652,229562
Louisiana,27445,25791,0,0,0,0,0,0,0,0,0,0,0,0,45780,44558,64494,159800,97269,58768
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,202340,193130,150243,148480,139760,131039,201372,271704,271704,299221,193674,194151,186172,170846,189252,191325,176899,192926,184637,184637
Massachusetts,40070,44149,39824,42677,44138,45598,47164,48729,47327,48947,48494,35282,65947,38947,43876,52378,48558,53660,53196,53196
Michigan,32332,28603,23365,23365,23614,23863,25772,27681,23114,24461,23595,20637,19136,23408,13403,12904,12904,12904,12467,15689
Minnesota,91166,90239,94325,85004,94276,103547,91023,78498,76544,71375,74944,66544,69823,67447,62423,31803,57290,58918,50831,45950
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,23065,23698,26797,31316,38043,44769,51113,57457,63504,62378,66088,68111,66997,39192,37376,37149,42494,41049,89540,103393
Montana,65468,69159,56348,55336,62334,69331,90484,111636,103935,116083,128349,126652,129702,131265,118279,118029,114644,111314,121162,64994
