state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,3237,3610,3430,4205,3988,3807,3747,3668,4376,3596,3075,3112,5158,4696,4616,4716,4797,4856,4332,4875
Arizona,329719,241222,220538,198767,234961,271408,290345,306772,476400,424833,463833,544480,506075,337442,214909,148970,157780,0,0,0
Arkansas,10620,11409,13568,14054,14244,14526,16045,17404,16590,17291,18315,17408,18088,16988,258,16587,16824,15980,15266,14579
California,1370447,1297728,1312497,1372430,1662498,1953041,2843990,3680394,3913921,3159405,2556453,2246982,2062938,1782386,1644565,1505169,1556492,1546198,1528175,1511574
Colorado,485422,0,0,0,247605,487323,542585,592314,576266,460108,443288,433697,324203,402724,426122,393761,453493,435580,446893,409590
Connecticut,298691,246754,187754,136266,133081,130961,87703,45766,42205,45631,41939,42160,42577,41977,34256,33792,32194,32131,28723,26546
Delaware,12572,8251,6747,6850,6518,6244,7020,7721,7059,6344,6757,6607,6939,7066,6925,6960,6527,6002,5281,5224
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,268380,183012,162945,167628,151722,137510,141846,145166,241339,248720,248918,254523,303298,264100,258840,181435,136716,74195,74679,56876
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,23764,19825,19201,21213,21820,22432,23125,23536,0,0,0,0,0
Idaho,104654,96728,126133,96327,100863,105937,120132,133019,135827,140256,147877,147055,150781,142074,137220,128456,124288,132253,138651,141072
Illinois,11325,13016,13248,14174,14347,14615,14705,14704,13718,14193,14235,13509,13354,13557,15107,13345,13123,12727,15760,12543
Indiana,1129,1330,1665,1706,3541,5329,4428,3539,3431,3323,4455,4628,4934,5399,5489,5329,6040,6148,6502,6431
Iowa,834,731,1150,1577,1479,1396,1514,1619,2199,2193,3495,2768,2737,2713,5440,5950,5797,5864,7602,6466
Kansas,36412,23758,14762,10682,7807,5098,4428,3761,2835,4704,4017,4794,4607,4272,4937,4848,4768,4682,4627,0
Kentucky,209171,214208,330134,164112,142557,122851,111997,100946,92217,85073,82824,77377,78398,164565,157033,199971,184747,181849,202856,229562
Louisiana,39132,36326,0,0,0,0,0,0,0,0,0,0,0,0,49376,47196,67178,163460,98337,58768
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,288505,272019,208962,202328,185993,171611,258774,340715,330342,352337,222025,218046,206681,188012,204119,202654,184262,197345,186665,184637
Massachusetts,57133,62183,55388,58154,58739,59716,60608,61106,57541,57636,55593,39624,73212,42860,47323,55479,50579,54889,53780,53196
Michigan,46100,40287,32497,31839,31426,31251,33118,34712,28102,28803,27049,23177,21244,25760,14456,13668,13441,13200,12604,15689
Minnesota,129988,127099,131190,115832,125463,135607,116969,98436,93063,84045,85915,74734,77515,74224,67327,33686,59674,60268,51389,45950
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,32887,33378,37270,42673,50627,58630,65683,72051,77209,73451,75762,76494,74377,43130,40312,39349,44263,41989,90523,103393
Montana,93347,97409,78370,75404,82954,90797,116276,139991,126366,136689,147137,142240,143990,144454,127571,125018,119416,113864,122493,64994
Nebraska,0,752,1102,1225,1359,1498,735,0,1741,1653,1556,1427,980,1316,1158,1169,1123,974,869,751
Nevada,302427,310956,302272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,55214,44888,48566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,157962,156211,168664,164108,175317,187330,206478,223601,217673,210850,206923,208323,209457,250758,251449,208029,203353,201858,212302,209153
New Mexico,11951,1287,0,0,0,0,0,0,0,0,0,14551,14433,15550,17083,18375,17725,15477,15728,16107
New York,2130948,2150443,2039148,2216660,2212799,2224751,2239385,2240244,2206819,2358472,2174678,2028880,2162404,2216842,2243483,2450451,1880652,1468837,1480019,1468477
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,132473,130860,135759,205260,133824,66116,99988,131835,191473,97702,148291,128187,163282,129423,181790,200005,283622,298738,250810,197468
Ohio,2346088,2211003,2240283,2156650,2262865,2380963,2401652,2407357,2334063,2260536,2200778,2449229,1850739,2481147,2011020,1606613,1184030,1217607,1083459,819733
Oklahoma,228210,181588,164464,179958,179467,180264,245595,306709,327932,241514,254828,249701,259118,256913,247948,248274,231913,208668,188823,186772
Oregon,682704,522513,536368,783958,617929,462738,555349,640765,760145,557394,715676,718468,683163,629348,649932,359920,361249,345503,301083,334947
Pennsylvania,377479,338371,280405,240349,213796,189791,209446,227035,275168,320082,405540,397294,409479,345647,306478,270261,368066,265245,302269,282803
Rhode Island,6502,5349,4188,3521,3427,3360,3221,3069,2975,3179,3095,3002,2937,2147,2305,2345,1999,1770,1672,1264
South Carolina,129327,137926,136881,146933,171702,196722,222125,245143,281586,233640,229500,217329,200645,188727,179795,176864,119047,96174,89527,81887
South Dakota,4509,3473,3305,3238,3382,3545,7119,10498,12986,9135,4959,3674,2365,3507,1375,3326,1677,1394,1885,1726
Tennessee,0,5738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,432,511,505,1495,1794,2094,322676,627746,286653,314056,271790,275403,298228,298166,287044,313440,337127,363646,378161,368689
Utah,115985,113295,114632,112883,161160,208699,227090,243366,248132,261108,254205,250931,215051,175081,151198,177574,196845,189024,177943,178925
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,3652,3199,3811,2104,478,1905,3260,3091,3666,3694,4262,3546,3579,4168,4824,4212,4331,4022,4425
Washington,1367942,1445381,1511090,1595766,1650515,1714816,1779909,1831784,1791752,1812825,1839527,1951174,2125894,2160384,2137136,2043735,2068762,2054918,2068618,2096230
West Virginia,738512,598174,628596,695617,1122973,1541641,1114933,699800,141783,225874,57968,0,46664,169284,172566,136556,93972,119647,33707,191360
Wisconsin,3137,2987,3211,3174,3093,3038,3272,3477,3832,4108,4520,5608,5543,5930,2881,10684,2809,1810,2077,2033
Wyoming,96813,98938,99519,103663,114601,125923,133146,139280,140469,135964,140159,153066,153838,168123,174278,171106,172561,194132,191869,176217
