state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,316941,406873,400677,434995,403934,416397,578717,564258,546801,539046,510887,460771,457320,435718,424477,408898,397439,391020,383426
Alaska,0,62080,78810,78293,87909,84454,78981,117839,111921,106171,107054,105426,93443,95492,90996,86192,83933,85113,84601,77275
Arizona,0,361884,468988,478846,541614,518652,556521,783390,779700,768676,754986,711759,637170,640071,628853,607461,596558,583585,581685,576903
Arkansas,0,183279,234150,231508,253137,235682,232365,338403,331029,320948,315946,301987,277861,282210,273349,265604,255422,250943,247625,243802
California,0,2367555,3066765,3081181,3422867,3296421,3441383,4644029,4363317,4091791,3973541,3850917,3568940,3561759,3443952,3326488,3237389,3155346,3144152,3079440
Colorado,0,332454,424434,425210,486531,458712,480583,668686,646016,622398,618691,594301,555101,557471,542512,532714,524390,518516,513046,501912
Connecticut,0,250245,318355,314628,360196,346544,364196,507072,472854,436600,410866,385274,359697,349273,329185,308608,289004,270584,260653,252671
Delaware,0,61407,78035,77873,87919,84198,88501,125034,119296,113091,109455,103183,95353,93342,89264,85330,81488,79475,78048,76646
District of Columbia,0,24564,31415,32480,35293,32709,34163,42823,40400,37874,37393,35398,32573,31260,29306,29013,27700,27252,27827,27334
Florida,0,984425,1282848,1305251,1455245,1381352,1462400,2023871,1941102,1856382,1785165,1663658,1530038,1500354,1427488,1405576,1376754,1356333,1380665,1375378
Georgia,0,601248,778273,786409,869510,821288,868918,1196523,1152673,1115283,1086913,1009767,918902,902845,863870,839884,809063,793404,786915,774168
Hawaii,0,89899,112347,111840,126230,121334,127326,176639,173260,166177,163918,156147,145047,145660,140848,136612,134632,133023,131928,128303
Idaho,0,111672,140913,141150,156727,148031,152819,214662,211772,211069,211053,198710,181895,184266,182036,182797,182724,182815,188498,192289
Illinois,0,978454,1244228,1231467,1374734,1298574,344405,1863149,1758989,1650720,1581138,1486724,1359655,1346706,1274578,1216914,1157275,1112354,1087360,1048634
Indiana,0,525712,667403,659792,736814,694499,719372,1018325,972193,924671,891887,829665,749953,753840,727464,709564,686437,675518,669651,660916
Iowa,0,258519,323398,317211,351582,327080,332362,475238,455968,435976,427989,403545,375273,381887,372473,362426,351264,343586,338534,333031
Kansas,0,235780,295006,289451,323621,302764,307357,427082,411159,398811,392527,377816,349830,347540,337035,328059,319479,313632,308135,299303
Kentucky,0,286487,364353,362063,405859,382224,392883,557712,539790,519456,508137,481288,445428,447677,432836,421450,406087,397524,394459,388104
Louisiana,0,328527,413218,405700,442347,411946,426970,573491,497922,517676,522335,504423,465914,459045,434315,424647,404588,390889,375899,359414
Maine,0,95658,121273,120029,135064,126439,128665,178630,168603,158141,151119,140635,129641,128160,123245,117902,113330,109652,108971,107499
Maryland,0,415371,528426,525473,593977,567009,592102,817492,761120,698640,661555,620343,584625,576719,555091,537279,515486,491181,477148,402700
Massachusetts,0,459969,581111,568891,649867,623201,649895,897535,834012,766149,722256,679381,646261,628230,594231,563291,532449,503905,489366,402120
Michigan,0,808203,1025205,1013387,1135191,1068899,1096129,1522952,1423006,1311010,1233775,1126500,1012549,1003548,952461,917793,880083,850976,837669,644430
Minnesota,0,436546,550709,540276,608073,573226,588450,829284,786271,740505,714318,680257,640570,637005,618727,596718,579166,566299,557437,412760
Mississippi,0,203698,261263,256363,274534,252652,252905,358073,333780,333216,331764,314403,281318,278297,262961,257331,246956,240356,235572,207410
Missouri,0,441140,558864,551988,614887,576342,592038,824576,788802,750367,726438,684665,632768,628080,604981,585454,564010,548773,547629,429570
Montana,0,65783,82797,81142,89159,82552,84827,118504,115510,113367,112804,106751,99416,101119,100117,99391,97751,96788,97226,71970
Nebraska,0,152798,191645,187484,209274,196214,201038,283377,274158,262788,259229,248534,233165,235618,231139,225615,220045,217395,217044,157300
Nevada,0,152582,29785,211050,239348,231093,253317,354963,352375,348696,347374,334015,294639,289580,280186,272904,266402,263332,265078,225640
New Hampshire,0,108071,136561,134417,155312,148142,135126,214911,201437,185929,174713,161974,151933,146674,138942,132231,125898,119601,115537,90130
New Jersey,0,618091,780140,134849,872587,836697,891130,1233224,1149672,1054249,989581,926694,872316,848488,800636,759909,719524,679116,656737,551830
New Mexico,0,129259,161952,151046,187250,167856,174608,241010,236701,235425,233912,227218,207582,206523,199979,192759,186737,183916,179319,145500
New York,0,1239937,1569764,1545465,1717812,1616418,1653874,2269322,2122209,1982446,1898806,1792880,1672845,1640067,1563226,1492951,1424404,1363404,1327870,1138140
North Carolina,0,586662,746932,747495,828220,775167,810002,1130729,1102024,1074949,1059071,1003417,924224,930217,906220,873600,844709,825562,825709,821476
North Dakota,0,55171,68580,66028,72843,67288,68479,97494,93929,90077,88460,85266,82567,84695,84390,84280,84735,84391,83775,82413
Ohio,0,936751,1181685,1164879,1302616,1221117,1269999,1758987,1660928,1558571,1486969,1393513,1262410,1245971,1195792,1153448,1112371,1078682,1064711,1043163
Oklahoma,0,246620,310962,310388,345382,320875,326186,451034,444021,439381,444051,430654,395036,399243,396162,393009,383769,379782,370746,356232
Oregon,0,246163,309994,307110,341582,322778,331476,459616,445507,425369,417501,391428,360840,362995,352620,344993,338173,336574,339255,337585
Pennsylvania,0,919700,1156590,1141489,1288355,1215371,1251162,1757350,1665081,1566344,1501154,1420750,1312437,1301668,1246571,1186313,1133410,1090450,1060464,1029560
Rhode Island,0,75114,95410,94968,107835,103021,107156,146654,135977,125317,118429,110413,101831,100079,95113,90846,86463,83324,81883,79804
South Carolina,0,295718,378047,377743,412487,383266,373275,549521,530147,515017,508297,480417,433882,433699,420379,410518,400290,392929,394061,392655
South Dakota,0,63512,80663,79135,87163,81068,83040,117355,114007,109913,108742,104744,98644,100472,100045,98077,95791,95154,94853,94018
Tennessee,0,410048,72222,523962,578674,543975,563478,788916,760861,733834,715984,668496,609159,605930,589062,579305,563920,554916,555696,554413
Texas,0,1540293,1996053,2026333,2274051,2163199,2265026,3058465,3021504,3004789,3024479,2960151,2698534,2702849,2660175,2652255,2592352,2568738,2525126,2451655
Utah,0,228350,288159,288643,323176,304053,316863,444996,446629,449755,457010,440477,409982,417881,421976,425135,428004,427764,434317,429877
Vermont,0,48743,61532,60213,67576,63131,63804,89948,84455,79004,75138,69908,64696,63923,61607,59157,56689,54733,53213,52035
