state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,226279,264839,275815,253965,287975,321985,339319,356652,366670,380902,357749,382545,384845,387483,393154,430927,376529,423378,436302,431095
Alaska,75143,75962,78451,97187,108270,119353,133918,148483,173234,185911,213355,223983,224681,280296,279199,266367,285014,319487,297263,283145
Arizona,188164,192980,203467,279118,271996,264874,300656,336438,359731,364550,430346,456171,508879,612257,556698,516981,521303,504095,496685,432158
Arkansas,81345,80827,94367,100442,118561,136680,140250,143820,146727,163735,149664,148806,146619,180818,223602,188779,166345,161526,173520,167482
California,3175414,3124543,3276939,3160003,3381435,3602867,4019587,4436306,5041721,5492528,5537523,5902414,6476526,7438719,6575350,6717505,6646013,6491345,6248836,6536906
Colorado,207319,253667,271581,315753,349953,384153,426595,469037,502623,569043,506578,504996,544002,588199,696348,712910,628884,674388,677477,796001
Connecticut,300285,354300,378798,388505,401795,415085,466471,517856,584645,608199,633668,618826,645266,694465,752493,805360,853037,1021244,824880,906442
Delaware,72309,75387,81196,72479,86949,101419,104068,106716,111477,113613,110964,116370,116437,158138,170660,154652,133666,135419,139462,142671
District of Columbia,103378,111592,58525,57168,72488,87807,177901,267994,359169,429897,384413,525889,473387,503119,509815,511588,478232,583413,574846,667428
Florida,770103,1008450,1037972,818531,940332,1062133,1126139,1190145,1206100,1460285,1844625,2150821,2366264,2458041,2873257,2604181,2653988,2388680,2319939,2189867
Georgia,390006,426837,373170,431454,499605,567755,608919,650082,724257,822992,945430,1047797,1000798,1088399,1196853,1188283,1146061,1142692,1098277,1074208
Hawaii,141155,157163,123734,170704,178559,186414,162099,137783,154920,158971,208000,194849,222515,199543,209307,196829,245780,265495,252087,213351
Idaho,18991,27194,26975,21791,24598,27405,33059,38712,42527,46868,81175,89350,94905,141890,142203,127258,131662,127408,132832,144625
Illinois,845413,1029211,1102536,968908,1064385,1159861,1348165,1536469,1525758,1581036,1647137,1764048,1790715,1845140,1943438,1853614,1893850,1888988,1954374,1729943
Indiana,224758,252507,280890,372919,427279,481638,526545,571452,632532,681607,610807,631127,618341,788300,1098341,1063445,787302,758414,738646,791354
Iowa,116107,103045,78622,108093,116335,124577,129816,135054,141274,146080,154294,155535,203048,246134,291642,239449,197832,195567,150277,156381
Kansas,95926,78105,81936,99213,104259,109304,118294,127284,217005,225360,190941,182399,177039,250070,246145,241601,214777,257303,264028,268168
Kentucky,100088,131969,138544,129421,143756,158091,219554,281017,335551,251551,266929,274651,296355,344029,424084,397219,392397,377424,368155,437943
Louisiana,189908,197175,207334,270412,299642,328871,349266,369661,419213,445769,3180474,5193016,2275729,1790538,1384240,1242514,955220,862045,761823,673609
Maine,79746,80844,75794,100930,110094,119258,155918,192577,209445,216911,241992,224101,228828,251706,293978,326492,292309,280067,277368,272149
Maryland,454692,429745,425349,501890,563562,625233,714641,804048,840187,857596,915039,885912,1106305,1224512,1173528,1275738,1283603,1418238,1405182,1421347
Massachusetts,734680,930924,920754,1053497,1134487,1215476,1328283,1441090,1396349,1502779,2178086,1643564,2434896,2569892,2601668,2671036,2665113,2625262,2498546,2610969
Michigan,177822,170250,197003,219389,270402,321415,510122,698828,849592,916133,910863,968365,924297,1073856,1290377,1306744,1270680,1116627,1108432,1076589
Minnesota,270897,575273,355582,383023,430136,477248,539614,601980,593152,641333,740899,735163,684313,712762,779238,770476,727310,826278,792859,873204
Mississippi,114785,93626,83516,108765,117753,126740,166334,205927,212695,217246,189764,203449,176112,235728,276805,260307,244288,251228,239541,254237
Missouri,280014,287527,278364,251930,314700,377470,433046,488622,511048,529604,580817,579879,577167,559031,691364,627440,601069,577972,612193,615578
Montana,44465,44331,49469,48554,60542,72530,77654,82778,84649,92265,87164,86539,98938,133896,122304,95933,99672,97635,104362,73325
Nebraska,72192,68087,67643,95749,97315,98881,108271,117661,114980,137105,150947,154221,132938,147680,144996,168556,146332,138871,189553,188271
Nevada,91443,99552,105016,111057,139266,167475,187220,206965,205094,213519,211189,224445,247674,208464,233740,283849,276291,279741,286510,283000
