state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,322638,373019,383612,346068,383239,421676,436043,447239,445803,448517,410118,429627,427240,426416,424040,456443,392201,433076,441094,431095
Alaska,107142,106991,109112,132433,144087,156306,172092,186197,210620,218913,244587,251550,249432,308459,301132,282139,296877,326805,300528,283145
Arizona,268292,271808,282988,380343,361974,346883,386360,421891,437366,429263,493343,512314,564937,673774,600431,547592,543000,515642,502140,432158
Arkansas,115985,113843,131248,136868,157782,178998,180229,180349,178393,192800,171573,167120,162771,198986,241168,199957,173269,165226,175426,167482
California,4527637,4400841,4557663,4306013,4500041,4718366,5165395,5563097,6129797,6467528,6348138,6628856,7189980,8186131,7091898,7115262,6922629,6640037,6317465,6536906
Colorado,295604,357284,377723,430264,465720,503092,548199,588169,611096,670056,580734,567149,603929,647299,751052,755123,655059,689836,684917,796001
Connecticut,428159,499023,526843,529401,534712,543601,599441,649388,710820,716163,726428,694988,716349,764242,811608,853047,888542,1044637,833939,906442
Delaware,103101,106181,112930,98764,115712,132820,133733,133821,135535,133781,127208,130692,129264,174027,184067,163809,139229,138521,140994,142671
District of Columbia,147401,157175,81398,77901,96467,114993,228612,336063,436683,506210,440686,590613,525535,553670,549865,541880,498137,596777,581159,667428
Florida,1098045,1420377,1443642,1115380,1251401,1390985,1447152,1492434,1466394,1719506,2114652,2415534,2626932,2705015,3098975,2758380,2764451,2443395,2345418,2189867
Georgia,556087,601189,519016,587926,664878,743540,782494,815198,880562,969084,1083828,1176755,1111046,1197757,1290876,1258644,1193762,1168867,1110339,1074208
Hawaii,201265,221360,172093,232612,237628,244130,208306,172779,188354,187191,238448,218830,247027,219592,225750,208484,256010,271576,254856,213351
Idaho,27078,38302,37518,29694,32735,35890,42482,48545,51705,55188,93058,100347,105360,156147,153374,134793,137142,130326,134291,144625
Illinois,1205425,1449618,1533440,1320293,1416491,1518971,1732468,1926721,1855038,1861692,1888255,1981159,1987980,2030532,2096111,1963370,1972675,1932257,1975838,1729943
Indiana,320469,355650,390670,508162,568626,630760,676640,716597,769041,802602,700220,708803,686457,867505,1184625,1126414,820071,775786,746758,791354
Iowa,165550,145136,109350,147294,154820,163148,166820,169357,171763,172011,176880,174678,225416,270865,314553,253627,206066,200047,151927,156381
Kansas,136775,110009,113959,135194,138748,143146,152014,159613,263838,265365,218892,204848,196542,275196,265482,255907,223716,263197,266928,268168
Kentucky,142710,185875,192691,176357,191312,207038,282139,352393,407968,296205,306004,308454,329001,378596,457399,420739,408729,386069,372198,437943
Louisiana,270779,277716,288366,368480,398765,430694,448826,463552,509685,524899,3646050,5832149,2526423,1970444,1492984,1316086,994978,881791,770190,673609
Maine,113705,113867,105417,137533,146514,156182,200363,241490,254646,255416,277416,251682,254036,276996,317072,345824,304475,286482,280414,272149
Maryland,648319,605285,591588,683906,749992,818814,918353,1008271,1021511,1009831,1048988,994946,1228176,1347546,1265718,1351277,1337028,1450724,1420615,1421347
Massachusetts,1047537,1311183,1280612,1435559,1509784,1591805,1706918,1807117,1697701,1769543,2496927,1845846,2703124,2828104,2806051,2829193,2776039,2685397,2525987,2610969
Michigan,253546,239793,273998,298953,359853,420930,655535,876325,1032946,1078759,1044200,1087547,1026118,1181753,1391747,1384119,1323567,1142205,1120606,1076589
Minnesota,386256,810258,494554,521931,572428,625011,693434,754879,721163,755178,849356,825643,759697,784377,840454,816097,757582,845205,801567,873204
Mississippi,163665,131870,116157,148210,156706,165981,213748,258231,258598,255810,217543,228489,195513,259413,298550,275720,254456,256983,242172,254237
Missouri,399256,404975,387157,343295,418805,494340,556488,612729,621339,623616,665840,651248,640748,615200,745676,664592,626086,591211,618917,615578
Montana,63400,62439,68803,66163,80570,94986,99790,103803,102917,108643,99924,97190,109837,147349,131912,101613,103820,99871,105508,73325
Nebraska,102934,95899,94080,130473,129508,129496,139134,147546,139794,161443,173044,173202,147582,162518,156387,178537,152423,142052,191635,188271
Nevada,130383,140217,146059,151333,185336,219328,240588,259533,249356,251422,242104,252069,274958,229410,252102,300656,287791,286149,289657,283000
