state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,331289,418621,435058,598950,822466,976170,954482,994884,1146903,1289489,1520306,1801126,2161881,2005385,2034058,2129900,2276878,2210050,2288559
Alaska,,135999,157795,202293,251287,298334,360665,384428,411310,402720,401348,365874,434418,489918,506967,518471,572762,603446,547461,633218
Arizona,,749755,786064,903333,1123643,1614498,1985947,2406426,2631879,3330412,3643140,3114929,3456746,3308923,3068140,2994543,3402405,3794813,3893319,3957936
Arkansas,,530720,508670,521544,648205,817840,844821,985896,1059079,1137660,1205429,1317051,1350300,1561097,1670709,1820442,1987188,2349730,2750885,2804363
California,,4776871,5347184,5728645,6492148,7482065,8497094,8339430,9090004,10106609,10336200,11482210,12418906,13273993,18259556,15688743,21920496,21428460,21523198,21432466
Colorado,,408488,479373,520856,596095,643140,718045,745014,767758,872311,878251,986305,1189531,1432716,1506904,1647344,1875324,1947906,2170729,2244358
Connecticut,,402049,412707,431235,336908,537647,568097,632140,677314,712910,794524,528914,913584,1121333,1081299,1209573,1174326,1310414,1090028,1099090
Delaware,,123441,143861,161057,182199,174439,219521,229619,263845,297201,317305,350071,386018,411235,444877,456746,487182,540282,556855,542368
District of Columbia,,167667,221811,215142,255811,273999,273676,268356,329841,318764,322390,303554,325860,339146,410130,392914,441306,462890,434463,503708
Florida,,1516612,1792728,1970253,2373484,2732043,3120794,3493769,3537765,3628632,3925270,4374849,4746502,5712745,6067469,5817670,6360593,6918668,7061630,7243424
Georgia,,979264,1099657,1278142,1566333,2029639,2217231,2358294,2561558,2498162,2943678,2885441,2878440,2859330,3329445,2819701,3410443,3785421,3677255,3662056
Hawaii,,133540,174132,139271,137459,162522,186471,216612,271669,279887,287361,312858,319934,340522,358131,333977,374838,447782,402236,434587
Idaho,,95725,135248,155881,199163,226380,252488,303432,337205,366235,418956,448959,497527,546905,603054,546362,670355,644491,631747,640189
Illinois,,1669630,1471339,1524623,1707800,1858116,1870466,2180005,2442116,2539171,3700233,3244178,3908798,4938380,3977866,3782251,4827131,5165023,4369775,4878731
Indiana,,533791,649908,807411,960216,1108919,1093178,1290228,1277904,1569015,1450110,1701487,1563256,1533404,1801941,1872413,1937840,2202993,1913763,1998804
Iowa,,344141,332423,387437,411557,649934,552341,589012,634174,706568,699375,793208,877676,987102,1064674,1090253,1201991,1234652,1318848,1350452
Kansas,,241992,252769,308797,404233,471663,490811,552651,601264,700013,743353,701954,801102,838701,922783,1022415,1410951,1346028,1589590,1712379
Kentucky,,696052,732157,871755,962790,1140144,1123539,1239626,1286371,1347133,1514446,1634549,1953010,2099899,2097464,2128767,2237535,2611934,3164047,3251869
Louisiana,,839904,717070,801519,1047095,1367913,1145756,1385214,1360229,1254086,1281646,1726076,2054573,2359576,2277448,2356781,2238902,2360274,2466364,2695992
Maine,,252909,337361,346077,401127,434372,539864,591186,663169,588127,588675,648063,651515,533591,560028,530102,685910,559703,557123,560738
Maryland,,655083,823072,874381,957691,1068438,1226201,1312485,1433324,1489968,1642106,1686908,1898620,2119182,2199965,2205748,2339870,2780902,2649934,2703458
Massachusetts,,956283,978082,1085595,1119795,1383053,1332936,2052539,2207836,2589721,2596712,2753666,2921403,2738860,3228800,2979952,3265994,3357971,3144089,3705448
Michigan,,1114416,1048518,1194117,1461215,1578770,1778698,2194791,2054669,2166861,2504101,2491108,2939022,3389104,3409520,3841484,3824756,4383484,4355730,4370880
Minnesota,,686815,693754,743429,909408,1225606,1367914,1629453,1535738,1513825,1793500,2025232,2046891,2042122,2220721,2047404,2214124,2649000,2475215,2545726
Mississippi,,422772,453472,497095,674593,839129,860464,859206,901545,972822,1031695,1373939,1470771,1583813,1709694,1667078,1788660,1882177,1974760,2116938
Missouri,,705945,773577,931360,1184766,1347685,1376476,1476105,1577201,1795517,1939306,2132816,2367536,2490625,2324459,2328737,2589108,2462423,2613747,2675926
Montana,,98073,90172,128034,150763,177054,157731,206062,219173,244555,252687,274161,314894,342333,364933,385506,442914,496855,458281,483991
Nebraska,,208818,236417,266033,313446,351586,369683,388236,404103,478391,491584,521686,529972,535956,504459,477450,537617,551574,529959,547983
Nevada,,182904,176908,197644,220494,261549,344207,349645,384298,410145,457085,509139,559369,647050,672471,730230,830505,1160275,1160158,1164740
New Hampshire,,157211,185273,171535,208128,249333,233627,298001,311212,316139,352262,365990,374745,363728,396376,308995,362566,368090,415784,441747
New Jersey,,1022719,1135985,1251899,1549764,1821644,1932088,1755912,1638382,2137490,2303268,2448203,2869759,3437492,3723440,3437027,3595338,3383266,3352070,3372715
