state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Alaska,,1,1,1,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3
Arizona,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arkansas,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4
California,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Colorado,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Connecticut,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
Delaware,,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,2
District of Columbia,,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4
Florida,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2
Georgia,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Idaho,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
Illinois,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2
Indiana,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iowa,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Kansas,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Kentucky,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3
Louisiana,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Maine,,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2
Maryland,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Massachusetts,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3
Michigan,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Minnesota,,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
Mississippi,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3
Missouri,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Montana,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Nebraska,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nevada,,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
New Hampshire,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
New Jersey,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
New Mexico,,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5
New York,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
North Carolina,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
North Dakota,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Oklahoma,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Oregon,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Pennsylvania,,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,2,3
Rhode Island,,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3
South Carolina,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2
South Dakota,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Tennessee,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2
Texas,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3
Utah,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,,1,1,1,2,2,2,2,2,2,3,3,3,3,4,5,6,6,6,6
Virginia,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2
West Virginia,,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
Wisconsin,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
Wyoming,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
