state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,4665309,4936373,5263486,5460039,5509615,5596258,5692527,5751271,5988130,6450461,6998078,7492519,7359422,7234371,7110273,6679082,6730870,6751521,6718110,6589890
Alaska,1486170,1436101,1526132,1544093,1581613,1628867,1654885,1670078,1722530,1777312,1845489,2131538,2305971,2374186,2369530,2229770,2294224,2253140,2358248,2074993
Arizona,4830986,5041444,5353887,5704004,5892127,6114630,6537784,6904566,7140096,7497929,7825383,8274717,8366954,8130397,7653915,7379013,6953031,7227459,7103296,7137123
Arkansas,2795523,2996555,3094550,3166992,3262079,3376554,3524495,3645451,4012537,4160855,4263520,4319495,4650534,4930356,4971276,4470878,4398150,4397766,4403078,4411761
California,40933568,44756996,46925624,49953628,54597072,59446184,60569704,61289736,61633324,62422908,65640048,67492896,65782912,62842820,60398860,60426560,59417604,60396416,65262256,68892072
Colorado,4752321,5189529,5446850,5654311,5971487,6318583,6551497,6736037,6879145,7101189,7093220,7735245,7508834,7669783,7473932,7249607,7302963,7575540,7774019,8060420
Connecticut,5724568,5537318,6196597,6422530,6690158,6994721,7217526,7388474,7453586,7701375,7904774,8152160,8615231,8710844,8414518,8366128,8343227,8500782,8603890,8687640
Delaware,1107629,1149175,1180304,1247267,1297524,1355008,1419864,1473626,1537750,1614918,1556134,1639638,1594905,1610660,1655435,1773043,1744531,1760711,1784270,1832385
District of Columbia,775730,878064,954092,1110976,1211986,1317642,1380858,1433278,1475681,1471329,1417011,1832520,1937972,2087214,2005754,2098938,2090271,2105408,2175690,2290288
Florida,16394885,17101624,18063136,18063278,18652292,19350396,20486790,21454584,22594532,23714916,25312180,25988324,24864876,24585584,24757726,22983402,22932614,23676368,24076716,24222830
Georgia,9885915,10533796,11450548,12059955,12836697,13674057,14062619,14352077,14453410,15254391,16253523,17262556,17083178,16718303,16175757,15914811,15525442,15620172,16051739,16563441
Hawaii,1048358,1104292,1219807,1298793,1503549,1710976,1846948,1966297,1952770,2057054,2227878,2289878,2379069,2045200,1873495,1768649,1739087,1933759,1792085,1843481
Idaho,1516532,1580917,1674417,1671957,1770894,1878515,1880721,1871788,1904166,1920417,1954769,2018217,2068921,2045425,1917714,1847681,1889784,1873270,1885737,1935653
Illinois,15056134,16693427,17831112,18572516,18826888,19204614,20096302,20832080,20955076,21380514,21656892,22338064,23681868,24205560,23836618,23550420,23407802,23853442,23974434,23933484
Indiana,7409658,7903100,8144089,8290667,8516834,8794477,9198474,9531282,9999091,9753119,9822745,9406659,9586781,9734594,9224115,9071585,8755423,8600941,8583147,8643916
Iowa,3577938,3964078,4064101,4181670,4130227,4110020,4311439,4478980,4515395,4607361,4698475,4889792,5085940,5114317,5085905,5115587,5214350,5322604,5440938,5517359
Kansas,3512507,3633240,3686023,3787289,3924114,4083388,4123629,4137940,4115001,4284717,4510604,4725317,4826581,4682082,4602524,4538154,4574279,4586782,4596011,4532902
Kentucky,4281431,4247628,4444334,4536243,4650137,4792511,4890076,4954775,5402360,5690976,5720375,6102304,6044295,6276623,6359560,6378951,6257880,6134479,6206434,6283316
Louisiana,5218588,5505245,5742226,5781142,5958642,6171407,6368940,6520675,6636733,6420351,6820895,7489218,7877872,7920119,7886641,8244968,7250770,7249068,7358215,7295542
Maine,1908386,2019145,1962432,2037507,2078970,2133535,2209606,2269468,2284544,2316577,2350281,2373732,2447330,2428393,2392941,2295925,2210746,2229946,2286719,2290535
Maryland,7018517,7168234,7553531,7745961,8274069,8840180,9027976,9154768,9407039,9869451,10588420,11234326,11575780,11719733,11572135,11312956,11472422,11546288,11697085,10459539
Massachusetts,8583142,9360891,9921686,10472439,11021806,11627799,11836423,11966662,12142371,12285464,12471953,12962182,13573801,13259647,13037529,13365868,13447223,13914072,14099588,13998163
Michigan,15404740,16480742,17085502,17646612,17459948,17404134,18667560,19767682,19559476,17608760,19181796,18085960,17995206,17808972,16898456,16143084,15544533,15271954,15380317,15328155
Minnesota,7424437,7438517,7903508,8239163,8185718,8192291,8377180,8505011,8572034,8711811,8869783,9103156,9824897,9345096,9151739,9061674,9192174,9367058,9684199,9987116
