state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
Alaska,8,7,8,8,8,8,8,8,9,9,9,11,12,12,12,11,12,12,12,11
Arizona,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4
Arkansas,4,4,4,4,5,5,5,5,6,6,6,6,6,7,7,6,6,6,6,6
California,4,5,5,5,6,6,6,6,6,6,7,7,7,6,6,6,6,6,7,7
Colorado,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Connecticut,7,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,10,10,11,11
Delaware,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8
District of Columbia,6,7,8,9,10,11,11,12,13,13,13,16,17,19,18,18,17,17,17,18
Florida,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,6,6
Georgia,5,5,5,5,5,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6
Hawaii,3,3,4,4,5,6,6,6,6,7,7,7,7,6,6,5,5,6,6,6
Idaho,4,4,4,4,4,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4
Illinois,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8
Indiana,5,5,5,5,5,5,5,6,6,6,6,5,6,6,5,5,5,5,5,5
Iowa,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7
Kansas,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Kentucky,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6
Louisiana,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,6,6,6,6
Maine,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Maryland,5,5,5,5,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,7
Massachusetts,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,9
Michigan,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7
Minnesota,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Mississippi,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Missouri,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
Montana,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7
Nebraska,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
Nevada,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,6
New Hampshire,5,5,5,6,6,6,7,7,7,7,8,8,8,9,9,9,9,9,10,10
New Jersey,7,8,8,8,8,8,9,10,10,10,10,11,11,11,11,11,11,12,12,12
New Mexico,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
New York,7,7,8,8,8,9,9,10,10,10,11,11,11,12,12,12,13,13,13,13
North Carolina,4,4,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5
North Dakota,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8
Ohio,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
Oklahoma,4,4,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
Oregon,5,5,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,7,7
Pennsylvania,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,9,9,9,9
Rhode Island,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10
South Carolina,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
South Dakota,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tennessee,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5
Texas,4,5,5,5,5,5,5,6,5,5,6,6,6,6,6,5,5,6,6,6
Utah,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Vermont,6,6,7,7,7,7,8,9,9,9,10,10,11,11,11,11,11,11,12,12
Virginia,5,5,5,6,6,6,6,6,7,7,7,8,8,7,7,7,7,7,7,7
Washington,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
West Virginia,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,7,7,7,7
Wisconsin,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,7,7,7,7,7
Wyoming,6,6,6,7,7,7,8,8,8,8,9,9,10,10,10,10,10,10,10,11
