state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,200339,184019,181886,177367,190392,207975,233062,268605,311125,302786,310931,343237,488387,587263,685269,622725,599940,583933,601174,555892
Alaska,28513,25769,25178,23880,24633,30144,33784,32911,40524,41185,40201,45812,58720,73330,80255,79933,81703,76666,73440,74580
Arizona,180363,145483,132013,140303,164036,225371,278180,330540,343524,351332,362827,427932,640071,784325,783190,819169,815877,728044,707899,663255
Arkansas,101938,100421,105357,98993,112346,129357,150648,166850,196229,196004,196324,207143,269604,312312,327155,332962,330794,301992,284810,268088
California,1477317,1355233,1156712,1098353,1068622,1151362,1218583,1317256,1532747,1526542,1649821,1897848,2624823,3496200,3753048,3977614,4202442,3972555,4019973,3691227
Colorado,93925,79557,71637,62533,64470,83383,105316,131530,159118,168220,161193,168404,261382,354858,395131,405061,411765,377508,370541,350189
Connecticut,86501,79307,71058,65002,59429,64005,74514,85728,91733,96111,99960,111653,162692,215341,242124,267522,261832,248287,252513,244042
Delaware,22564,18216,17735,15968,16825,20550,25329,29119,33463,36421,37738,44555,66227,84722,96493,106038,108113,97176,103021,98425
District of Columbia,47987,42867,41826,39793,33131,34580,40371,45926,46380,45827,43451,46390,60294,77378,87574,87489,88603,81473,81574,76809
Florida,519977,426056,387008,357849,358388,398819,455434,574653,747823,751219,634270,786160,1282338,1859533,2023445,2113860,2226622,2150824,2252730,2112786
Georgia,310447,290578,276597,256666,263243,325556,398247,472993,553261,572222,586622,653696,954425,1249238,1359059,1416224,1441312,1286674,1267230,1254281
Hawaii,91216,87148,86704,74651,68290,67689,65132,64671,64074,60469,65435,75137,111937,147556,167930,185412,194708,211735,203197,200953
Idaho,27310,24327,23334,23682,24651,32309,39438,47942,53957,53289,49820,61081,106095,148278,173760,173752,164375,144875,134141,125413
Illinois,480673,443154,375869,388516,403432,443187,522159,593567,679045,739573,755991,811028,1117253,1291996,1380911,1395395,1499875,1380282,1384000,1255923
Indiana,135643,132910,133585,136742,161691,206079,243301,275300,303905,311743,333809,379486,512057,606876,647485,668762,689656,595407,581036,504313
Iowa,60053,52316,49936,48589,50965,60776,70592,83759,103508,114053,121311,139379,193554,221496,246529,252214,255732,237842,222658,221820
Kansas,55900,37997,38814,38291,43322,55277,66965,75216,88380,91334,90640,98450,141735,187223,211443,202663,216735,184563,178604,164316
Kentucky,170579,155223,147843,148841,157019,184134,212483,236636,261718,268469,285887,308688,431903,491125,494268,499965,531866,463712,458301,400239
Louisiana,268429,247500,380786,239284,255808,312324,351542,387507,499170,503444,365602,514642,545020,614803,643926,705049,670362,606797,618060,697929
Maine,42339,39091,34492,29063,35569,37420,45410,51101,59204,64838,67209,75758,108886,135317,134510,130357,127373,106755,98141,90234
Maryland,164534,148475,122690,95541,89686,99633,127691,136467,156865,160318,168619,195716,306257,393333,436844,459404,496217,460053,480557,452165
Massachusetts,136893,118881,103346,95478,88917,104618,128408,156472,169537,176202,200086,242847,370241,462865,494686,523339,515978,454453,419607,411642
Michigan,337463,306007,257416,230582,252075,322933,384491,424770,506555,557454,612698,641570,846962,1084183,1166047,1135495,1091859,978943,881355,793540
Minnesota,94169,91480,85860,86959,92797,104739,115153,123001,133648,144025,147897,160830,224988,289947,310094,334293,338628,296900,284911,278384
Mississippi,153492,131751,121200,119159,135580,159688,170888,191305,240740,255072,218348,243455,327566,398722,426474,442973,438940,407192,400533,365675
Missouri,199955,172397,169183,174368,187046,229386,270739,315128,373029,373732,390543,426308,522382,631644,642735,655010,634424,526725,546204,551258
Montana,27097,25244,24942,24573,23585,27049,31510,37144,40422,40749,39826,41836,58670,75385,80417,77977,79403,71172,72337,68543
Nebraska,36923,34276,33472,29044,31732,36894,43758,55106,60129,62282,62598,70376,88997,118789,123366,121060,125438,116346,119836,116969
Nevada,37403,31928,26796,29001,32012,48900,57238,60238,64322,59928,65934,82990,140886,192373,234521,253729,245671,238837,266461,272582
New Hampshire,16841,15106,14890,12939,12988,15076,18508,20686,22301,24888,27865,29918,48583,64369,65397,69253,67633,58117,53132,48462
New Jersey,228916,195998,174894,148265,142550,153672,169749,181968,213900,232942,227210,256347,349574,489389,546297,599780,662779,573066,569523,571166
New Mexico,89905,76534,75987,74111,72356,80733,97808,116757,132495,135550,132137,140786,216515,269820,310787,309397,316639,290490,317936,312735
New York,808805,745477,680980,600401,630793,658005,756106,776696,922696,925112,934367,1047147,1562238,2088673,2033251,1960359,2197970,2023095,1781410,1860670
North Carolina,231889,209707,220861,198743,206895,273040,318837,387145,440923,456805,477395,540052,788366,936602,1067315,1066828,1096127,1015401,1034878,982790
North Dakota,14094,11858,12562,12041,12668,15468,17654,18209,20729,21030,23766,27618,35009,42757,42684,39898,36778,34094,34359,34786
Ohio,351871,290420,258946,256038,266953,341366,431470,498576,557589,600188,610152,687544,999042,1205557,1245295,1271932,1221881,1105420,1064640,1008730
Oklahoma,124946,113141,108066,103573,114509,143355,181227,187353,212766,227578,223029,233889,315896,416541,426302,428134,422780,383217,396147,406510
Oregon,94288,87787,86846,88192,103966,141522,164967,183133,191496,196431,201958,218506,330070,411913,438840,460092,452564,405493,410460,339062
Pennsylvania,408255,359884,334483,303601,294660,317253,355813,427439,499330,519008,541200,593621,804033,968019,1101349,1044470,1071855,988284,1087961,1061591
Rhode Island,36812,31645,33041,32659,32780,34634,35708,38099,38631,38927,42801,49551,74834,97424,104674,108178,106907,102702,107455,97090
South Carolina,144628,134517,128349,127122,137328,176886,226111,250101,272155,275264,297955,332192,466788,567847,597482,596531,612130,562242,554750,567526
South Dakota,20469,19569,19189,19534,19556,24203,24702,28208,31538,32746,34177,38298,54749,72864,77987,77118,76249,69107,70414,69982
Tennessee,218794,209470,191076,196354,207217,259760,324808,363686,430329,445062,445602,493853,697599,831664,864525,875313,874477,817854,799117,710720
Texas,993436,806495,719386,692641,735269,887498,1090894,1296414,1486542,1660722,1557505,1745824,2525098,2990621,3320192,3093258,3287681,2990495,2927570,2919700
Utah,42435,41389,40920,35702,34483,42325,56724,65873,74845,74280,69666,80764,142159,197761,201433,210362,195376,165303,166633,158783
Vermont,16637,14111,14369,13982,12130,13872,14788,15550,18360,19686,21373,24184,37810,43882,47335,49016,51619,44832,43543,41929
Virginia,182830,153738,134679,119854,8146,111760,175418,230940,242358,248662,259180,291590,421756,549714,610113,616233,626020,566928,551393,544946
Washington,178949,151559,127257,111813,122873,144532,173134,200320,232869,252702,249869,296148,454286,579593,650638,678913,651350,617471,595819,560817
West Virginia,97777,93515,83241,74755,72800,79006,89883,98713,105026,108426,110229,122866,162566,188446,193982,192655,189687,171408,188465,181658
Wisconsin,88408,74419,68087,69816,80953,112675,128871,146305,162279,177831,193349,215874,327746,458227,491833,499804,508080,452983,419410,399595
Wyoming,12148,10811,10435,9854,9552,10791,12099,13115,13866,12681,12440,13380,17833,25166,24455,25108,27578,25326,23131,24595
