state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,285652,259186,252973,241692,253375,272367,299498,336828,378271,356535,356446,385481,542188,646269,739103,659598,624910,597309,607777,555892
Alaska,40656,36295,35019,32540,32782,39476,43415,41270,49270,48496,46086,51450,65188,80698,86560,84666,85103,78423,74246,74580
Arizona,257169,204910,183607,191186,218300,295148,357477,414495,417662,413698,415940,480600,710582,863131,844716,867673,849835,744720,715673,663255
Arkansas,145347,141440,146533,134895,149511,169408,193591,209228,238578,230797,225063,232637,299304,343692,352855,352678,344562,308910,287938,268088
California,2106420,1908812,1608789,1496683,1422130,1507840,1565948,1651830,1863536,1797524,1891331,2131426,2913973,3847484,4047880,4213137,4377353,4063551,4064123,3691227
Colorado,133923,112054,99634,85211,85798,109199,135337,164937,193458,198081,184789,189130,290176,390513,426172,429046,428903,386156,374610,350189
Connecticut,123336,111702,98830,88575,79089,83822,95755,107503,111530,113172,114593,125395,180614,236977,261145,283362,272730,253974,255286,244042
Delaware,32172,25657,24666,21759,22391,26913,32550,36515,40684,42886,43263,50039,73523,93234,104074,112317,112613,99402,104152,98425
District of Columbia,68422,60377,58173,54224,44090,45287,51879,57591,56389,53962,49812,52100,66936,85152,94453,92669,92291,83339,82470,76809
Florida,741404,600089,538262,487626,476945,522298,585258,720611,909214,884571,727118,882917,1423600,2046371,2182404,2239025,2319297,2200091,2277471,2112786
Georgia,442648,409272,384700,349749,350326,426353,511770,593130,672662,673799,672495,734150,1059565,1374756,1465824,1500081,1501301,1316146,1281148,1254281
Hawaii,130059,122745,120591,101724,90881,88646,83698,81097,77902,71203,75013,84385,124267,162381,181122,196391,202812,216585,205429,200953
Idaho,38939,34264,32453,32271,32806,42313,50681,60119,65601,62748,57113,68599,117782,163177,187410,184040,171217,148193,135615,125413
Illinois,685364,624171,522770,529415,536891,580404,671003,744329,825592,870857,866657,910846,1240330,1421810,1489393,1478019,1562301,1411899,1399200,1255923
Indiana,193405,187201,185794,186333,215179,269884,312656,345224,369492,367081,382674,426191,568465,667852,698351,708360,718361,609045,587417,504313
Iowa,85627,73686,69452,66210,67825,79593,90715,105033,125846,134299,139069,156533,214876,243751,265896,267148,266376,243290,225103,221820
Kansas,79704,53518,53984,52177,57654,72391,86053,94320,107454,107547,103908,110566,157348,206035,228053,214663,225756,188791,180566,164316
Kentucky,243219,218628,205624,202819,208963,241144,273053,296740,318200,316126,327737,346680,479481,540471,533097,529569,554003,474334,463334,400239
Louisiana,382737,348597,529608,326063,340431,409023,451751,485932,606899,592812,419121,577981,605059,676576,694511,746797,698264,620696,624848,697929
Maine,60369,55058,47973,39603,47336,49005,58354,64080,71981,76348,77048,85082,120881,148913,145077,138075,132675,109200,99219,90234
Maryland,234600,209124,170640,130190,119354,130480,164091,171129,190719,188777,193303,219804,339994,432854,471162,486607,516870,470591,485835,452165
Massachusetts,195187,167441,143737,130105,118331,137009,165011,196215,206125,207480,229376,272736,411027,509372,533548,554327,537454,464863,424215,411642
Michigan,481168,431003,358021,314204,335463,422918,494092,532659,615877,656410,702388,720531,940264,1193117,1257650,1202730,1137304,1001367,891035,793540
Minnesota,134270,128847,119416,118496,123495,137167,147978,154242,162492,169592,169547,180624,249773,319080,334454,354087,352722,303701,288040,278384
Mississippi,218856,185569,168568,162373,180431,209130,219600,239895,292695,300351,250311,273419,363651,438784,459977,469202,457210,416519,404932,365675
Missouri,285104,242816,235305,237604,248922,300407,347914,395168,453534,440075,447713,478776,579927,695109,693228,693795,660829,538791,552203,551258
Montana,38637,35556,34689,33485,31387,35423,40492,46578,49145,47983,45656,46985,65133,82960,86735,82594,82708,72803,73131,68543
Nebraska,52646,48276,46554,39577,42229,48316,56231,69103,73106,73338,71761,79038,98801,130724,133057,128228,130658,119011,121152,116969
Nevada,53331,44970,37269,39519,42601,64040,73554,75538,78203,70566,75586,93204,156406,211702,252945,268753,255896,244307,269387,272582
