state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,90994,62384,48939,49527,42401,43066,59297,56248,57618,40717,52583,45724,46937,54027,58215,52572,47800,40644,31906,25673
Alaska,140775,108347,89023,75444,68161,72068,64488,54360,49991,42863,42754,37632,35436,43646,44029,43798,40270,40699,46699,39416
Arizona,266873,203583,169187,146329,121472,169942,225351,228868,194612,161454,150773,136754,153174,115434,94308,52210,-22729,32785,53490,44728
Arkansas,68660,36864,33077,46305,32742,34317,28307,21121,22491,18018,18674,15179,18358,17787,16940,15440,13736,11359,9313,7039
California,7181194,5814587,5966581,4963660,4175435,3415757,4008496,4120193,4259794,4097416,3771335,3652250,3896110,4345111,4011914,3479679,3359490,3146475,2869903,2632009
Colorado,154657,112847,76692,65146,73426,69077,65182,81983,91346,74156,55234,47888,57475,78347,84365,74906,73607,81112,77744,74789
Connecticut,457613,430271,260246,226351,201060,167370,171470,158246,152875,146186,122485,112850,99123,102202,96950,85919,84703,85326,70587,59229
Delaware,44873,34079,32178,26926,27386,25226,25784,25609,23482,21590,16135,15134,20163,11862,27749,20268,13454,21805,21240,19612
District of Columbia,150225,136430,111391,98321,89687,87576,86825,87356,80568,73167,21412,24051,25203,58491,72492,37891,61487,61716,77604,99550
Florida,775636,502651,396345,319282,334609,335085,321992,300276,223946,199619,175409,178472,199780,206182,185162,179493,180457,169336,179190,167513
Georgia,450562,440218,287575,245335,229478,143003,216564,203676,142645,112708,58770,83190,61069,53170,55178,46487,49500,43559,97968,83569
Hawaii,232833,215932,139403,192096,167285,111296,117128,109436,99369,99685,131834,54674,77876,77189,77567,73338,66726,59995,52894,42384
Idaho,28631,8400,5883,4483,6083,6471,8154,9068,8868,8522,6825,6183,6552,6818,4980,7649,6822,6817,7879,7917
Illinois,1007625,1086256,750888,367089,253639,191714,147211,138489,148548,145426,109648,67931,67821,79531,114808,134974,84380,79191,69239,53514
