state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,566820,582622,571197,536003,522312,503994,487546,452968
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,51862,48453,49410,48905,47450,43033,42150,45022
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,793939,832033,860178,755414,731133,697225,673358,620675
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,321037,323474,324016,310312,303142,294610,290609,278169
California,0,0,0,0,0,0,0,0,0,0,0,0,4261243,4423028,4468974,3997711,3877777,3674938,3460966,3027145
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,478214,492592,488415,439962,424031,395623,374883,345721
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,198195,194512,195598,191803,194035,188795,183651,177204
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,74910,76753,76805,73726,72769,69896,69021,66196
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,40753,43200,48306,45965,45527,44898,43407,41786
Florida,0,0,0,0,0,0,0,0,0,0,0,0,1905551,1971631,2004477,1935593,1926346,1875936,1836888,1754124
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,1342498,1384160,1381659,1282249,1261538,1195108,1157195,1070408
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,107245,107978,109740,108268,105336,101325,94804,87468
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,185275,183355,178360,169956,165654,157624,151253,142980
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,1301575,1302780,1302476,1204046,1158967,1105632,1050442,957794
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,644678,653238,645152,600601,591056,563523,531968,493422
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,233272,221278,216219,209324,208090,201402,196526,188640
Kansas,0,0,0,0,0,0,0,0,0,0,0,0,267410,266334,262500,247321,244108,234727,226410,210727
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,410341,418611,411682,394591,390696,375064,361306,340389
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,497024,498478,502529,483555,476856,465304,463866,452910
Maine,0,0,0,0,0,0,0,0,0,0,0,0,83117,79503,77031,75509,75519,73453,71268,69956
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,443104,455582,458328,439507,446761,433135,419329,392809
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,332943,323275,320350,311382,311801,303943,293310,280937
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,809483,789178,787111,758203,745296,725400,702310,674988
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,386299,384482,375200,351068,344248,331947,319902,308115
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,399605,410457,407356,383984,374743,365214,355312,334301
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,517931,509667,506501,493305,489812,473529,461760,443270
Montana,0,0,0,0,0,0,0,0,0,0,0,0,78378,74712,72976,69970,69569,66485,65411,65091
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,158983,156722,154406,149343,148612,144135,140041,133842
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,347513,348115,352133,330539,330665,322787,312583,281436
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,66172,63764,61960,59373,57833,54706,52617,50974
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,635590,643741,639429,602251,603038,583486,561775,529174
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,230340,228091,225490,215454,212275,203990,200697,190808
New York,0,0,0,0,0,0,0,0,0,0,0,0,1575653,1569974,1562774,1527861,1533743,1497315,1451318,1374518
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,1140978,1164214,1167331,1069532,1035425,987711,945006,867494
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,41873,40309,39785,38124,38354,36927,37387,38415
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,928309,916013,912400,879125,873859,847304,824163,788065
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,397916,398571,396333,376124,369973,356963,354902,340673
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,334394,324425,315601,301901,296723,283739,272223,252101
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,837827,814077,807272,781494,789471,766307,749289,730011
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,72213,69693,68768,66614,68078,65781,63240,61045
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,543680,546322,542314,507319,496569,476346,460788,434137
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,68540,67330,65596,63219,63412,60965,59741,58459
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,704669,727120,725857,688397,678087,651723,628286,581003
Texas,0,0,0,0,0,0,0,0,0,0,0,0,3296967,3326657,3323390,3152081,3140957,2990093,2970294,2852658
Utah,0,0,0,0,0,0,0,0,0,0,0,0,419752,421928,409567,366491,345093,317948,297756,273430
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,35464,34424,33060,32176,31932,30484,29801,28951
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,632057,637508,632910,610873,601500,583741,566674,539039
Washington,0,0,0,0,0,0,0,0,0,0,0,0,565870,560030,562673,535761,521403,492274,470325,433320
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,129078,125368,121948,119714,119645,117581,117916,116989
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,453646,447242,443952,416599,404941,382124,359642,333863
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,43529,42679,40789,38588,38258,35264,35342,34768
