state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,107733,117044,126108,139186,165744,192301,201320,210339,221697,244420,295217,316707,373529,402752,445842,458685,522704,562813,616902,675607
Alaska,5550,4345,4480,5432,7080,8728,10165,11601,11066,12262,13040,14022,17314,23630,19444,19449,20256,19758,20810,33378
Arizona,111735,122154,132942,143576,153469,163361,190282,217203,256968,287576,317507,347550,404761,474788,521690,571932,1583901,1769685,1847363,658760
Arkansas,62447,79096,102184,125196,143775,162353,174559,186765,182486,216051,217862,249144,256687,300695,539884,512914,504925,479481,468497,478104
California,1121672,1168977,1200084,1119913,1455109,1790304,1959361,2128418,2437528,2665885,1775689,1916280,2055490,3018863,3537207,4138422,4285537,4532899,4930538,5182384
Colorado,84129,89695,95983,106117,127224,148330,154785,161239,172214,205033,210204,236124,269232,293792,313645,347431,362907,381541,436292,478980
Connecticut,71053,87070,92937,107838,114995,122152,132550,142947,159932,172745,187855,256837,271284,291866,334207,331035,330754,319011,356853,371773
Delaware,31284,40483,42138,46276,52739,59202,61911,64620,69758,75297,131153,91781,156462,172097,186235,193244,220651,252960,278582,292436
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,391935,407474,465658,542116,663337,784557,930843,1077129,1351527,1416346,1606935,1777194,1787732,1792669,1885090,1738689,1772410,1804958,1868402,1713856
Georgia,377853,435128,410652,531780,570853,609925,670601,731277,723573,698197,756029,773648,862565,1007114,1152361,926466,903015,935500,996251,1078655
Hawaii,4877,4598,4725,4086,6975,9863,18924,27984,26217,25211,29671,36025,40814,48437,81996,91801,96817,105100,146820,136682
Idaho,17880,19555,21744,23410,29343,35276,38522,41767,53982,53466,58189,63732,70034,73114,75760,75519,75077,74841,79222,84503
Illinois,521985,566491,618991,648490,698940,749390,746683,743976,725623,778518,895601,893390,920795,959212,989235,1034825,1035832,1135407,1114097,1016816
Indiana,205275,221821,246077,256217,300822,345427,398836,452244,469129,515008,593353,600262,663892,702746,760984,843562,823930,885209,929753,958748
Iowa,146827,142885,150347,163429,176057,188684,186200,183715,191379,200545,217487,237325,245185,248443,266848,270255,299461,317154,336881,352054
Kansas,59289,64792,68080,64041,126809,189577,136963,84349,88697,88210,83811,98020,115735,128908,137557,128118,132079,134045,136158,140874
Kentucky,117354,119871,140395,169579,227770,285961,358977,431993,475100,523694,562707,598086,630752,680086,709770,732887,778056,815676,825912,902931
Louisiana,93231,98451,169256,218518,303921,389323,350723,312122,343916,304178,325912,375090,399208,410928,298007,299344,716678,626343,733036,943835
Maine,27188,27605,34121,33521,41834,50147,49568,48989,51169,55772,56056,58859,63683,80084,89798,91105,89629,91692,100290,112764
Maryland,178775,189639,207231,228939,273007,317075,323998,330920,348589,367212,398546,404358,424527,409540,409881,411468,438015,456853,462099,490603
Massachusetts,152141,162133,195523,214932,214697,214462,216583,218703,239530,237502,272734,290416,299242,335423,325171,350966,369735,381998,398124,908508
Michigan,318001,345747,360200,319042,266100,213158,395754,578350,582333,655244,684989,752129,849241,912233,834542,867929,913846,960812,988606,1108190
Minnesota,214559,216756,231520,263306,293764,324222,336132,348041,369505,382255,450889,463428,473690,544257,482683,502565,543024,573188,586828,645763
Mississippi,82303,119072,130781,140273,144017,147760,139675,131589,135676,139902,146328,136879,147406,165549,178507,195538,217030,250294,290532,311972
Missouri,138909,154025,170227,167430,197308,227186,236176,245166,263937,285108,309645,379757,427400,431828,398342,424806,443537,465145,398602,425038
Montana,26648,28986,32043,36402,42491,48580,51474,54368,57161,64736,70481,66049,69905,73506,78320,78501,82918,84490,88888,72585
Nebraska,32705,38189,42099,47635,54358,61080,65311,69541,79748,105783,116063,124795,111903,119817,126184,128011,139205,147543,153231,151696
Nevada,15953,18621,21169,21411,30960,40508,47339,54169,85605,95402,105704,117712,137647,179360,208171,227716,263670,287561,325333,372990
New Hampshire,37541,39139,40346,43428,48032,52636,54785,56934,60123,62426,72780,80465,86218,93068,100751,99267,108426,116295,123113,158005
New Jersey,281949,311751,302770,334031,359542,385053,419698,454343,489434,515009,560580,572529,725078,757780,722848,817705,838504,918345,1021452,1111637
New Mexico,42760,51938,63040,73027,95650,118273,132883,147493,105687,166204,174758,145442,149703,161785,163232,185988,193454,195314,200725,199306
New York,906287,935442,915659,872394,960137,1047880,1220417,1392954,1530935,1506165,1424370,1458483,1438743,1569444,1528341,1614436,1631028,1763451,2092368,2005495
North Carolina,182830,195741,207175,232468,254694,276920,257616,238311,261724,277017,317556,360692,374478,492672,603558,584221,655108,679048,1081190,1177150
North Dakota,14404,15340,15344,16344,18270,20196,24389,28581,26229,31042,35549,39214,46709,42784,47701,47337,45472,42495,42274,47768
