state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1108308,1104039,1110301,1115509,1131400,1239041,1260563,1282429,1324812,1342454,1400191,1388974,1548489,1518717,1524838,1501930,1497753,1478007,1460566,1392333
Alaska,53389,56684,55711,54174,56844,70480,74382,77815,80047,81001,80586,69423,104670,99941,105769,107941,108235,100858,100142,103778
Arizona,769966,783964,781657,767098,783743,891452,912338,926953,937609,963153,1059795,1124420,1384004,1425486,1489679,1493479,1551311,1557407,1574638,1524773
Arkansas,600975,599396,600217,599208,609401,676321,679177,684979,697982,702256,731161,736260,828606,815710,819629,809264,822169,812706,815428,789715
California,5244792,5351688,5380655,5148018,5152134,5656324,5631494,5579446,5563178,5593162,6088761,6155736,7372123,7547327,7820854,7721601,7989520,7925797,7739822,7195591
Colorado,476409,475845,467647,449477,455717,529109,547131,551526,560938,568157,607575,633174,781003,790169,816878,821148,847155,828579,823800,792843
Connecticut,280092,292735,298055,291393,296395,329013,337595,342815,347855,355847,382160,388573,446053,445163,466172,480345,509517,508814,506998,494583
Delaware,108666,109458,109076,107323,108656,123136,124652,127230,131124,132019,139600,144009,164370,166753,171837,175328,181345,182271,183150,177779
District of Columbia,113548,114886,117360,114592,111913,116199,111822,108427,107461,104969,104964,105657,120390,123790,138467,130195,133716,132863,128581,122886
Florida,2848768,2883927,2945870,2972069,3091669,3509603,3607758,3679370,3713155,3774675,4103975,4296030,5020856,5148656,5221447,5401757,5575408,5528170,5515301,5350136
Georgia,1644225,1678325,1708065,1731375,1798791,2031179,2111378,2172038,2281089,2366720,2544854,2627178,2985414,3042171,3055603,3072498,3155161,3133829,3131985,2998262
Hawaii,116247,124029,127620,128712,136733,168016,170783,177419,174856,177701,188821,193864,236324,244904,254114,254722,257724,252268,242114,223222
Idaho,177392,181372,180854,176644,184654,215872,220582,224606,230195,230890,246801,261194,325308,324173,326229,326413,332372,324696,322500,311501
Illinois,1605516,1634669,1679258,1673799,1701514,1882193,1928480,1976968,2029547,2057846,2172168,2222749,2537425,2547850,2608275,2596748,2644886,2641583,2601936,2484368
Indiana,779576,780398,774138,776455,799162,906269,923010,948830,976107,1003756,1070598,1121299,1309508,1302600,1339768,1348787,1389722,1379462,1366110,1310231
Iowa,302519,299829,293674,289702,296050,343843,348117,350625,358493,368625,391950,402278,477761,467144,471558,479087,493232,487925,488050,470672
Kansas,308642,311066,308756,304748,311394,368890,379588,383722,387792,388766,410941,418562,507020,507344,516545,516230,528700,523074,517865,497955
Kentucky,646802,656269,655449,650780,660376,745024,756504,763640,781313,797531,842359,862756,992222,984552,997197,996561,1021210,1008799,1000668,968141
Louisiana,1215453,1217680,1253062,1255799,1284581,1408198,1433628,1449873,1323926,1361392,1394093,1373966,1535243,1516382,1526520,1506696,1514564,1494556,1502170,1454343
Maine,160688,161965,158478,152886,154006,174222,173889,172976,176361,177979,187292,187036,217360,213725,215551,217976,223350,222186,219689,211972
Maryland,699975,697584,693174,671896,665429,740208,753092,749181,754506,756633,794687,811280,935074,946017,973494,985708,1032387,1040803,1023011,968682
Massachusetts,524290,543509,545383,524311,523838,584676,602042,618107,629817,637274,679639,699017,811464,814996,844004,857936,896740,894000,880589,844859
Michigan,1178250,1207811,1206891,1199083,1241478,1385924,1415558,1466284,1514824,1569679,1670055,1714541,1996278,2005875,2062257,2057630,2093951,2077673,2042314,1967857
Minnesota,421807,430347,424872,416023,427153,495239,509815,516376,537480,558392,600089,615679,735059,733059,750653,760872,784246,778845,768704,744397
Mississippi,908037,896576,904812,904152,915219,995941,998514,999542,1009743,1046140,1083499,1081731,1192359,1187264,1193731,1161451,1164730,1153934,1140402,1079814
Missouri,841908,846686,846380,830973,840192,945344,964147,982792,1005449,1026561,1080006,1100680,1273004,1271416,1290681,1294712,1319997,1295207,1284240,1234618
Montana,135200,137931,138012,136731,137426,155847,155482,154265,152846,151745,157544,159354,189431,183526,182616,179919,182351,176753,176043,171941
Nebraska,196957,195827,194736,190533,196705,231245,232802,236919,241714,244699,257513,262063,312188,311741,318832,321172,330606,326676,325460,314078
Nevada,252287,259171,265543,269367,284704,329233,340193,346343,355639,366976,402882,419861,529723,572143,582423,586581,631264,637083,646750,635581
New Hampshire,110172,108747,105223,99724,101124,118043,119433,121980,122108,123837,132491,134074,158999,159151,162099,162640,165184,161153,157717,150523
New Jersey,932456,950492,967174,955762,977455,1062958,1077179,1075868,1082223,1088090,1154978,1178442,1331564,1339199,1374513,1379544,1474070,1477087,1469343,1420110
New Mexico,394520,402384,407715,396791,411579,453827,458147,457000,453608,453189,474040,479133,550487,540615,542341,541760,550225,541377,543706,527226
New York,2688052,2825346,2930771,3001558,2586270,3360418,3343029,3351892,3373745,3418061,3602017,3640141,4048967,4114483,4193259,4225197,4401875,4370906,4304919,4092470
North Carolina,1468416,1458763,1474080,1469537,1514289,1715203,1765830,1797992,1855898,1885242,2019371,2042496,2326267,2309478,2373497,2382413,2447312,2436916,2422316,2327357
North Dakota,75016,74514,72839,71071,71363,81922,81165,80924,80673,80415,82511,82088,96897,93969,93835,92995,94663,93108,94567,94406
Ohio,1437576,1464331,1465758,1463557,1504761,1688918,1727295,1759592,1788877,1830417,1945957,1999262,2313649,2313657,2355014,2368758,2423277,2392860,2380068,2292065
Oklahoma,632278,637131,634777,624396,625797,715353,729219,733435,738110,732762,756118,756668,896768,885593,885700,870706,889531,873103,887092,872030
Oregon,412768,420854,413139,405187,416471,461813,463216,470925,475210,474754,507729,520302,614393,604702,615301,621156,639578,630930,623434,594860
Pennsylvania,1397563,1430547,1449876,1418493,1430651,1589047,1612230,1635314,1673609,1697013,1787843,1809887,2070453,2044777,2081243,2093032,2190400,2183148,2173305,2118560
Rhode Island,115150,118432,120958,120918,122183,138231,138365,141637,145334,148417,161161,166605,186789,185781,189581,192190,204754,201920,198169,190759
South Carolina,878104,879859,884282,882582,905598,1000189,1014601,1033486,1050788,1062998,1122393,1151907,1293336,1284493,1301817,1295309,1318775,1312037,1303952,1260928
South Dakota,101191,101051,100337,97873,99739,115862,115978,116075,116678,118826,124172,125924,149680,146698,144849,147089,152169,143622,142458,139730
Tennessee,1082259,1078298,1083401,1081802,1107971,1238286,1269039,1281272,1310001,1339719,1419374,1468258,1691673,1697679,1712484,1707699,1741457,1722357,1708897,1631194
Texas,4580450,4609839,4655145,4581748,4694574,5295903,5466282,5655391,5867579,5882946,6154022,6196308,7331871,7365721,7377909,7333918,7618514,7353220,7429806,7316605
Utah,236189,234728,236462,232226,239152,291466,305448,312745,316889,314315,334886,359947,466144,478579,487203,483448,493275,481964,474249,451037
Vermont,70305,69484,67050,63048,62718,72043,72436,71974,72340,72129,75197,77107,90240,89801,89510,90970,91851,89898,89385,85873
Virginia,955485,968380,961892,935594,946560,1079108,1101175,1096690,1104544,1111749,1178576,1209541,1403431,1415723,1438908,1455251,1500595,1491305,1488879,1432470
Washington,596297,630274,634469,621842,633784,721505,735763,754007,751338,748912,795576,814419,976772,967243,995862,1013685,1038685,1017048,1006475,965723
West Virginia,287179,294205,293362,284889,283570,312223,312603,310395,311533,309608,322247,322415,374821,366417,361856,361333,369932,366172,368330,362529
Wisconsin,526327,514760,506909,500940,513066,586843,597640,610500,635476,655946,694294,721887,865742,853452,876118,882918,903459,893364,883009,851033
Wyoming,68065,66907,65625,63215,62008,69885,70592,68698,66982,64961,66169,66740,82100,81554,80592,86475,87010,79209,81235,81236
