state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,128645,134208,119852,130082,142811,154346,158447,164509,173456,183985,191781,194871,211984,214337,215362,221700,219429,209425,199817,186144
Alaska,4678,4534,4445,4654,4998,5417,5617,5736,6138,6746,7010,7178,8065,7992,8046,8604,8771,8612,8794,8516
Arizona,60955,62506,62502,66609,75010,82232,89122,96860,104862,113631,120590,125725,141469,146568,150184,157565,160425,159451,154488,143705
Arkansas,76166,80134,72849,73167,76843,80993,87234,96287,110727,124501,138880,152684,179211,193940,207940,223266,229944,221094,216743,207526
California,307369,316171,317522,336729,363743,381625,403253,416974,442607,473695,499021,526809,579385,624318,656759,708642,734887,761482,740603,684732
Colorado,42516,41392,35432,34477,34477,35833,35902,36630,39773,43039,46297,48090,54670,59088,63457,68601,71559,72873,73125,68915
Connecticut,26300,27232,27513,29644,32283,34332,35748,37474,40057,43361,46065,48033,52880,55287,58137,63054,66125,67028,66334,65367
Delaware,11826,12699,12619,13087,14361,15477,16198,17537,18712,20527,21596,22198,24470,25243,25416,26232,27333,26384,26667,25955
District of Columbia,13947,14980,15889,17585,19255,20976,22834,25238,26770,28477,29665,30002,31627,31245,32078,33211,32133,31827,32037,31252
Florida,292189,310199,312569,349384,383358,409133,436810,459473,484089,507289,531874,550357,621346,654953,693708,757897,795827,806494,804498,783571
Georgia,136657,138521,130816,143309,156971,166337,173964,184173,202349,221130,235067,245407,273751,289834,309132,333871,345242,351421,357058,342978
Hawaii,5102,5303,5738,6164,7021,7511,7676,8108,8820,9376,9931,10243,11448,11748,11871,12267,12261,11990,11415,10579
Idaho,15139,15818,14764,16101,16992,17992,19430,21251,23686,26055,27694,30252,34562,36099,37308,40223,41577,40533,40181,38995
Illinois,213840,222484,201988,212773,222308,238718,248879,259971,275782,291356,298929,302892,323179,320945,323453,329939,329380,314888,308045,297888
Indiana,85670,88256,84527,89554,94992,100319,107457,116334,126649,137427,148621,155691,174839,181944,186001,190389,190811,185362,185306,180788
Iowa,27259,27530,27897,27766,29354,31974,33921,36901,40349,43570,46992,48475,53674,54271,56134,59301,60777,60338,59217,58614
Kansas,32365,31941,30249,31664,33502,35604,36856,39271,42066,45650,48878,50380,56728,60325,63941,69495,71540,70201,68354,68687
Kentucky,109606,118090,107862,123863,133172,139243,147187,155461,166817,180001,193245,200155,216797,217390,216179,221262,219401,214525,207991,202775
Louisiana,163644,169271,145261,149733,157149,165670,172034,186509,177232,190122,209541,220509,244726,256483,265766,280439,281894,278295,267170,262727
Maine,12757,13867,14284,14885,16156,16915,17542,18777,19839,21663,23421,23797,26165,26749,27792,29719,30839,30861,31079,30056
Maryland,63393,66432,64523,70109,74128,76737,78336,82550,87302,94409,100197,103642,112684,116694,122189,132659,138625,139546,145022,144465
