state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,183427,189029,166694,177258,190054,202134,203613,206294,210891,216645,219855,218855,235336,235873,232281,234828,228562,214222,202011,186144
Alaska,6670,6386,6182,6342,6651,7095,7218,7193,7463,7944,8036,8062,8953,8795,8678,9114,9136,8809,8890,8516
Arizona,86912,88038,86929,90765,99824,107693,114527,121462,127493,133802,138243,141199,157054,161294,161982,166895,167102,163103,156185,143705
Arkansas,108601,112867,101320,99702,102263,106070,112101,120743,134623,146602,159210,171476,198953,213426,224275,236486,239515,226158,219124,207526
California,438259,445319,441619,458847,484072,499781,518202,522883,538127,557783,572070,591646,643210,687047,708353,750602,765474,778924,748736,684732
Colorado,60621,58300,49279,46980,45882,46927,46137,45934,48357,50679,53074,54009,60692,65025,68442,72663,74538,74542,73928,68915
Connecticut,37499,38355,38266,40394,42962,44962,45938,46993,48702,51058,52809,53945,58706,60842,62705,66787,68877,68563,67062,65367
Delaware,16862,17886,17551,17833,19112,20269,20815,21991,22750,24170,24757,24930,27166,27780,27412,27785,28471,26988,26960,25955
District of Columbia,19886,21098,22099,23963,25625,27470,29343,31649,32547,33532,34007,33694,35111,34385,34598,35177,33471,32556,32389,31252
Florida,416615,436907,434731,476092,510176,535807,561326,576177,588563,597339,609733,618092,689793,720760,748204,802774,828951,824967,813333,783571
Georgia,194852,195103,181943,195282,208899,217837,223553,230952,246019,260384,269478,275611,303907,318956,333417,353641,359612,359471,360980,342979
Hawaii,7275,7469,7981,8400,9343,9836,9863,10167,10724,11041,11385,11503,12709,12928,12803,12993,12771,12265,11540,10579
Idaho,21586,22280,20534,21940,22613,23563,24969,26649,28797,30681,31748,33976,38370,39726,40239,42605,43307,41461,40623,38995
Illinois,304902,313363,280931,289938,295849,312628,319824,326001,335299,343076,342689,340171,358780,353192,348863,349475,343089,322101,311428,297888
Indiana,122151,124306,117562,122031,126416,131379,138088,145882,153982,161822,170377,174852,194099,200225,200612,201663,198753,189608,187341,180788
Iowa,38867,38775,38800,37835,39064,41874,43591,46274,49057,51304,53871,54441,59587,59724,60544,62813,63307,61720,59867,58614
Kansas,46147,44989,42071,43147,44584,46628,47362,49245,51145,53754,56034,56580,62978,66386,68964,73610,74518,71809,69105,68687
Kentucky,156281,166327,150018,168783,177227,182355,189143,194947,202818,211954,221534,224790,240679,239232,233162,234363,228533,219439,210276,202775
Louisiana,233330,238414,202034,204036,209135,216964,221073,233881,215481,223871,240215,247648,271685,282254,286644,297044,293627,284670,270104,262727
Maine,18190,19531,19867,20284,21501,22152,22543,23546,24121,25509,26849,26726,29047,29437,29975,31479,32123,31568,31420,30056
Maryland,90388,93568,89741,95535,98651,100496,100666,103517,106143,111168,114864,116398,125097,128419,131788,140514,144395,142742,146615,144465
Massachusetts,98078,98084,96125,100167,100942,105091,107056,110984,117013,125659,134043,165812,181227,190693,195106,180478,183042,179520,177604,166719
Michigan,272816,276900,245892,252133,255138,261326,266130,275241,284065,296061,298918,297476,325352,328983,330610,342248,342303,326846,311830,295304
Minnesota,69572,68458,61510,60972,63316,65326,68721,72524,76793,82181,87891,89001,95808,98845,99214,104217,105951,102589,102325,97638
Mississippi,151316,154818,130424,137524,147033,153176,157707,163471,168255,172883,173803,172006,188264,188871,187274,190417,189760,181370,173613,163886
Missouri,127988,124860,114035,120161,126710,132666,134495,139412,145710,152487,158026,158823,170848,177227,180044,185068,185631,180351,167206,158378
Montana,14304,14491,12406,12817,13290,13306,12738,13563,14168,15406,16415,16551,18840,19531,19494,20126,20284,18667,19065,18326
Nebraska,25812,25697,22359,23576,23657,24539,24199,23839,24774,25519,26719,26882,29938,30325,31129,32192,31736,30318,29429,28871
Nevada,24152,25204,25015,27169,30620,34777,37541,40388,42127,44762,47641,49225,55799,59829,63757,68398,73327,75858,79892,82269
New Hampshire,11654,11498,10634,10634,11317,11876,11654,11531,12409,13593,14529,15205,16740,17696,17735,19061,18908,17995,18103,16858
New Jersey,133780,133604,123007,129038,134994,135899,137715,141077,147618,153426,156549,158242,172080,175753,181147,190536,191439,185880,186168,180444
New Mexico,42172,41223,38690,40176,41959,43952,46361,49482,53998,58822,61393,63692,70231,71136,71316,74468,75632,72086,70329,66386
New York,460128,459691,409192,429077,440221,447808,444246,457782,478693,492031,503071,512398,561431,584480,591768,624710,632746,619644,690552,679799
North Carolina,200647,209426,198834,206059,216127,225859,236398,249774,265750,278504,291094,293168,315035,317579,321177,336121,337785,330700,328970,310242
North Dakota,7305,7161,5972,6034,6297,6434,6463,6415,6573,6795,7145,6968,7735,7741,7475,7641,7318,6950,6859,7035
Ohio,344160,342009,294209,300398,305701,306697,308634,311468,321534,332469,343113,346821,377020,385430,385430,404550,407154,393231,373025,355623
Oklahoma,79628,79632,72769,74601,77572,81567,85884,91820,100359,109174,114646,119138,132727,137117,139213,143383,140375,131749,130299,126364
Oregon,45279,46033,43674,46817,50230,53527,54227,57180,58659,61341,63304,64875,72456,76210,77226,82400,82685,81492,81620,80799
Pennsylvania,305578,310872,289970,310719,342686,369874,391207,420532,432168,458174,481052,490732,529723,544373,561476,595690,597326,558128,535557,508913
Rhode Island,22514,23852,24014,26808,28770,29882,30845,31968,33119,34772,34474,34050,36415,38061,36402,37464,37328,36086,34225,32410
South Carolina,116308,121531,116232,121374,125248,126455,126934,131121,134413,137669,140464,142527,154244,154862,157209,159676,159352,155807,152097,147622
South Dakota,16032,15667,13680,13665,13744,13644,13017,12756,13126,14253,14965,15175,17169,17897,18254,18964,18939,18918,18892,17931
