state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,42002,50046,54873,59130,61328,63525,69664,75803,80948,79488,86899,83039,94121,96015,93245,81288,90729,90167,94688,99678
Alaska,22306,21730,22197,23480,23261,23042,23729,24415,24384,27095,28022,31826,36819,36788,37699,35256,41332,35306,38768,35844
Arizona,83626,90483,104338,106788,114870,122951,125315,127679,135611,152532,161971,173910,169768,158354,149335,150935,162728,159946,167727,169870
Arkansas,31888,41193,46070,42457,46935,51412,55611,59810,62100,62115,64088,77654,60082,60394,64731,84831,90096,80321,86847,84946
California,636082,656129,682939,735967,816872,897776,942902,988028,1030384,1093341,1199529,1282624,1167940,1122135,1120389,1210105,1159154,1236401,1296925,1359466
Colorado,111049,110375,114203,119425,132708,145991,164360,182728,184591,191138,191115,209213,240871,248453,234589,229165,217017,243478,244793,247711
Connecticut,100827,103326,105745,105977,117590,129203,125250,121296,137109,136377,140162,152062,159600,153504,165300,152107,162595,168876,172540,174850
Delaware,20265,11234,13640,19759,20901,22042,21770,21498,22823,24033,37052,29920,39982,33539,31121,34328,31774,32750,34141,33493
District of Columbia,18769,18260,23347,25130,25891,26652,27321,27990,31066,35679,43695,41807,41025,37466,32808,34373,38067,47805,52055,51795
Florida,238198,252246,253736,274939,295983,317027,345685,374343,398695,450529,453009,498573,553516,553658,554552,519110,490071,485749,486381,497638
Georgia,66801,72133,82382,88421,97483,106545,115176,123807,125246,132015,144598,156802,171942,169865,170090,154567,145338,143637,141067,147562
Hawaii,18889,19125,0,0,10684,21367,21562,21756,24988,26308,27881,30172,29816,26336,28543,28022,28942,34070,33431,31864
Idaho,21924,23883,24632,22666,25144,27622,30581,33540,36888,40688,38527,41957,43729,44757,47183,58781,55859,56447,50821,52624
Illinois,338697,368598,348739,418241,442051,465861,503619,541376,543712,543924,607423,651269,593983,606010,610897,703073,656215,643663,658539,673569
Indiana,167123,174386,184534,183281,207648,232014,246336,260658,310868,293525,341064,384428,411995,378947,409506,378856,394161,390024,382763,380280
Iowa,65359,68093,71060,77014,81026,85037,87038,89039,90866,98142,103418,109694,109807,112721,114129,122126,126515,126269,129664,132596
Kansas,52613,53413,57114,64187,66762,69337,74798,80259,78597,81333,89847,98873,94708,93102,91465,104179,105914,105665,115100,117617
Kentucky,49211,60028,64659,47823,63878,79932,82523,85113,72148,98128,105409,109870,60614,63117,68753,128551,111001,100062,105958,107446
Louisiana,63048,68566,73761,78722,87616,96510,102108,107706,118483,127097,120074,136327,152546,152287,165750,171738,179108,157744,168934,179356
Maine,20474,20305,23391,25999,25280,24560,25729,26897,30278,31686,31504,34376,36918,37230,39832,40545,42446,37010,39532,40572
Maryland,129948,142900,157982,179081,175758,172435,179013,185591,182102,196965,218199,161839,194189,190037,216578,182364,199464,182732,193941,181957
Massachusetts,159390,173107,187138,199559,210383,221207,217875,214542,213653,234111,243763,254471,262275,254765,255682,250614,257955,270191,277213,284132
