state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,59888,70489,76319,80574,81615,83193,89522,95056,98418,93598,99620,93259,104489,105662,100570,86101,94505,92232,95728,99678
Alaska,31805,30606,30872,31995,30956,30176,30492,30616,29646,31905,32124,35743,40875,40484,40661,37344,43052,36115,39194,35844
Arizona,119237,127443,145116,145516,152869,161018,161037,160109,164878,179609,185681,195314,188470,174265,161067,159872,169501,163610,169569,169870
Arkansas,45467,58019,64076,57855,62461,67330,71463,75001,75502,73141,73470,87211,66701,66462,69816,89854,93846,82161,87801,84946
California,906952,924141,949852,1002874,1087099,1175740,1211682,1238980,1252756,1287424,1375123,1440483,1296600,1234882,1208405,1281758,1207400,1264722,1311169,1359466
Colorado,158338,155460,158837,162736,176609,191192,211211,229140,224428,225068,219092,234962,267405,273417,253018,242734,226050,249055,247481,247711
Connecticut,143763,145532,147073,144411,156490,169206,160953,152104,166699,160586,160680,170777,177182,168927,178286,161114,169362,172744,174435,174850
Delaware,28895,15823,18971,26925,27815,28867,27976,26958,27749,28299,42476,33602,44386,36909,33566,36361,33096,33500,34516,33493
District of Columbia,26762,25719,32472,34244,34456,34904,35109,35099,37770,42013,50091,46952,45544,41230,35385,36408,39651,48900,52627,51795
Florida,339633,355282,352903,374649,393897,415183,444225,469424,484739,530504,519323,559935,614491,609287,598117,549848,510468,496876,491723,497638
Georgia,95248,101598,114579,120488,129731,139533,148008,155253,152276,155449,165765,176100,190883,186932,183452,163719,151387,146927,142616,147562
Hawaii,26933,26937,0,0,14218,27983,27708,27282,30381,30978,31962,33885,33101,28982,30785,29681,30147,34850,33798,31864
Idaho,31260,33639,34259,30886,33462,36174,39298,42059,44849,47911,44167,47121,48546,49254,50890,62262,58184,57740,51379,52624
Illinois,482928,519161,485036,569921,588285,610098,647178,678882,661053,640478,696341,731424,659416,666899,658888,744703,683528,658407,665772,673569
Indiana,238291,245618,256655,249750,276339,303849,316556,326863,377958,345630,390991,431742,457380,417022,441676,401289,410567,398958,386967,380280
Iowa,93192,95907,98832,104944,107829,111366,111849,111654,110476,115564,118557,123195,121903,124047,123095,129357,131781,129161,131088,132596
Kansas,75018,75231,79436,87465,88847,90805,96120,100644,95559,95771,102999,111042,105141,102457,98650,110348,110322,108085,116364,117617
Kentucky,70167,84548,89930,65167,85009,104680,106046,106731,87719,115547,120839,123392,67291,69459,74154,136163,115621,102354,107122,107446
Louisiana,89896,96574,102589,107271,116600,126391,131215,135063,144053,149658,137651,153106,169350,167588,178771,181907,186563,161357,170789,179356
Maine,29193,28599,32533,35428,33642,32164,33063,33729,36812,37311,36116,38607,40985,40971,42961,42946,44213,37858,39966,40572
Maryland,185285,201271,219726,244027,233900,225823,230042,232730,221402,231929,250140,181757,215581,209131,233592,193162,207766,186918,196071,181957
Massachusetts,227265,243817,260277,271931,279979,289696,279981,269034,259762,275669,279446,285790,291167,280363,275768,265453,268691,276380,280258,284132
Michigan,310209,304628,316882,352076,359316,368816,383098,394523,375903,398428,454135,459987,318547,314870,292338,379052,344986,338131,331603,337694
Minnesota,163645,167740,171304,174983,188333,202495,211326,218540,179763,205805,219470,221559,244857,229109,232168,238858,212179,207248,212090,219564
Mississippi,65252,59132,60191,55637,53603,52027,54501,56549,53599,50499,52853,51485,49611,49178,48918,57281,49021,47232,47714,45711
Missouri,138264,192095,206815,153986,169656,185917,212546,236797,323170,227377,229417,231084,391542,223638,210088,232205,223478,213988,209956,213676
Montana,18000,18665,21161,20603,21922,23344,23212,22949,25301,29242,28637,28641,27716,29431,29450,31006,30000,27464,27416,27218
Nebraska,37239,37526,40082,38818,36214,33967,33162,32195,35030,35887,44357,42360,39206,49370,52256,54637,48729,51669,54561,57613
Nevada,56438,62948,63986,66280,76010,85900,101553,115945,121970,107958,96223,137500,97465,87652,89561,105634,99329,100300,99265,98643
New Hampshire,25977,24930,28836,31383,31721,32270,34221,35888,36501,37955,38194,39694,40965,41898,42246,53183,53238,52732,52399,52629
New Jersey,313292,301962,308212,311294,317909,326516,360823,391553,401690,419585,444519,458660,496197,495249,478801,457482,438256,425527,418789,405222
New Mexico,34722,37047,38089,37739,35592,33780,35426,36793,37539,39828,46603,47401,37754,35588,34957,39108,39066,39176,38556,41614
New York,803169,836006,860510,993751,934589,884345,906277,921954,1032860,1003779,949904,922664,855967,832267,809913,1008368,961400,862828,891359,933092
North Carolina,159680,171042,186420,190860,192942,196309,197990,198437,201947,211982,220036,230013,238788,234889,224644,226893,225881,238602,245056,251544
North Dakota,10982,10865,13301,11183,11724,12327,12047,11709,11883,12672,13240,12863,12065,12597,12859,14181,14757,12688,12873,15222
Ohio,370033,387686,413495,446807,449166,454613,504496,549298,515325,538169,465938,469642,413936,414776,397360,439578,465331,374693,392121,385724
Oklahoma,75210,86261,66906,77510,80681,84300,87266,89593,88717,88829,92333,99848,74037,77538,81701,93144,86323,115930,119662,124480
Oregon,128471,128673,125814,142596,147021,152315,153310,153363,167015,151128,187879,176990,151647,160027,158516,188675,191773,201837,206164,210979
Pennsylvania,182131,186209,200975,200870,213711,227565,234396,239560,226520,221865,259972,257346,254484,244449,207096,216687,210924,195551,210654,211802
