state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,3948629,4132917,4762114,4967872,5114006,5287839,5637063,6181524,6150539,6014880,5688311,6756724,7367026,7537385,7701711,8257455,8467586,8729115,9464564
Alaska,,308136,309069,342586,411851,483063,552250,660005,707984,772791,845750,846395,888330,1040078,1155886,1235546,1245082,1229225,1310999,1455623
Arizona,,1264754,779022,1499649,1863540,1956887,1991897,1977877,2776402,2202817,2246155,3575770,3778839,4637055,5495987,5111151,4828213,5227033,5547532,7951118
Arkansas,,1573660,1693391,1686279,1795828,1862403,2071343,2166189,2383197,2479001,2689817,2731091,2820737,3030581,3188835,3748160,3619437,3872146,4416622,4780826
California,,16129534,17664096,19239760,21355938,23245702,25191428,28309848,32292840,30643784,31304212,33578616,36866600,36204912,47685592,45271680,48044656,55533304,83666088,78671320
Colorado,,1617554,1586397,1840407,1991970,2171727,2393202,2662612,2727788,2971430,3349668,3592529,3875034,3760119,4365166,4925028,5079800,6050166,6358022,7114706
Connecticut,,2717220,2733195,2936422,3304745,3378002,3393069,3374543,3519152,3769955,3766462,4485166,4516885,4325455,4902615,5073382,5736814,5534641,6171730,6326805
Delaware,,224504,229113,258330,288906,348384,451963,590525,623519,661734,681864,786825,811023,922413,1014677,1127968,1176888,1280562,1416228,1552509
District of Columbia,,974076,885703,982440,887416,814872,935154,1060434,1015711,1090183,1061069,1329966,1484240,1695979,1940083,2009535,2177172,2319470,2499239,2629563
Florida,,8359886,8740448,9292258,10145271,11042957,12699228,14371274,15621901,16415033,16703756,17796384,18526928,20032868,21105088,21693718,21612160,22872308,24824856,24354066
Georgia,,5451808,5208895,5338592,6533039,7552371,7923212,8340582,8276822,7924450,9120879,9485497,8757818,9848562,10066978,10543189,10646003,10776400,11341170,11063646
Hawaii,,671838,613255,711413,742605,746921,865059,977006,1044909,1081194,1195550,1254632,1349523,1604931,1796203,1850629,1952248,2426984,2375911,2376008
Idaho,,688864,757408,781656,867546,969501,1075485,1156632,1339628,1438920,1486773,1638243,1746052,1802683,2057173,1689860,1791095,1871143,1988340,2033083
Illinois,,4228275,4752038,5239935,5448970,5690865,6535436,7082818,8543420,8773646,8267704,10456074,10795064,9820414,11068106,10340988,11792037,11267842,14407734,14482560
Indiana,,3579754,3865702,4003148,4316347,4633650,5042606,5238771,5866650,6023683,6587087,7545708,7250660,7517175,7695065,8022889,10465314,10458166,11892498,13031363
Iowa,,2082247,2222543,2352447,2559406,2552108,3019277,3352180,3475681,3796309,4075883,4452897,5012326,5183723,5320174,5952524,6093062,6497651,7155783,7440843
Kansas,,1188349,1225699,1172132,1340732,1537338,1585407,1590785,2250889,2295131,2881497,3205825,3476152,3598223,3724230,3820732,3464077,4116390,4240366,4474337
