state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,,5561546,5748182,6489148,6611284,6697375,6795170,7068838,7515585,7242345,6895373,6388402,7501044,8107234,8129508,8157744,8601141,8661545,8824983,9464564
Alaska,,434001,429863,466828,548095,632627,709672,827642,860777,909972,969556,950566,986188,1144581,1246690,1308705,1296904,1257382,1325398,1455623
Arizona,,1781374,1083487,2043513,2480014,2562767,2559699,2480244,3375589,2593848,2574961,4015859,4195116,5102967,5927742,5413792,5029170,5346764,5608459,7951118
Arkansas,,2216460,2355218,2297827,2389902,2439030,2661792,2716386,2897525,2919058,3083568,3067221,3131470,3335081,3439344,3970096,3770082,3960842,4465128,4780826
California,,22718046,24567744,26217272,28420652,30442902,32372400,35500352,39262096,36083480,35886704,37711316,40927824,39842628,51431688,47952304,50044336,56805356,84584960,78671320
Colorado,,2278285,2206408,2507851,2650929,2844124,3075399,3338897,3316483,3498899,3840012,4034680,4301908,4137920,4708085,5216648,5291228,6188751,6427850,7114706
Connecticut,,3827136,3801408,4001348,4397981,4423879,4360284,4231654,4278635,4439175,4317818,5037179,5014465,4760058,5287756,5373786,5975587,5661418,6239512,6326805
Delaware,,316208,318657,352017,384479,456249,580798,740514,758084,779201,781679,883664,900365,1015094,1094388,1194757,1225872,1309894,1431782,1552509
District of Columbia,,1371962,1231862,1338732,1180980,1067168,1201726,1329776,1234915,1283706,1216395,1493652,1647743,1866384,2092492,2128523,2267788,2372600,2526687,2629563
Florida,,11774690,12156472,12662199,13501407,14462014,16319221,18021476,18993330,19328928,19148948,19986680,20567854,22045686,22763066,22978244,22511686,23396224,25097498,24354066
Georgia,,7678735,7244684,7274692,8694220,9890693,10181772,10459031,10063078,9331149,10456046,10652928,9722579,10838104,10857822,11167471,11089104,11023245,11465726,11063646
Hawaii,,946267,852933,969415,988265,978178,1111650,1225159,1270416,1273121,1370562,1409047,1498186,1766188,1937310,1960208,2033503,2482577,2402004,2376008
Idaho,,970248,1053425,1065132,1154537,1269673,1382058,1450408,1628739,1694348,1704415,1839870,1938397,1983809,2218781,1789920,1865643,1914004,2010177,2033083
Illinois,,5955419,6609274,7140256,7251532,7452838,8398402,8881804,10387212,10331089,9477978,11742959,11984248,10807128,11937597,10953298,12282837,11525944,14565968,14482560
Indiana,,5041994,5376531,5454934,5744229,6068294,6480031,6569382,7132757,7092970,7551343,8474398,8049393,8272469,8299576,8497940,10900894,10697722,12023109,13031363
Iowa,,2932792,3091179,3205587,3406077,3342276,3879940,4203610,4225783,4470206,4672534,5000939,5564484,5704561,5738118,6304985,6346664,6646487,7234372,7440843
Kansas,,1673760,1704738,1597219,1784256,2013319,2037337,1994834,2736663,2702548,3303307,3600383,3859085,3959758,4016799,4046965,3608257,4210680,4286936,4474337
Kentucky,,3439565,3593752,3842361,4167583,4396596,4743156,4880740,5009956,5111964,5024693,5289643,5609537,5589217,5680127,5668442,5367216,6364253,8443936,9049931
Louisiana,,5146879,5406238,5898250,5530174,5117033,5982639,6197479,6601791,6520981,7102562,7708405,7988376,8134075,8144932,7629468,8619511,8943823,7854989,8147072
Maine,,1130405,989669,1059060,1077524,1131452,1239700,1403999,1176172,1603759,1571523,1466909,1799740,2025771,1962693,2049665,1940639,2475274,1917926,1950688
Maryland,,2504609,2529331,2790063,3107406,3398458,3636397,3932505,4228651,4424803,4498560,4554396,5067323,5200828,5401973,5971602,5861725,6192255,7586641,7329224
Massachusetts,,5689318,5597083,5897650,5466020,4789906,7224701,8548426,8719440,8918496,9517630,9537865,9791365,10615895,11038186,11387347,11103265,11780698,13980753,14498049
Michigan,,6118084,5688396,6918186,7577513,8460651,8404452,8030205,8454140,7779077,8913808,9633377,9675522,9636354,10164129,9967779,10398971,10443006,13161392,13389940
Minnesota,,4604224,4733074,5095028,5601838,5931840,6520076,6895518,7684309,7594658,7754061,8080068,8874768,9264699,9076351,10541498,9297447,9518207,10083590,11599070
Mississippi,,3432124,3899496,4304125,4527325,4790856,5225565,5639449,5912614,5380983,5658355,5678690,6379456,6285205,6430235,6433453,6710362,6547542,6884935,7312328
Missouri,,3909358,4397851,4434566,5071061,5837175,6033573,6097361,6617339,5930835,5436041,5828822,6478797,6955960,7780264,8427281,7930850,8042748,8539671,8754450
Montana,,405000,412143,421566,422751,422215,516275,518469,539673,554047,695897,729782,819126,833062,888057,839191,848091,845131,918901,1294053
Nebraska,,1275898,1206925,1403097,1465930,1548836,1627458,1692609,1714143,1583716,1770400,1819944,1877507,1922921,1697994,1897040,1842742,1971030,2009381,1791892
Nevada,,1148275,1196835,1273090,1405576,1519010,1480218,1531210,1728337,1729335,1927898,1838862,2064441,1908515,2022437,2129459,2000034,1962921,2993846,3212513
New Hampshire,,766476,720327,881135,748638,620557,919418,1099767,1172816,932828,889120,948681,974415,1084436,1050291,955158,878792,950097,1156133,1520698
New Jersey,,5244483,5053238,5219398,5448608,5741491,7700558,9890610,11036795,10638438,9952254,10372360,10392763,10652247,9881719,10912791,10502003,11316961,13029483,13396093
New Mexico,,1318558,1536271,1572940,1713685,1880193,2053964,2247858,2824622,2462132,2878011,3112888,2751059,2971168,3127606,2978859,2909426,2765394,4181623,4058218
New York,,28294982,28769450,30104970,31449222,31846466,35838804,40274748,41491112,40941088,41060768,39872944,41706976,45369396,46207720,46936416,53019036,48090712,52321616,57263100
North Carolina,,7593637,7599336,8635183,9302671,9912928,9578945,9094909,10015664,9596079,9716917,10720913,11477134,12448915,13177682,14691585,14935479,14346978,14884820,15686386
North Dakota,,384700,428099,454178,484854,498599,493369,483029,499810,485131,431532,455738,472448,564112,616244,595147,600281,764150,917267,563247
Ohio,,8633607,9105791,9911482,10786294,11725656,12946903,13731296,14287678,15433597,14661733,13798868,14193668,14922555,16340494,16527347,16263988,16957190,20766966,22353300
