state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,306912,322766,279668,294472,339265,384715,387170,387247,418266,432984,408896,435360,402588,368966,388089,377626,396905,384391,380367,330073
Alaska,62215,66367,63640,65410,67785,70548,71100,71211,72572,76933,76176,104060,102752,104676,103752,87120,71092,71316,96759,91864
Arizona,396552,415951,440872,449121,527814,607180,579950,550470,551486,601906,673455,699572,713563,653460,560856,544575,546135,578319,579261,618931
Arkansas,114646,116943,133389,141534,150221,159633,162977,165222,142553,137312,159908,160516,164116,189124,181607,183045,184934,194655,197178,197134
California,3100729,3171197,3316134,3510952,3832352,4168365,4149962,4107966,4378601,4904594,4885863,5056053,5041926,4991698,4782468,4705107,4771804,4554881,4850193,5072765
Colorado,569505,595806,650106,748555,817680,889901,898467,901392,896212,906531,936580,961917,1024480,1012848,1002743,993461,1000012,924577,971589,986675
Connecticut,205756,200194,217143,230055,278179,326399,316729,305609,263786,258650,257799,284418,264788,246445,244772,265896,258624,240995,259371,244496
Delaware,49115,45315,46370,51220,64179,77088,69789,62391,65552,75034,78932,73135,64673,62899,60959,58520,59100,62635,65472,69497
District of Columbia,80828,84645,61852,69475,77524,85807,89154,91835,115692,120289,121453,163884,150021,144520,154048,149285,154572,176939,160487,188716
Florida,1416716,1431433,1437838,1510428,1621126,1738988,1859809,1964574,2041374,2116688,2493780,2645251,2399967,2378275,2269848,2197481,2165935,2343497,2390290,2489806
Georgia,524138,547601,499203,540283,563933,590653,593366,592479,651505,690063,773331,747150,762566,729045,719769,670758,643913,630940,651120,682435
Hawaii,159075,159804,150313,170976,175392,180877,184988,187838,200037,199643,218463,229801,248570,238716,224657,224461,228685,240748,242888,204863
Idaho,77118,84087,83160,97899,98297,99376,101002,101966,107243,112488,106700,118998,112167,106633,112082,122268,122656,122683,124843,129127
Illinois,1703748,1916811,1938749,2085103,2119465,2167490,2197451,2213233,2177730,2242622,2433739,2416937,2480425,2423844,2331922,2246284,2135036,2073046,2161699,2161383
Indiana,332784,334428,405391,402418,410881,421922,432245,439590,413664,417953,436394,456859,545751,416034,403429,371941,330497,393685,413510,444181
