state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,120833,127968,130867,149034,195816,230182,244700,238487,222978,216748,241438,313104,532957,616231,561240,512995,497296,486065,456819,434938
Alaska,7575,10353,9606,10150,11816,13623,14666,15576,14857,15033,17332,20577,32952,46038,43390,43420,42691,41388,37283,35029
Arizona,120450,114779,113075,124760,156776,191133,217612,230455,213968,204635,234017,309184,564857,727634,694184,649707,627924,609561,566614,530849
Arkansas,65904,74958,78972,89116,117508,140113,151793,156089,151282,151490,171273,206850,331713,381099,361569,340531,327930,313789,288764,273421
California,775292,920655,926030,1008975,1237130,1383626,1477658,1527934,1488876,1484194,1722352,2207384,3444820,4201604,4071350,3986987,4104071,4124755,3938815,3726363
Colorado,79004,87992,84243,92190,115346,141556,164211,174713,166771,162602,180614,222761,388616,486285,457547,442905,419716,394743,357072,337515
Connecticut,36453,42776,41663,47779,60507,72395,80754,85784,88116,91551,108002,134878,217675,264997,258767,259889,265763,268470,256423,247650
Delaware,9965,11057,10798,11936,15808,19455,21219,21969,20460,22057,26308,33642,57254,69337,70500,68161,68251,68466,64761,61801
District of Columbia,18972,11746,11320,13031,16527,19401,21734,23119,22425,22175,25334,31625,47977,53506,50532,49182,49329,48690,44791,40406
Florida,318611,377310,374467,431699,568426,675107,740927,749531,706194,710127,846690,1144627,2040695,2438790,2266457,2146944,2135114,2068364,1937561,1824429
Georgia,152764,166705,165197,185367,246234,296079,333652,354730,354898,380456,461240,631815,1117616,1360755,1313672,1232842,1212107,1176265,1101167,1025527
Hawaii,16001,23509,25072,27462,33290,36658,37795,36582,32527,31292,36456,45566,78274,99679,99915,100826,98975,94836,86640,79730
Idaho,34693,40463,41265,46544,59728,73139,80897,82752,76084,71387,78854,98177,174025,219569,208903,202638,185055,171506,153283,139799
Illinois,221042,273270,265180,289074,361050,424893,465982,484634,480010,482954,556918,683612,1104773,1318453,1252285,1191547,1168460,1116883,1027477,959057
Indiana,110813,120000,117438,131625,172033,207999,227367,236833,234486,246841,287255,366007,641747,789524,728027,671194,629297,591489,521938,466928
Iowa,70263,75155,72664,82133,104134,123817,134509,136216,125999,126043,142917,163923,281288,326986,285139,263504,245073,229032,206100,193784
Kansas,60931,64224,61922,69817,87676,104807,118193,120522,115668,114348,123756,145622,239394,285252,276672,267251,253525,240593,216371,199486
Kentucky,103264,111497,110830,119401,151707,179662,197207,202855,195976,201888,233974,284337,464185,550106,497540,467909,441488,427715,383194,353975
Louisiana,140856,157584,156456,170631,210123,238420,258453,269638,241096,232002,243948,281471,443771,520378,496789,466871,461974,464447,444976,437873
Maine,24058,33157,32666,34517,41104,47276,50472,52487,50043,52408,58730,69478,108598,127729,123391,120355,117653,111443,103367,93525
Maryland,85096,101483,99405,109901,137444,157158,171461,179598,173945,175348,204010,263755,424082,501988,494129,471928,468313,462790,432641,407081
Massachusetts,115525,116920,109923,116093,138373,158730,173066,179658,172466,179318,211857,260296,421739,491280,484041,486766,492598,485076,456344,423618
Michigan,169972,198661,192764,215556,283525,344539,382187,407573,406118,441570,538051,688379,1171501,1341941,1212634,1113090,1038518,961218,851305,760241
Minnesota,93004,102908,97157,110441,138546,163778,175843,179848,171146,180532,216550,268178,443700,533588,495345,483854,457554,428438,388523,358300
Mississippi,96534,108819,112594,129013,169922,198969,215376,220489,209096,212790,240235,298913,484760,540586,495488,441239,424014,407638,378655,360976
Missouri,117569,124651,125471,136807,171997,202418,224366,237562,235810,240300,284288,347967,593359,706124,654410,615331,586975,550782,495160,447244
Montana,27873,35556,34464,36967,44421,50073,53206,52701,49072,45815,48358,55790,87660,104704,99242,92023,85469,78909,70996,66767
Nebraska,38364,41807,40679,45004,55730,66566,72764,73191,67960,68328,77327,90826,150272,178309,166021,158720,150759,145545,130871,123744
Nevada,16272,23272,24360,26308,38746,43303,51102,51352,47092,46211,56482,83957,163386,210607,203817,197250,201915,206236,191818,176597
