state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,774796,788014,830366,837492,906590,975687,1019578,1063469,768279,794961,874026,1006837,905316,910886,916223,903227,892440,822953,843881,803639
Alaska,155597,162356,161191,156950,157743,158535,150060,141585,169145,159430,167025,184810,214300,186314,243425,236285,280251,260367,277095,265330
Arizona,520011,552899,631360,911551,962471,1013390,1171009,1328627,1425679,1503409,1607851,1779985,1898110,2092533,1950260,2139553,2104153,2237747,2632180,2847428
Arkansas,291270,301099,322073,308573,298414,288255,316740,345224,239401,251076,267528,280242,246050,295851,323116,334190,343234,351968,338512,353822
California,7045512,7398822,7917654,8770679,9199514,9628349,10380338,11132328,10631777,11261338,12370522,13516842,13001648,11779426,11945317,13013536,13465174,15756790,17937008,19978300
Colorado,343166,386424,398016,466956,709511,952065,962573,973080,978294,927085,918237,986022,1280688,1410344,1437317,1212533,1266704,1311992,832684,850181
Connecticut,339137,403348,375921,427246,456742,486238,580136,674033,620343,640634,675339,748230,805304,729086,771344,764782,797069,847925,886928,960754
Delaware,159350,177132,198899,213026,233446,253866,268217,282567,302160,331112,371612,408029,406551,407264,399029,441705,461177,463282,460730,474486
District of Columbia,142679,145494,242194,261496,318812,376128,411157,446185,465360,486658,333628,440511,508549,438376,389729,441521,442566,392287,461101,445790
Florida,2078936,2224482,2677534,3004254,3022396,3040538,3239753,3438967,3606600,3799305,3995918,4361785,4615600,4645091,4757392,4812459,4759260,5025810,4882916,4816465
Georgia,942853,877158,922413,1025255,1168981,1312707,1452232,1591757,1467647,1846958,1929590,2249665,2002756,1829617,1920631,1991563,2053206,2083955,2309463,2211707
Hawaii,267518,271112,357599,383668,401996,420324,420405,420486,446610,510070,641220,722591,693800,566468,629714,498639,498442,524693,541014,523733
Idaho,120495,121393,132663,137031,146189,155347,163060,170772,189271,208257,198400,201061,206297,237522,211109,219555,259164,257784,254699,245960
Illinois,1977228,2111881,2290824,2402208,2690024,2977840,3034854,3091868,3027554,2575471,2756240,3005252,3104005,3039321,3010146,3125008,2878490,2816243,3064531,2524143
Indiana,448973,478068,499703,554963,598413,641862,675804,709745,743052,725429,746637,793647,799595,758159,761540,717822,651676,680640,756552,773577
Iowa,304601,319264,343540,361751,393906,426060,396922,367783,384449,435417,470905,505218,533058,531411,537650,589786,431774,424305,434303,436828
Kansas,370403,358561,399812,398936,498499,598062,532171,466280,378342,389595,371100,461112,464795,461964,560971,639098,585735,585345,359038,402607
Kentucky,361989,450517,492189,535577,626262,716947,642035,567123,543387,631788,640645,775520,924920,963649,977600,969269,941728,882190,937780,809244
Louisiana,459861,435564,449318,539534,535863,532191,565654,599116,681646,697905,729359,797180,857482,835616,791399,737657,724380,688707,731166,692039
Maine,216723,268659,291436,292597,337263,381929,421082,460234,508238,493232,566043,602207,579842,501508,472521,534263,514670,490585,470325,255090
Maryland,750112,690346,835623,896342,977733,1059123,1184938,1310752,1367677,1520803,1610413,1703214,1800237,1633535,1604376,1736067,1745901,1726096,1739058,1848265
Massachusetts,1377274,1449643,1432332,1547050,1758325,1969599,1368708,767817,966114,1006555,1031539,1150826,1140245,1138247,1201955,1209663,1245629,1297665,1575173,1954389
Michigan,2156790,2247805,2298210,2462808,2850540,3238271,3750435,4262598,3445960,3453632,3257541,3552397,3891501,4097936,4134913,4372582,4499095,4344549,4149655,4339142
Minnesota,653906,692985,652337,700166,736019,771871,765553,759235,846442,898514,966777,1078441,1240308,1130447,1147613,949738,995469,1081948,1099589,1149841
Mississippi,259564,250682,259690,284381,271519,258656,271903,285150,343587,346447,387944,398246,427110,443989,439415,445686,438612,401404,352349,399349
Missouri,728972,752677,790805,757855,718572,679289,809346,939403,986386,1357083,1400207,1497276,1536812,1631769,1674253,1867867,1931794,1965108,2067944,2159646
Montana,176839,212809,221613,244010,266008,288006,278029,268051,314365,356215,204420,221571,216725,248845,252584,262706,272130,261756,279310,347285
Nebraska,111435,104142,127098,117966,127379,136792,158368,179943,263994,408070,412171,414962,392093,431895,453365,442847,466095,474425,530949,568514
Nevada,129738,165011,168538,166690,209134,251578,279843,308108,334226,336766,364087,384082,367457,342811,358693,359728,380013,475393,351395,356541
New Hampshire,103711,107487,111583,116564,125693,134822,129844,124866,126055,123779,137766,149368,129184,120432,118777,117181,152818,127327,131991,169960
New Jersey,945632,1033358,917222,1012360,1122954,1233547,1331171,1428795,1379062,1144592,1575576,1590230,1614627,1653911,1533697,1542377,1552484,1632587,1585360,1645196
New Mexico,292415,291903,295787,324093,344360,364627,322735,280843,363750,388060,490060,546718,550199,609940,572174,540453,549057,561773,563466,533202
New York,2294442,2525854,2899442,2913636,3117002,3320368,3438415,3556462,4244385,4589657,4876218,5037872,6221618,6201969,5911940,5910797,6279143,6400684,6356872,6429222
