state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,276733,280825,290756,304023,320764,332691,346640,363702,384584,407209,416008,438388,440880,447366,470037,482204,492432,494841,488214,484469
Alaska,30713,32511,33237,36517,38967,39127,39483,40500,44785,45247,46345,47619,48193,48251,52485,53256,53698,54061,53924,54980
Arizona,201307,210335,220974,235686,247844,262791,278812,294109,317314,345171,355562,373948,377939,382212,400186,412564,421722,426164,425128,426050
Arkansas,158876,157441,161105,167583,170669,176516,184597,193507,208823,231292,238983,254746,258408,263932,277896,284075,286298,287124,282731,278216
California,1176635,1205308,1249662,1316997,1371306,1426767,1494378,1567176,1644596,1703913,1733336,1817634,1818707,1820126,1896555,1920398,1929157,1929949,1894097,1862781
Colorado,156353,156521,165818,170887,178799,189613,195388,206116,219484,221536,230500,246359,248785,252941,267763,275969,283337,285966,285748,285497
Connecticut,134440,137182,141280,150334,158328,166184,174862,181172,192931,197757,202056,210691,208514,208294,213835,216046,216569,215168,210198,207289
Delaware,36128,38449,39632,42039,45437,47147,50114,54836,57034,58157,59893,62136,62751,63014,64653,65162,65479,65507,64635,64185
District of Columbia,23374,22763,22374,22747,22856,22675,22727,23467,25599,29383,29443,29947,29514,28744,28769,28871,28273,27758,26597,26012
Florida,725088,752050,781217,835465,886506,918423,972716,1009502,1056401,1080494,1094471,1144748,1157858,1179306,1242400,1274772,1296055,1318966,1322517,1321106
Georgia,400436,406215,420051,437365,456355,471721,495495,519931,553478,585768,605131,642220,651719,658473,690930,713058,731064,741731,737117,733426
Hawaii,48279,49872,52853,54384,56782,58330,59533,60957,65043,69721,71424,75090,76374,77895,80768,82810,84714,84536,84319,81978
Idaho,51182,50858,54096,56397,60787,64364,68386,71966,79332,84193,86517,91205,93212,95539,99549,102374,105529,107640,109180,109070
Illinois,519826,529647,546036,577349,594744,622739,643000,675983,702713,717055,721754,752726,744958,743866,760293,765056,761026,754568,734082,720934
Indiana,274671,286062,293661,307249,312156,325968,338831,348610,366874,401072,413238,438179,443509,454109,475628,486864,491984,496171,494068,489510
Iowa,105638,106293,109455,115688,118840,121273,128511,133807,138275,147277,151403,158712,157881,158822,165160,168271,171974,171679,171010,170218
Kansas,106730,108372,113264,118536,124939,127673,130728,136335,145336,153581,156999,165533,168626,172009,181008,184928,187370,187225,184462,185261
Kentucky,220881,224456,231177,239403,245333,255938,272028,287828,305543,313399,324443,348003,354606,362675,382028,391642,395319,396799,393018,389865
Louisiana,283113,283185,289577,295282,306540,312993,315056,325755,322495,338423,350534,370255,373090,377150,390993,396478,400872,403788,398434,393643
Maine,53367,54798,55655,60962,63975,68491,69995,73781,75792,82616,84579,89739,88699,88423,92414,95066,95739,94983,93808,92925
Maryland,233309,240875,244685,259396,279704,293036,304542,313688,326989,330827,332795,348164,346269,345953,360395,365445,369648,370796,368530,364925
Massachusetts,235233,244732,256376,272412,283392,300288,309726,323586,339064,352194,361158,377648,380387,382380,399059,407568,413848,418478,411700,403976
Michigan,486665,493599,510146,531942,556601,577599,596289,623573,651228,685649,696137,724414,727873,737311,772761,786914,790633,786655,768518,750967
Minnesota,160040,163306,168899,178218,184685,191675,200492,206867,220081,233742,239513,249843,250914,253917,266750,271796,276259,279160,275707,271829
Mississippi,201242,204593,215796,225433,235043,240433,245831,256499,273280,273439,278983,292156,291000,291152,301824,306771,310639,310798,306087,299937
Missouri,281970,102832,301338,311248,325362,336069,352321,362848,387176,396400,404287,422680,423634,426908,442969,452248,457398,457102,449890,443167
Montana,42722,43721,44302,46333,46914,49865,51114,50638,53103,55570,56915,59786,60930,61138,64306,65838,67838,67870,68615,68787
Nebraska,59608,63759,67193,68989,74255,75525,77772,80930,86330,86377,87396,91388,91763,91818,96894,98079,98777,100371,99902,100756
Nevada,74951,76714,80047,92428,98059,105385,117184,123846,132179,139609,144671,154090,154803,157542,165995,171678,174487,179626,180237,180485
New Hampshire,51883,53140,55818,58330,64265,68870,74128,78406,84838,82250,86016,91465,90901,92625,98745,101304,101406,101443,101728,100157
New Jersey,354676,358311,379389,399747,423580,436198,454014,475036,499659,506914,514865,541096,541780,547264,570740,576911,583037,582990,573448,560187
New Mexico,93502,95397,98520,104981,107002,106465,108668,111091,116010,125457,128625,136104,137031,139133,145625,150896,153429,155568,155254,154491
New York,806536,811970,833275,868122,918238,935809,967474,989258,1028440,1080801,1092693,1142414,1138743,1138557,1176807,1186362,1185062,1174813,1145397,1123040
North Carolina,370877,381564,400354,419569,447039,465618,490006,513963,550742,573353,592395,626712,634048,642797,670785,687346,695061,700256,694538,687490
North Dakota,21334,23025,23085,22675,20815,21903,22757,24655,27874,27928,28871,29972,30413,30829,32458,33823,35023,35382,36639,36987
Ohio,474286,472074,484768,500075,515304,529476,545568,568094,609293,625668,639008,672591,676704,685937,720485,732856,739352,745579,739819,735563
Oklahoma,166720,172876,176983,185013,190900,198256,208118,216406,231623,237946,248278,266120,271121,277823,290887,299196,306227,310989,307998,306602
Oregon,137007,138554,143878,149131,154228,161966,168478,174426,183669,185481,189737,198930,201235,203717,214008,218976,221199,223015,222436,219344
Pennsylvania,487341,502139,524116,551602,585958,615505,646494,684535,728352,756097,772104,809102,807737,810557,842154,858321,860438,858784,844493,833398
Rhode Island,39386,40958,42299,45716,48500,49051,50727,56077,59261,58011,59588,62466,62176,62219,65381,66808,68172,68261,67736,66765
South Carolina,222613,227844,237878,246671,261274,272345,280269,291041,309424,328371,333899,353847,357156,362135,379099,388816,393816,399133,397490,391972
South Dakota,32787,33217,35572,37080,38863,38861,38467,38513,38133,39043,39596,41598,41132,41752,43212,44297,45147,46473,46730,47723
Tennessee,287841,295648,309906,325825,343669,359975,377860,391573,415309,437692,451564,476374,483935,491958,514569,527240,532568,537925,535807,533692
Texas,905195,909451,928103,978936,1008693,1045568,1090220,1147135,1223811,1293072,1339286,1434741,1463116,1489903,1560437,1605745,1636640,1661697,1661487,1665988
Utah,91657,90722,93481,96382,102800,107367,112176,112559,121716,136099,142482,152952,155799,159395,167749,174960,180826,182803,184518,186815
Vermont,24761,25937,27630,29161,30115,31885,31132,31565,33371,35543,36465,38348,38328,39002,40740,41094,41473,41378,40191,39321
Virginia,290361,299410,311338,332878,349200,361313,377329,397632,427072,445227,453873,476210,477599,479821,498503,507007,508856,513977,510399,507068
Washington,216486,223325,229997,239579,253230,262536,270310,285142,302966,315179,321516,335447,341405,347448,364794,375994,380985,385623,383765,382316
West Virginia,104608,106523,105960,109346,113319,117598,121214,126711,136992,144183,149092,157727,158502,159747,167297,170249,172335,173392,174013,172583
Wisconsin,200223,200884,206734,217839,227238,234833,237549,249814,266888,286427,294027,309808,311486,317702,328637,333252,339493,340689,337392,332880
Wyoming,22921,23174,24418,24030,25307,26401,28480,28788,31751,29132,30410,32842,33066,33009,35503,36904,37636,38500,38852,38808
