state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,394578,395535,404392,414281,426875,435697,445451,456079,467583,479494,476906,492342,489448,492315,506962,510757,512928,506175,493576,484469
Alaska,43792,45791,46227,49760,51857,51242,50737,50787,54451,53279,53130,53479,53502,53100,56609,56409,55933,55299,54516,54980
Arizona,287032,296251,307338,321160,329833,344154,358290,368811,385795,406443,407611,419972,419573,420615,431624,436993,439275,435926,429797,426050
Arkansas,226532,221752,224070,228359,227128,231167,237218,242657,253890,272349,273967,286099,286874,290450,299727,300896,298214,293701,285836,278216
California,1677694,1697646,1738066,1794621,1824945,1868514,1920359,1965228,1999523,2006381,1987072,2041340,2019056,2003004,2045545,2034108,2009451,1974157,1914899,1862781
Colorado,222935,220456,230625,232861,237947,248320,251084,258468,266852,260862,264241,276679,276191,278355,288798,292309,295130,292516,288886,285497
Connecticut,191690,193217,196496,204855,210705,217637,224708,227188,234568,232861,231634,236622,231484,229222,230634,228839,225583,220097,212506,207290
Delaware,51512,54155,55121,57285,60467,61745,64399,68764,69343,68481,68660,69783,69664,69345,69732,69021,68204,67007,65345,64185
District of Columbia,33327,32061,31118,30996,30416,29695,29206,29427,31123,34599,33754,33633,32765,31632,31029,30580,29450,28394,26889,26012
Florida,1033861,1059243,1086539,1138456,1179769,1202780,1249995,1265909,1284387,1272296,1254686,1285639,1285407,1297798,1340001,1350253,1349999,1349178,1337042,1321106
Georgia,570958,572143,584220,595980,607321,617772,636739,651990,672926,689750,693714,721262,723512,724634,745209,755279,761492,758721,745212,733426
Hawaii,68839,70244,73509,74107,75566,76390,76503,76440,79080,82097,81880,84332,84787,85722,87113,87714,88240,86472,85245,81978
Idaho,72978,71632,75238,76850,80895,84292,87880,90245,96453,99138,99182,102431,103480,105138,107369,108436,109921,110105,110379,109070
Illinois,741189,745995,759443,786731,791490,815548,826291,847678,854369,844342,827409,845369,827022,818607,820020,810356,792701,771852,742144,720934
Indiana,391637,402911,408432,418676,415420,426892,435416,437155,446051,472268,473731,492108,492367,499736,512993,515692,512461,507536,499494,489510
Iowa,150623,149711,152233,157644,158153,158821,165144,167793,168117,173420,173566,178246,175273,174780,178135,178235,179132,175612,172889,170218
Kansas,152180,152640,157530,161525,166270,167203,167993,170964,176702,180844,179981,185906,187202,189292,195227,195878,195169,191513,186488,185261
Kentucky,314941,316141,321528,326225,326491,335180,349572,360934,371484,369032,371937,390833,393669,399115,412040,414832,411772,405888,397335,389865
Louisiana,403674,398860,402752,402369,407946,409900,404865,408495,392094,398498,401847,415825,414190,415044,421709,419954,417557,413037,402810,393643
Maine,76093,77182,77407,83071,85138,89697,89948,92521,92148,97281,96960,100783,98470,97308,99674,100695,99724,97159,94839,92925
Maryland,332662,339267,340315,353469,372233,383764,391353,393362,397558,389553,381512,391014,384414,380713,388707,387083,385033,379289,372578,364925
Massachusetts,335405,344699,356575,371205,377140,393261,398015,405775,412239,414713,414027,424128,422291,420799,430408,431700,431073,428064,416221,403976
Michigan,693907,695222,709525,724857,740730,756432,766264,781956,791773,807361,798041,813572,808056,811393,833468,833509,823541,804674,776959,750967
Minnesota,228192,230012,234909,242851,245781,251020,257644,259409,267578,275234,274574,280593,278555,279429,287705,287889,287757,285554,278735,271829
Mississippi,286939,288163,300135,307189,312797,314875,315906,321648,332258,321978,319822,328114,323057,320405,325535,324935,323568,317917,309449,299937
Missouri,402044,144837,419109,424125,432995,440120,452753,455009,470734,466766,463469,474701,470301,469802,477768,479027,476435,467572,454831,443167
Montana,60914,61579,61617,63136,62434,65304,65684,63500,64563,65434,65247,67144,67642,67281,69357,69737,70662,69424,69369,68787
Nebraska,84992,89803,93454,94009,98819,98909,99942,101486,104961,101710,100190,102635,101872,101044,104506,103886,102889,102670,100999,100756
Nevada,106868,108050,111332,125949,130498,138014,150588,155302,160706,164391,165849,173055,171856,173371,179035,181844,181750,183740,182216,180485
New Hampshire,73977,74847,77634,79484,85524,90193,95258,98320,103148,96850,98608,102722,100915,101932,106502,107303,105627,103766,102845,100157
New Jersey,505712,504673,527665,544719,563703,571251,583434,595692,607493,596898,590233,607692,601462,602251,615576,611071,607304,596344,579746,560187
New Mexico,133319,134364,137025,143053,142399,139428,139645,139307,141047,147727,147453,152856,152126,153113,157065,159831,159815,159131,156959,154491
