state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,279459,187881,190809,186957,262171,337384,323499,309614,213338,200788,210549,248613,535718,1041680,952253,712100,413921,327737,223151,196704
Alaska,137851,107449,117331,112091,118324,124557,217086,309614,115089,105824,99124,109709,145628,309144,345250,350001,296771,198753,129736,132158
Arizona,211300,134958,142126,148941,261303,373664,358652,343639,246211,185399,208982,324992,730513,1882603,1593480,1050005,664539,442997,314073,278520
Arkansas,260884,174680,173942,156892,245630,334367,319256,304145,227210,216181,265832,303794,523515,1018367,755723,614582,518026,351488,247482,204938
California,3746806,2438357,2538560,2410730,3594563,4778395,5484379,6190362,4469547,4114800,4397324,5673096,9435409,11720135,19104112,15434773,11866557,8260153,5675924,5397144
Colorado,238510,150971,147120,155229,353076,550923,559511,568098,335413,284291,290567,335847,746199,2204305,2049315,1541617,1040083,730647,519595,547071
Connecticut,493870,328851,343921,336555,513122,689688,720901,752114,524316,514600,526272,622022,1177107,2502853,2248317,1863052,1523821,1006205,746856,687975
Delaware,112437,59939,55533,61356,83795,106234,113665,121095,92403,85492,92450,109606,176877,336235,283658,377996,195916,120257,81005,75790
District of Columbia,116705,67071,63568,65223,107350,149476,126664,103852,72675,88469,79595,97081,185304,458452,485656,236030,268283,210283,132726,114633
Florida,961456,613720,646162,629337,963945,1298552,1279265,1259978,873663,717549,841987,1395301,2609358,6717150,5582399,3425599,2384990,1376311,632493,452374
Georgia,402427,248049,254814,276583,554503,832422,813035,793647,502321,500535,537007,712730,1478521,3482709,2739656,2136358,1507086,836212,463325,394407
Hawaii,235497,147255,135589,110396,151750,193103,164861,136619,89504,84089,95134,150527,330471,645701,546655,465490,333558,241699,178339,139675
Idaho,122683,92857,98919,94268,139148,184028,179145,174261,122217,99580,101636,167562,351825,616243,505999,357836,236281,149623,112387,102290
Illinois,1610734,1077533,1095648,1123576,1846748,2569920,2575431,2580942,1802224,1609163,1699626,1997831,3683439,7828359,6255172,4950531,3806108,2874247,1890947,1943616
Indiana,285890,197078,220511,211486,419028,626570,645047,663524,634768,605824,732154,756624,1635376,3206885,2361281,1733492,1077745,630677,377759,333332
Iowa,236318,152428,164054,190263,285193,380122,376209,372295,289547,284283,323732,349743,633988,1186833,913599,711443,553501,438132,404674,434566
Kansas,162421,115835,127068,148076,221531,294985,334762,374538,208765,192984,182030,262854,563972,1241191,895445,740788,521420,364864,290349,229823
Kentucky,298905,215643,223106,236863,377622,518381,507907,497433,366115,340422,392834,454640,940856,1804903,1484593,1307669,872292,570532,348801,343923
Louisiana,197604,123511,166569,154728,219447,284166,296874,309581,233124,670867,129286,178866,334333,858438,815538,524806,332719,212236,183662,214794
Maine,133522,85456,82666,74327,100290,126253,128994,131734,109330,101236,109072,122032,219819,416989,375775,308253,254733,180402,128476,106232
Maryland,451306,305387,269993,248894,372153,495412,509959,524505,376437,351814,391875,506961,917321,1799793,1553684,1517511,1206249,923032,628053,545496
Massachusetts,998902,673398,777755,768244,1435110,2101975,2002832,1903689,1328449,1227151,1308974,1532169,2428951,5125870,4278821,3368373,2610602,2130038,1617582,1492307
Michigan,1238170,837920,975062,809453,1393336,1977219,2172328,2367436,1703888,1773235,1844642,1918568,3432803,6670367,4565907,3191214,2332122,1371949,874143,849313
Minnesota,458084,324371,340370,349787,616354,882920,867225,851530,606580,609846,671329,785549,1385854,2828567,2189227,1550185,1107095,862385,774496,836710
Mississippi,315640,100906,104379,103942,157647,211351,199781,188210,127935,232675,118521,141541,281323,598305,512719,439055,350592,221885,123114,99402
Missouri,364773,249402,266477,283273,430372,577471,596155,614839,433820,370336,386376,470379,891866,1958147,1636463,1258887,849753,567194,365140,292884
Montana,76481,51645,55430,54050,66441,78831,79493,80155,58658,57553,60311,81156,169756,335914,277442,213981,176704,130998,108173,115595
Nebraska,63816,40853,46192,48561,80925,113288,125676,138063,110470,89114,82464,90750,176209,366113,320182,265201,185939,123454,93300,77914
Nevada,233831,40853,174439,195452,291699,387945,351578,315210,218057,212317,272804,405045,890122,2048248,1683521,1247512,843281,530097,371899,342324
New Hampshire,42171,24477,26717,27407,65515,103622,102322,101021,68974,62961,74736,95270,203630,401328,252408,181786,142346,100409,74006,61777
New Jersey,1727520,1053229,1060766,1015087,1586806,2158524,2258568,2358612,1774206,1675685,1760855,2071507,3414599,7835957,7232270,6028698,4804523,3193564,2200044,2042564
New Mexico,100676,71412,83133,72442,98909,125376,133024,140671,110781,97852,114359,141299,275115,696404,729052,564149,366662,272415,194648,194581
New York,2267618,1514327,1563016,1464733,2569914,3675094,3412137,3149179,2296820,2131007,2040513,2409346,4192288,9521577,8552393,7278677,6076382,3885643,2530138,2332413
North Carolina,520694,369205,394692,437130,856147,1275163,1231968,1188773,734534,599595,687060,1009858,2260541,5035577,4299608,3275887,2536204,717846,346678,243817
North Dakota,41615,27997,34179,31784,36365,40945,40339,39732,33559,33539,38285,39962,77298,116769,96096,78467,101747,97540,127939,205067
Ohio,870926,610918,668813,650085,1108507,1566929,1545305,1523681,1069298,1039195,1064647,1322832,2632471,5498476,4470295,3115505,2052382,1459392,1005249,981610
Oklahoma,130471,81860,114220,106481,176051,245621,272496,299370,161042,134185,143272,158615,374129,971697,736536,519740,368982,281097,271902,386652
Oregon,517560,377473,416766,398143,659436,920728,961512,1002296,495810,448705,459718,635360,1325045,2661775,2158988,1692051,1193646,792936,537965,502085
Pennsylvania,1956902,1322329,1354973,1282924,2034464,2786004,2856453,2926901,2054622,1931306,2025277,2425939,4226892,8771897,7412412,5880677,4628186,3228764,2263379,2340879
Rhode Island,229645,143957,142265,142992,182634,222275,225700,229124,203988,192761,203968,249241,375243,707997,629646,540697,391284,253222,169390,153322
South Carolina,248157,150958,175578,177358,331969,486579,464647,442715,310126,303942,316778,397661,808443,1631054,1283950,949666,547255,298529,156864,173866
South Dakota,18907,13593,14353,12041,19216,26390,27926,29462,24798,19708,18979,18821,44048,79343,59396,45764,37417,29943,26215,26347
Tennessee,431199,291928,322498,306123,499252,692381,637058,581734,420085,390111,390294,459528,935079,1777257,1587045,1293332,796891,472879,304801,260540
Texas,1335103,837668,1074930,1016847,1634101,2251354,2255824,2260294,1346352,1058365,1014351,1273407,2790845,7294672,6244085,5378983,3910907,3000827,2467411,3090987
Utah,99219,76991,92931,91596,173096,254596,228388,202179,124528,93644,85716,135318,377897,802889,616426,438983,312383,241389,176367,180058
Vermont,62619,41918,42690,40775,61487,82199,86736,91272,71646,76781,82144,98327,166868,291646,189799,142570,110789,89083,77421,70996
Virginia,242924,168908,163243,164602,415683,666763,600624,534484,324830,296444,339305,403246,879020,1716789,1363810,1130350,812126,640324,451964,404643
Washington,1033472,675408,876399,868696,1358679,1848662,1774008,1699353,824028,705284,670901,808885,1815688,4461857,3638632,2847969,2055288,1399969,1012283,1005764
West Virginia,181180,122319,126490,107971,129333,150694,162525,174356,123272,121388,128624,140553,239990,536467,431452,352252,365722,267566,210875,256533
Wisconsin,617566,434425,449429,464288,734523,1004757,991414,978071,749436,731055,792799,928180,1633277,3102192,2399406,1799633,1400501,1046193,631630,519502
Wyoming,35807,23361,26962,23461,27464,31466,37554,43642,34088,27399,28532,39221,98557,242716,174425,123684,107398,79591,76945,117282
