state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,398464,264626,265383,254759,348899,441843,415714,388254,259379,236431,241370,279211,594733,1146344,1027060,754265,431149,335244,225602,196704
Alaska,196554,151339,163187,152742,157467,163122,278967,388254,139927,124609,113634,123211,161670,340206,372372,370725,309123,203306,131161,132158
Arizona,301280,190085,197673,202956,347743,489356,460887,430921,299347,218310,239574,364991,810986,2071759,1718661,1112178,692198,453144,317522,278520
Arkansas,371979,246032,241924,213791,326886,437892,410262,381396,276245,254556,304746,341184,581185,1120688,815091,650973,539587,359539,250200,204938
California,5342351,3434365,3530704,3285008,4783673,6257854,7047735,7762671,5434139,4845234,5041030,6371315,10474814,12897725,20604898,16348695,12360459,8449361,5738261,5397144
Colorado,340077,212639,204619,211525,469876,721497,719002,712391,407800,334757,333102,377182,828400,2425784,2210306,1632899,1083373,747383,525302,547071
Connecticut,704180,463178,478335,458610,682866,903225,926398,943146,637471,605949,603311,698578,1306777,2754329,2424941,1973367,1587244,1029253,755058,687975
Delaware,160317,84423,77237,83607,111515,139126,146065,151852,112345,100668,105983,123096,196362,370019,305942,400378,204070,123012,81895,75790
District of Columbia,166403,94468,88412,88877,142862,195756,162770,130230,88359,104173,91247,109029,205717,504515,523808,250006,279449,215100,134184,114633
Florida,1370884,864409,898701,857573,1282825,1700602,1643927,1580004,1062212,844924,965242,1567028,2896805,7392061,6020943,3628435,2484257,1407837,639439,452374
Georgia,573797,349371,354403,376889,737936,1090152,1044795,995228,610729,589387,615617,800450,1641395,3832637,2954879,2262856,1569813,855366,468414,394407
Hawaii,335781,207405,188581,150432,201949,252890,211856,171319,108820,99016,109060,169053,366876,710578,589599,493053,347441,247235,180298,139675
Idaho,174926,130787,137579,128455,185179,241006,230211,218522,148593,117257,116514,188185,390582,678161,545749,379024,246115,153050,113621,102290
Illinois,2296651,1517678,1523859,1531053,2457667,3365604,3309574,3236483,2191170,1894812,1948427,2243715,4089207,8614920,6746568,5243662,3964523,2940085,1911715,1943616
Indiana,407634,277579,306693,288184,557646,820565,828922,832054,771760,713366,839331,849746,1815529,3529100,2546779,1836135,1122602,645123,381908,333332
Iowa,336952,214691,228171,259264,379536,497813,483449,466855,352035,334747,371122,392788,703828,1306081,985370,753569,576538,448168,409118,434566
Kansas,231587,163151,176730,201777,294815,386317,430187,469668,253819,227241,208677,295205,626099,1365901,965790,784652,543122,373222,293538,229823
Kentucky,426191,303728,310302,322764,502542,678879,652689,623778,445128,400852,450339,510595,1044501,1986252,1601220,1385099,908598,583601,352632,343923
Louisiana,281752,173962,231669,210842,292042,372148,381499,388212,283435,789955,148212,200880,371163,944690,879605,555881,346567,217098,185679,214794
Maine,190381,120363,114974,101283,133467,165343,165764,165194,132925,119207,125039,137051,244034,458886,405295,326505,265335,184534,129887,106232
Maryland,643491,430130,375514,339158,495264,648799,655325,657726,457677,414266,449240,569355,1018373,1980629,1675739,1607366,1256455,944175,634951,545496
Massachusetts,1424276,948464,1081725,1046856,1909855,2752777,2573752,2387213,1615147,1444987,1500589,1720741,2696524,5640896,4614958,3567821,2719259,2178829,1635347,1492307
Michigan,1765434,1180189,1356145,1103010,1854263,2589394,2791563,2968748,2071611,2088009,2114672,2154697,3810961,7340578,4924597,3380172,2429188,1403375,883743,849313
Minnesota,653155,456868,473397,476641,820248,1156285,1114433,1067813,737489,718102,769602,882231,1538520,3112770,2361209,1641974,1153174,882139,783002,836710
Mississippi,450053,142124,145173,141638,209797,276788,256729,236014,155545,273978,135871,158961,312314,658420,552997,465052,365184,226968,124466,99402
Missouri,520108,351276,370624,386005,572743,756264,766093,771004,527445,436076,442936,528271,990114,2154894,1765021,1333428,885121,580186,369150,292884
Montana,109050,72741,77094,73652,88420,103238,102153,100514,71317,67769,69140,91144,188456,369665,299237,226651,184059,133999,109361,115595
Nebraska,90991,57540,64245,66172,107695,148364,161500,173130,134311,104933,94536,101919,195620,402899,345335,280904,193678,126282,94325,77914
Nevada,333406,57540,242615,266335,388195,508058,451797,395271,265117,250006,312739,454896,988178,2254048,1815776,1321380,878379,542239,375983,342324
New Hampshire,60129,34475,37159,37346,87187,135705,131489,126680,83860,74137,85676,106995,226062,441652,272237,192550,148271,102709,74819,61777
New Jersey,2463169,1483447,1475345,1383220,2111734,2826834,2902387,2957683,2157105,1973142,2018619,2326459,3790751,8623281,7800425,6385669,5004494,3266716,2224206,2042564
New Mexico,143548,100582,115624,98714,131629,164194,170943,176400,134689,115222,131100,158689,305422,766376,786325,597553,381923,278655,196786,194581
New York,3233263,2132892,2173889,1995935,3420061,4812956,4384787,3949049,2792507,2509290,2339215,2705877,4654111,10478265,9224254,7709662,6329289,3974648,2557926,2332413
